Count,Name,Foil,Card Number,Edition,Language
1,Airdrop Aeronauts,,5,Aether Revolt,English
3,Audacious Infiltrator,,7,Aether Revolt,English
1,Deadeye Harpooner,,15,Aether Revolt,English
1,Solemn Recruit,,22,Aether Revolt,English
1,Aid from the Cowl,,105,Aether Revolt,English
2,Lifecraft Cavalry,,113,Aether Revolt,English
2,Narnam Renegade,,117,Aether Revolt,English
1,Natural Obsolescence,,118,Aether Revolt,English
1,Prey Upon,,120,Aether Revolt,English
1,Ridgescale Tusker,,121,Aether Revolt,English
2,Silkweaver Elite,,125,Aether Revolt,English
2,Unbridled Growth,,126,Aether Revolt,English
1,Daredevil Dragster,,149,Aether Revolt,English
3,Renegade Map,,173,Aether Revolt,English
2,Verdant Automaton,,180,Aether Revolt,English
1,"Ajani, Valiant Protector",foil,185,Aether Revolt,English
4,Inspiring Roar,,186,Aether Revolt,English
3,Ajani's Comrade,,187,Aether Revolt,English
2,Ajani's Aid,,188,Aether Revolt,English
4,Tranquil Expanse,,189,Aether Revolt,English
2,Armorcraft Judge,,144,Kaladesh,English
1,Ghirapur Guide,,156,Kaladesh,English
1,Engineered Might,,181,Kaladesh,English
3,Plains,,250,Kaladesh,English
3,Plains,,251,Kaladesh,English
3,Plains,,252,Kaladesh,English
3,Forest,,262,Kaladesh,English
3,Forest,,263,Kaladesh,English
3,Forest,,264,Kaladesh,English
