Count,Name,Foil,Card Number,Edition,Language
2,Bastion Inventor,,30,Aether Revolt,English
1,Quicksmith Spy,,41,Aether Revolt,English
1,Reverse Engineer,,42,Aether Revolt,English
2,Wind-Kin Raiders,,50,Aether Revolt,English
1,Fen Hauler,,58,Aether Revolt,English
1,Ironclad Revolutionary,,65,Aether Revolt,English
2,Tezzeret's Touch,,138,Aether Revolt,English
2,Augmenting Automaton,,143,Aether Revolt,English
1,Barricade Breaker,,144,Aether Revolt,English
1,Foundry Assembler,,151,Aether Revolt,English
2,Implement of Examination,,156,Aether Revolt,English
1,Merchant's Dockhand,,163,Aether Revolt,English
1,Ornithopter,,167,Aether Revolt,English
1,Treasure Keeper,,177,Aether Revolt,English
2,Universal Solvent,,178,Aether Revolt,English
1,"Tezzeret, Master of Metal",foil,190,Aether Revolt,English
2,Tezzeret's Betrayal,,191,Aether Revolt,English
4,Pendulum of Patterns,,192,Aether Revolt,English
3,Tezzeret's Simulacrum,,193,Aether Revolt,English
4,Submerged Boneyard,,194,Aether Revolt,English
2,Dhund Operative,,74,Kaladesh,English
1,Essence Extraction,,80,Kaladesh,English
1,Dukhara Peafowl,,207,Kaladesh,English
4,Island,,253,Kaladesh,English
4,Island,,254,Kaladesh,English
3,Island,,255,Kaladesh,English
4,Swamp,,256,Kaladesh,English
3,Swamp,,257,Kaladesh,English
3,Swamp,,258,Kaladesh,English
