Count,Name,Foil,Card Number,Edition,Language
1,Devoted Crop-Mate,,10,Amonkhet,English
1,Glory-Bound Initiate,,16,Amonkhet,English
3,Gust Walker,,17,Amonkhet,English
1,Impeccable Timing,,18,Amonkhet,English
2,Sparring Mummy,,29,Amonkhet,English
1,Tah-Crop Elite,,31,Amonkhet,English
3,Ahn-Crop Crasher,,117,Amonkhet,English
2,Cartouche of Zeal,,124,Amonkhet,English
2,Electrify,,129,Amonkhet,English
1,Hazoret's Favor,,137,Amonkhet,English
2,Hyena Pack,,139,Amonkhet,English
1,Nef-Crop Entangler,,144,Amonkhet,English
1,Pathmaker Initiate,,146,Amonkhet,English
3,Trial of Zeal,,152,Amonkhet,English
2,Honored Crop-Captain,,200,Amonkhet,English
4,Plains,,255,Amonkhet,English
3,Plains,,256,Amonkhet,English
3,Plains,,257,Amonkhet,English
4,Mountain,,264,Amonkhet,English
3,Mountain,,265,Amonkhet,English
3,Mountain,,266,Amonkhet,English
1,"Gideon, Martial Paragon",foil,270,Amonkhet,English
3,Companion of the Trials,,271,Amonkhet,English
2,Gideon's Resolve,,272,Amonkhet,English
4,Graceful Cat,,273,Amonkhet,English
4,Stone Quarry,,274,Amonkhet,English
