Count,Name,Foil,Card Number,Edition,Language
2,Baleful Ammit,,79,Amonkhet,English
2,Cartouche of Ambition,,83,Amonkhet,English
2,Dune Beetle,,89,Amonkhet,English
1,Festering Mummy,,91,Amonkhet,English
2,Gravedigger,,93,Amonkhet,English
2,Splendid Agony,,109,Amonkhet,English
2,Trial of Ambition,,113,Amonkhet,English
2,Cartouche of Strength,,158,Amonkhet,English
1,Channeler Initiate,,160,Amonkhet,English
1,Crocodile of the Crossing,,162,Amonkhet,English
2,Giant Spider,,166,Amonkhet,English
1,Gift of Paradise,,167,Amonkhet,English
2,Decimator Beetle,,197,Amonkhet,English
1,Edifice of Authority,,226,Amonkhet,English
1,Luxa River Shrine,,232,Amonkhet,English
1,Oracle's Vault,,234,Amonkhet,English
1,Grasping Dunes,,244,Amonkhet,English
4,Swamp,,261,Amonkhet,English
4,Swamp,,262,Amonkhet,English
3,Swamp,,263,Amonkhet,English
3,Forest,,267,Amonkhet,English
3,Forest,,268,Amonkhet,English
3,Forest,,269,Amonkhet,English
1,"Liliana, Death Wielder",foil,275,Amonkhet,English
3,Desiccated Naga,,276,Amonkhet,English
2,Liliana's Influence,,277,Amonkhet,English
4,Tattered Mummy,,278,Amonkhet,English
4,Foul Orchard,,279,Amonkhet,English
