Count,Name,Foil,Card Number,Edition,Language
2,Crypt Creeper,,91,Avacyn Restored,English
1,Gloom Surgeon,,104,Avacyn Restored,English
8,Swamp,,236,Avacyn Restored,English
8,Swamp,,237,Avacyn Restored,English
8,Swamp,,238,Avacyn Restored,English
1,Geralf's Messenger,,63,Dark Ascension,English
1,Gravecrawler,,64,Dark Ascension,English
4,Highborn Ghoul,,68,Dark Ascension,English
3,Altar's Reap,,86,Innistrad,English
4,Diregraf Ghoul,,97,Innistrad,English
3,Ghoulraiser,,102,Innistrad,English
1,Cemetery Reaper,,86,Magic 2012,English
2,Doom Blade,,95,Magic 2012,English
3,Despise,,56,New Phyrexia,English
2,Dismember,,57,New Phyrexia,English
2,Lashwrithe,,143,New Phyrexia,English
3,Go for the Throat,,43,Mirrodin Besieged,English
4,Skinrender,,78,Scars of Mirrodin,English
,,,,,
,SIDEBOARD,,,,
2,Appetite for Brains,,84,Avacyn Restored,English
2,Crypt Creeper,,91,Avacyn Restored,English
3,Triumph of Cruelty,,122,Avacyn Restored,English
1,Ghoulraiser,,102,Innistrad,English
3,Deathmark,,90,Magic 2012,English
2,Distress,,94,Magic 2012,English
1,Despise,,56,New Phyrexia,English
1,Surgical Extraction,,74,New Phyrexia,English
