Count,Name,Foil,Card Number,Edition,Language
1,Divine Deflection,,18,Avacyn Restored,English
3,Nearheath Pilgrim,,31,Avacyn Restored,English
3,Righteous Blow,,34,Avacyn Restored,English
2,Nephalia Smuggler,,69,Avacyn Restored,English
3,Tandem Lookout,,80,Avacyn Restored,English
2,Wingcrafter,,83,Avacyn Restored,English
4,Plains,,230,Avacyn Restored,English
4,Plains,,231,Avacyn Restored,English
4,Plains,,232,Avacyn Restored,English
3,Island,,233,Avacyn Restored,English
3,Island,,234,Avacyn Restored,English
3,Island,,235,Avacyn Restored,English
4,Fiend Hunter,,15,Innistrad,English
1,Moorland Haunt,,244,Innistrad,English
4,Gideon's Lawkeeper,,18,Magic 2012,English
3,Oblivion Ring,,27,Magic 2012,English
2,Glacial Fortress,,227,Magic 2012,English
1,Blade Splicer,,4,New Phyrexia,English
4,Porcelain Legionnaire,,19,New Phyrexia,English
2,Mental Misstep,,38,New Phyrexia,English
1,Phyrexian Metamorph,,42,New Phyrexia,English
2,Dismember,,57,New Phyrexia,English
1,Mirran Crusader,,14,Mirrodin Besieged,English
,,,,,
,SIDEBOARD,,,,
3,Cathedral Sanctifier,,11,Avacyn Restored,English
2,Cloudshift,,12,Avacyn Restored,English
2,Inquisitor Exarch,,12,New Phyrexia,English
1,Pacifism,,28,Magic 2012,English
4,Mana Leak,,63,Magic 2012,English
3,Negate,,69,Magic 2012,English
