Count,Name,Foil,Card Number,Edition,Language
2,Air Elemental,,1,Duels of the Planeswalkers,English
2,Boomerang,,2,Duels of the Planeswalkers,English
2,Cancel,,3,Duels of the Planeswalkers,English
4,Cloud Sprite,,4,Duels of the Planeswalkers,English
1,Counterbore,,5,Duels of the Planeswalkers,English
2,Deluge,,6,Duels of the Planeswalkers,English
1,Denizen of the Deep,,7,Duels of the Planeswalkers,English
3,Essence Scatter,,8,Duels of the Planeswalkers,English
1,Evacuation,,9,Duels of the Planeswalkers,English
1,Mahamoti Djinn,foil,10,Duels of the Planeswalkers,English
1,Mind Control,,11,Duels of the Planeswalkers,English
1,Mind Spring,,12,Duels of the Planeswalkers,English
2,Negate,,13,Duels of the Planeswalkers,English
1,Phantom Warrior,,14,Duels of the Planeswalkers,English
3,Snapping Drake,,15,Duels of the Planeswalkers,English
2,Thieving Magpie,,16,Duels of the Planeswalkers,English
2,Unsummon,,17,Duels of the Planeswalkers,English
2,Abyssal Specter,,18,Duels of the Planeswalkers,English
1,Ascendant Evincar,foil,19,Duels of the Planeswalkers,English
2,Consume Spirit,,20,Duels of the Planeswalkers,English
1,Crowd of Cinders,,21,Duels of the Planeswalkers,English
3,Drudge Skeletons,,22,Duels of the Planeswalkers,English
2,Dusk Imp,,23,Duels of the Planeswalkers,English
2,Essence Drain,,24,Duels of the Planeswalkers,English
3,Eyeblight's Ending,,25,Duels of the Planeswalkers,English
2,Megrim,,26,Duels of the Planeswalkers,English
4,Mind Rot,,27,Duels of the Planeswalkers,English
1,Mind Shatter,,28,Duels of the Planeswalkers,English
2,Moonglove Winnower,,29,Duels of the Planeswalkers,English
1,Mortivore,,30,Duels of the Planeswalkers,English
3,Ravenous Rats,,31,Duels of the Planeswalkers,English
1,Sengir Vampire,,32,Duels of the Planeswalkers,English
2,Severed Legion,,33,Duels of the Planeswalkers,English
4,Terror,,34,Duels of the Planeswalkers,English
1,Underworld Dreams,,35,Duels of the Planeswalkers,English
2,Unholy Strength,,36,Duels of the Planeswalkers,English
2,Act of Treason,,37,Duels of the Planeswalkers,English
1,Banefire,,38,Duels of the Planeswalkers,English
1,Blaze,,39,Duels of the Planeswalkers,English
1,Bloodmark Mentor,,40,Duels of the Planeswalkers,English
2,Cinder Pyromancer,,41,Duels of the Planeswalkers,English
2,Earth Elemental,,42,Duels of the Planeswalkers,English
1,Enrage,,43,Duels of the Planeswalkers,English
1,Furnace of Rath,,44,Duels of the Planeswalkers,English
4,Goblin Piker,,45,Duels of the Planeswalkers,English
2,Goblin Sky Raider,,46,Duels of the Planeswalkers,English
4,Hill Giant,,47,Duels of the Planeswalkers,English
3,Incinerate,,48,Duels of the Planeswalkers,English
1,"Kamahl, Pit Fighter",foil,49,Duels of the Planeswalkers,English
4,Lightning Elemental,,50,Duels of the Planeswalkers,English
1,Prodigal Pyromancer,,51,Duels of the Planeswalkers,English
1,Rage Reflection,,52,Duels of the Planeswalkers,English
1,Shivan Dragon,,53,Duels of the Planeswalkers,English
2,Shock,,54,Duels of the Planeswalkers,English
2,Blanchwood Armor,,55,Duels of the Planeswalkers,English
4,Civic Wayfinder,,56,Duels of the Planeswalkers,English
1,Drove of Elves,,57,Duels of the Planeswalkers,English
1,Duskdale Wurm,,58,Duels of the Planeswalkers,English
2,Elven Riders,,59,Duels of the Planeswalkers,English
1,Elvish Champion,,60,Duels of the Planeswalkers,English
3,Elvish Eulogist,,61,Duels of the Planeswalkers,English
1,Elvish Promenade,,62,Duels of the Planeswalkers,English
2,Elvish Visionary,,63,Duels of the Planeswalkers,English
3,Elvish Warrior,,64,Duels of the Planeswalkers,English
1,Gaea's Herald,,65,Duels of the Planeswalkers,English
7,Giant Growth,,66,Duels of the Planeswalkers,English
2,Giant Spider,,67,Duels of the Planeswalkers,English
1,Greenweaver Druid,,68,Duels of the Planeswalkers,English
1,Howl of the Night Pack,,69,Duels of the Planeswalkers,English
1,Immaculate Magistrate,foil,70,Duels of the Planeswalkers,English
1,Imperious Perfect,,71,Duels of the Planeswalkers,English
1,Jagged-Scar Archers,,72,Duels of the Planeswalkers,English
1,Lys Alana Huntmaster,,73,Duels of the Planeswalkers,English
1,"Molimo, Maro-Sorcerer",,74,Duels of the Planeswalkers,English
1,Natural Spring,,75,Duels of the Planeswalkers,English
1,Naturalize,,76,Duels of the Planeswalkers,English
1,Nature's Spiral,,77,Duels of the Planeswalkers,English
2,Overrun,,78,Duels of the Planeswalkers,English
2,Rampant Growth,,79,Duels of the Planeswalkers,English
1,River Boa,,80,Duels of the Planeswalkers,English
1,Roughshod Mentor,,81,Duels of the Planeswalkers,English
3,Runeclaw Bear,,82,Duels of the Planeswalkers,English
2,Spined Wurm,,83,Duels of the Planeswalkers,English
1,Talara's Battalion,,84,Duels of the Planeswalkers,English
2,Trained Armodon,,85,Duels of the Planeswalkers,English
1,Troll Ascetic,,86,Duels of the Planeswalkers,English
1,Verdant Force,foil,87,Duels of the Planeswalkers,English
1,Vigor,,88,Duels of the Planeswalkers,English
2,Wall of Wood,,89,Duels of the Planeswalkers,English
1,Coat of Arms,,90,Duels of the Planeswalkers,English
2,Demon's Horn,,91,Duels of the Planeswalkers,English
2,Dragon's Claw,,92,Duels of the Planeswalkers,English
2,Kraken's Eye,,93,Duels of the Planeswalkers,English
1,Loxodon Warhammer,,94,Duels of the Planeswalkers,English
1,The Rack,,95,Duels of the Planeswalkers,English
2,Wall of Spears,,96,Duels of the Planeswalkers,English
4,Wurm's Tooth,,97,Duels of the Planeswalkers,English
7,Island,,98,Duels of the Planeswalkers,English
6,Island,,99,Duels of the Planeswalkers,English
6,Island,,100,Duels of the Planeswalkers,English
6,Island,,101,Duels of the Planeswalkers,English
9,Swamp,,102,Duels of the Planeswalkers,English
8,Swamp,,103,Duels of the Planeswalkers,English
8,Swamp,,104,Duels of the Planeswalkers,English
8,Swamp,,105,Duels of the Planeswalkers,English
6,Mountain,,106,Duels of the Planeswalkers,English
6,Mountain,,107,Duels of the Planeswalkers,English
6,Mountain,,108,Duels of the Planeswalkers,English
6,Mountain,,109,Duels of the Planeswalkers,English
10,Forest,,110,Duels of the Planeswalkers,English
10,Forest,,111,Duels of the Planeswalkers,English
10,Forest,,112,Duels of the Planeswalkers,English
10,Forest,,113,Duels of the Planeswalkers,English
