Count,Name,Foil,Card Number,Edition,Language
2,Banishing Light,,4,Theros Beyond Death,English
4,Omen of the Sea,,58,Theros Beyond Death,English
1,Temple of Enlightenment,,246,Theros Beyond Death,English
2,Fae of Wishes // Granted,,44,Throne of Eldraine,English
4,Fires of Invention,,125,Throne of Eldraine,English
1,"Kenrith, the Returned King",,303,Throne of Eldraine,English
2,Drawn from Dreams,,56,Core Set 2020,English
3,Swiftwater Cliffs,,252,Core Set 2020,English
1,Temple of Epiphany,,253,Core Set 2020,English
1,Temple of Triumph,,257,Core Set 2020,English
3,Tranquil Cove,,259,Core Set 2020,English
4,Wind-Scarred Crag,,260,Core Set 2020,English
1,"Ugin, the Ineffable",,2,War of the Spark,English
3,"Kasmina, Enigmatic Mentor",,56,War of the Spark,English
4,"Narset, Parter of Veils",,61,War of the Spark,English
3,Sarkhan the Masterless,,143,War of the Spark,English
2,Time Wipe,,223,War of the Spark,English
2,"Saheeli, Sublime Artificer",,234,War of the Spark,English
4,Interplanar Beacon,,247,War of the Spark,English
1,Plains,,250,War of the Spark,English
1,Plains,,251,War of the Spark,English
2,Island,,253,War of the Spark,English
2,Island,,254,War of the Spark,English
1,Island,,255,War of the Spark,English
1,Mountain,,259,War of the Spark,English
1,Mountain,,260,War of the Spark,English
3,Deafening Clarion,,165,Guilds of Ravnica,English
1,Steam Vents,,257,Guilds of Ravnica,English
,,,,,
,SIDEBOARD,,,,
2,Revoke Existence,,34,Theros Beyond Death,English
3,Thirst for Meaning,,74,Theros Beyond Death,English
2,Devout Decree,,13,Core Set 2020,English
2,Fry,,140,Core Set 2020,English
1,Sarkhan the Masterless,,143,War of the Spark,English
1,Dovin's Veto,,193,War of the Spark,English
1,Time Wipe,,223,War of the Spark,English
1,"Ashiok, Dream Render",,228,War of the Spark,English
1,"Dovin, Hand of Control",,229,War of the Spark,English
1,Mass Manipulation,,42,Ravnica Allegiance,English
,,,,,
,TOKENS,,,,
1,Spirit // Dragon,,1,Extras: Challenger Decks 2020,English
1,Spirit // On an Adventure,,2,Extras: Challenger Decks 2020,English
2,Wizard // Servo,,4,Extras: Challenger Decks 2020,English
1,Dragon // Servo,,5,Extras: Challenger Decks 2020,English
