Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Nevinyrral's Disk,Anthologies,1,,English,,,,,,,,
1,0,Goblin King,Anthologies,2,,English,,,,,,,,
1,0,Goblin Warrens,Anthologies,3,,English,,,,,,,,
1,0,Volcanic Dragon,Anthologies,4,,English,,,,,,,,
1,0,Strip Mine,Anthologies,5,,English,,,,,,,,
1,0,Lady Orca,Anthologies,6,,English,,,,,,,,
1,0,Black Knight,Anthologies,7,,English,,,,,,,,
1,0,Hypnotic Specter,Anthologies,8,,English,,,,,,,,
1,0,Knight of Stromgald,Anthologies,9,,English,,,,,,,,
1,0,Ihsan's Shade,Anthologies,10,,English,,,,,,,,
1,0,Goblin Balloon Brigade,Anthologies,11,,English,,,,,,,,
1,0,Goblin Mutant,Anthologies,12,,English,,,,,,,,
1,0,Goblin Offensive,Anthologies,13,,English,,,,,,,,
1,0,Goblin Recruiter,Anthologies,14,,English,,,,,,,,
1,0,Goblin Snowman,Anthologies,15,,English,,,,,,,,
1,0,Pyrokinesis,Anthologies,16,,English,,,,,,,,
1,0,Uthden Troll,Anthologies,17,,English,,,,,,,,
1,0,Aesthir Glider,Anthologies,19,,English,,,,,,,,
1,0,Polluted Mire,Anthologies,20,,English,,,,,,,,
1,0,Smoldering Crater,Anthologies,21,,English,,,,,,,,
1,0,Cuombajj Witches,Anthologies,22,,English,,,,,,,,
1,0,Feast of the Unicorn,Anthologies,23,,English,,,,,,,,
1,0,Hymn to Tourach,Anthologies,24,,English,,,,,,,,
1,0,Terror,Anthologies,25,,English,,,,,,,,
1,0,Unholy Strength,Anthologies,26,,English,,,,,,,,
1,0,Fireball,Anthologies,27,,English,,,,,,,,
1,0,Goblin Digging Team,Anthologies,28,,English,,,,,,,,
1,0,Goblin Grenade,Anthologies,29,,English,,,,,,,,
1,0,Goblin Hero,Anthologies,30,,English,,,,,,,,
1,0,Goblin Matron,Anthologies,31,,English,,,,,,,,
1,0,Goblin Tinkerer,Anthologies,32,,English,,,,,,,,
1,0,Goblin Vandal,Anthologies,33,,English,,,,,,,,
1,0,Lightning Bolt,Anthologies,34,,English,,,,,,,,
1,0,Mogg Fanatic,Anthologies,35,,English,,,,,,,,
1,0,Mogg Flunkies,Anthologies,36,,English,,,,,,,,
1,0,Mogg Raider,Anthologies,37,,English,,,,,,,,
1,0,Pyrotechnics,Anthologies,38,,English,,,,,,,,
1,0,Raging Goblin,Anthologies,39,,English,,,,,,,,
6,0,Mountain,Anthologies,40,,English,,,,,,,,
6,0,Mountain,Anthologies,41,,English,,,,,,,,
5,0,Swamp,Anthologies,42,,English,,,,,,,,
5,0,Swamp,Anthologies,43,,English,,,,,,,,
1,0,Brushland,Anthologies,44,,English,,,,,,,,
1,0,"Mirri, Cat Warrior",Anthologies,45,,English,,,,,,,,
1,0,Armageddon,Anthologies,46,,English,,,,,,,,
1,0,Sacred Mesa,Anthologies,47,,English,,,,,,,,
1,0,Pendelhaven,Anthologies,48,,English,,,,,,,,
1,0,Jalum Tome,Anthologies,49,,English,,,,,,,,
1,0,Ranger en-Vec,Anthologies,50,,English,,,,,,,,
1,0,Erhnam Djinn,Anthologies,51,,English,,,,,,,,
1,0,Hurricane,Anthologies,52,,English,,,,,,,,
1,0,Spectral Bears,Anthologies,53,,English,,,,,,,,
1,0,Overrun,Anthologies,54,,English,,,,,,,,
1,0,Order of the White Shield,Anthologies,55,,English,,,,,,,,
1,0,Pegasus Charger,Anthologies,56,,English,,,,,,,,
1,0,Serra Angel,Anthologies,57,,English,,,,,,,,
1,0,Swords to Plowshares,Anthologies,58,,English,,,,,,,,
1,0,White Knight,Anthologies,59,,English,,,,,,,,
1,0,Pegasus Stampede,Anthologies,60,,English,,,,,,,,
1,0,Drifting Meadow,Anthologies,61,,English,,,,,,,,
1,0,Slippery Karst,Anthologies,62,,English,,,,,,,,
1,0,Serrated Arrows,Anthologies,63,,English,,,,,,,,
1,0,Canopy Spider,Anthologies,64,,English,,,,,,,,
1,0,Carnivorous Plant,Anthologies,65,,English,,,,,,,,
1,0,Giant Growth,Anthologies,66,,English,,,,,,,,
1,0,Giant Spider,Anthologies,67,,English,,,,,,,,
1,0,Gorilla Chieftain,Anthologies,68,,English,,,,,,,,
1,0,Llanowar Elves,Anthologies,69,,English,,,,,,,,
1,0,Scavenger Folk,Anthologies,70,,English,,,,,,,,
1,0,Woolly Spider,Anthologies,71,,English,,,,,,,,
1,0,Armored Pegasus,Anthologies,72,,English,,,,,,,,
1,0,Benalish Knight,Anthologies,73,,English,,,,,,,,
1,0,Combat Medic,Anthologies,74,,English,,,,,,,,
1,0,Disenchant,Anthologies,75,,English,,,,,,,,
1,0,Freewind Falcon,Anthologies,76,,English,,,,,,,,
1,0,Icatian Javelineers,Anthologies,77,,English,,,,,,,,
1,0,Infantry Veteran,Anthologies,78,,English,,,,,,,,
1,0,Pacifism,Anthologies,79,,English,,,,,,,,
1,0,Samite Healer,Anthologies,81,,English,,,,,,,,
1,0,Warrior's Honor,Anthologies,82,,English,,,,,,,,
1,0,Youthful Knight,Anthologies,83,,English,,,,,,,,
5,0,Forest,Anthologies,84,,English,,,,,,,,
5,0,Forest,Anthologies,85,,English,,,,,,,,
6,0,Plains,Anthologies,86,,English,,,,,,,,
5,0,Plains,Anthologies,87,,English,,,,,,,,
5,0,Pegasus,Unglued,89,,English,,,,,,,,
5,0,Goblin,Unglued,92,,English,,,,,,,,




