Count,Name,Foil,Card Number,Edition,Language
1,Nevinyrral's Disk,,1,Anthologies,English
1,Goblin King,,2,Anthologies,English
1,Goblin Warrens,,3,Anthologies,English
1,Volcanic Dragon,,4,Anthologies,English
1,Strip Mine,,5,Anthologies,English
1,Lady Orca,,6,Anthologies,English
1,Black Knight,,7,Anthologies,English
1,Hypnotic Specter,,8,Anthologies,English
1,Knight of Stromgald,,9,Anthologies,English
1,Ihsan's Shade,,10,Anthologies,English
1,Goblin Balloon Brigade,,11,Anthologies,English
1,Goblin Mutant,,12,Anthologies,English
1,Goblin Offensive,,13,Anthologies,English
1,Goblin Recruiter,,14,Anthologies,English
1,Goblin Snowman,,15,Anthologies,English
1,Pyrokinesis,,16,Anthologies,English
1,Uthden Troll,,17,Anthologies,English
1,Aesthir Glider,,19,Anthologies,English
1,Polluted Mire,,20,Anthologies,English
1,Smoldering Crater,,21,Anthologies,English
1,Cuombajj Witches,,22,Anthologies,English
1,Feast of the Unicorn,,23,Anthologies,English
1,Hymn to Tourach,,24,Anthologies,English
1,Terror,,25,Anthologies,English
1,Unholy Strength,,26,Anthologies,English
1,Fireball,,27,Anthologies,English
1,Goblin Digging Team,,28,Anthologies,English
1,Goblin Grenade,,29,Anthologies,English
1,Goblin Hero,,30,Anthologies,English
1,Goblin Matron,,31,Anthologies,English
1,Goblin Tinkerer,,32,Anthologies,English
1,Goblin Vandal,,33,Anthologies,English
1,Lightning Bolt,,34,Anthologies,English
1,Mogg Fanatic,,35,Anthologies,English
1,Mogg Flunkies,,36,Anthologies,English
1,Mogg Raider,,37,Anthologies,English
1,Pyrotechnics,,38,Anthologies,English
1,Raging Goblin,,39,Anthologies,English
6,Mountain,,40,Anthologies,English
6,Mountain,,41,Anthologies,English
5,Swamp,,42,Anthologies,English
5,Swamp,,43,Anthologies,English
5,Goblin,,92,Unglued,English
