Count,Name,Foil,Card Number,Edition,Language
1,Brushland,,44,Anthologies,English
1,"Mirri, Cat Warrior",,45,Anthologies,English
1,Armageddon,,46,Anthologies,English
1,Sacred Mesa,,47,Anthologies,English
1,Pendelhaven,,48,Anthologies,English
1,Jalum Tome,,49,Anthologies,English
1,Ranger en-Vec,,50,Anthologies,English
1,Erhnam Djinn,,51,Anthologies,English
1,Hurricane,,52,Anthologies,English
1,Spectral Bears,,53,Anthologies,English
1,Overrun,,54,Anthologies,English
1,Order of the White Shield,,55,Anthologies,English
1,Pegasus Charger,,56,Anthologies,English
1,Serra Angel,,57,Anthologies,English
1,Swords to Plowshares,,58,Anthologies,English
1,White Knight,,59,Anthologies,English
1,Pegasus Stampede,,60,Anthologies,English
1,Drifting Meadow,,61,Anthologies,English
1,Slippery Karst,,62,Anthologies,English
1,Serrated Arrows,,63,Anthologies,English
1,Canopy Spider,,64,Anthologies,English
1,Carnivorous Plant,,65,Anthologies,English
1,Giant Growth,,66,Anthologies,English
1,Giant Spider,,67,Anthologies,English
1,Gorilla Chieftain,,68,Anthologies,English
1,Llanowar Elves,,69,Anthologies,English
1,Scavenger Folk,,70,Anthologies,English
1,Woolly Spider,,71,Anthologies,English
1,Armored Pegasus,,72,Anthologies,English
1,Benalish Knight,,73,Anthologies,English
1,Combat Medic,,74,Anthologies,English
1,Disenchant,,75,Anthologies,English
1,Freewind Falcon,,76,Anthologies,English
1,Icatian Javelineers,,77,Anthologies,English
1,Infantry Veteran,,78,Anthologies,English
1,Pacifism,,79,Anthologies,English
1,Samite Healer,,81,Anthologies,English
1,Warrior's Honor,,82,Anthologies,English
1,Youthful Knight,,83,Anthologies,English
5,Forest,,84,Anthologies,English
5,Forest,,85,Anthologies,English
6,Plains,,86,Anthologies,English
5,Plains,,87,Anthologies,English
5,Pegasus,,89,Unglued,English
