Count,Name,Foil,Card Number,Edition,Language
1,Leonin Abunas,,1,Archenemy,English
1,Metallurgeon,,2,Archenemy,English
2,Oblivion Ring,,3,Archenemy,English
1,Path to Exile,,4,Archenemy,English
2,Sanctum Gargoyle,,5,Archenemy,English
1,March of the Machines,,6,Archenemy,English
1,Master Transmuter,,7,Archenemy,English
1,Spin into Myth,,8,Archenemy,English
1,Avatar of Woe,,9,Archenemy,English
1,Beacon of Unrest,,10,Archenemy,English
1,Bog Witch,,11,Archenemy,English
1,Cemetery Reaper,,12,Archenemy,English
1,Corpse Connoisseur,,13,Archenemy,English
1,Dregscape Zombie,,14,Archenemy,English
1,Extractor Demon,,15,Archenemy,English
1,Festering Goblin,,16,Archenemy,English
1,Incremental Blight,,17,Archenemy,English
2,Infectious Horror,,18,Archenemy,English
1,Infest,,19,Archenemy,English
1,Makeshift Mannequin,,20,Archenemy,English
1,Reanimate,,21,Archenemy,English
1,Reassembling Skeleton,,22,Archenemy,English
1,Scion of Darkness,,23,Archenemy,English
1,Shriekmaw,,24,Archenemy,English
2,Sign in Blood,,25,Archenemy,English
2,Twisted Abomination,,26,Archenemy,English
1,Urborg Syphon-Mage,,27,Archenemy,English
1,Zombie Infestation,,28,Archenemy,English
1,Zombify,,29,Archenemy,English
1,Battering Craghorn,,30,Archenemy,English
1,Breath of Darigaaz,,31,Archenemy,English
1,Chandra's Outrage,,32,Archenemy,English
1,Dragon Breath,,33,Archenemy,English
2,Dragon Fodder,,34,Archenemy,English
2,Dragon Whelp,,35,Archenemy,English
2,Dragonspeaker Shaman,,36,Archenemy,English
1,Fireball,,37,Archenemy,English
1,Flameblast Dragon,,38,Archenemy,English
2,Furnace Whelp,,39,Archenemy,English
1,Gathan Raiders,,40,Archenemy,English
1,Hellkite Charger,,41,Archenemy,English
1,Imperial Hellkite,,42,Archenemy,English
1,Inferno Trap,,43,Archenemy,English
1,Kilnmouth Dragon,,44,Archenemy,English
1,"Ryusei, the Falling Star",,45,Archenemy,English
2,Seething Song,,46,Archenemy,English
1,Skirk Commando,,47,Archenemy,English
1,Skirk Marauder,,48,Archenemy,English
1,Taurean Mauler,,49,Archenemy,English
1,Two-Headed Dragon,,50,Archenemy,English
1,Volcanic Fallout,,51,Archenemy,English
1,Chameleon Colossus,,52,Archenemy,English
1,Feral Hydra,,53,Archenemy,English
2,Fertilid,,54,Archenemy,English
1,Fierce Empath,,55,Archenemy,English
1,Fog,,56,Archenemy,English
1,Forgotten Ancient,,57,Archenemy,English
1,Gleeful Sabotage,,58,Archenemy,English
1,Harmonize,,59,Archenemy,English
1,Hunting Moa,,60,Archenemy,English
1,"Kamahl, Fist of Krosa",,61,Archenemy,English
1,Krosan Tusker,,62,Archenemy,English
1,Leaf Gilder,,63,Archenemy,English
1,"Molimo, Maro-Sorcerer",,64,Archenemy,English
1,Plummet,,65,Archenemy,English
1,Primal Command,,66,Archenemy,English
1,Rancor,,67,Archenemy,English
2,Sakura-Tribe Elder,,68,Archenemy,English
1,Shinen of Life's Roar,,69,Archenemy,English
1,Spider Umbra,,70,Archenemy,English
1,Thelonite Hermit,,71,Archenemy,English
1,Verdeloth the Ancient,,72,Archenemy,English
2,Wall of Roots,,73,Archenemy,English
2,Wickerbough Elder,,74,Archenemy,English
2,Yavimaya Dryad,,75,Archenemy,English
2,Agony Warp,,76,Archenemy,English
1,Architects of Will,,77,Archenemy,English
1,Armadillo Cloak,,78,Archenemy,English
1,Avatar of Discord,,79,Archenemy,English
1,Batwing Brume,,80,Archenemy,English
1,Bituminous Blast,,81,Archenemy,English
2,Branching Bolt,,82,Archenemy,English
1,Colossal Might,,83,Archenemy,English
1,Ethersworn Shieldmage,,84,Archenemy,English
1,Fieldmist Borderpost,,85,Archenemy,English
1,Fires of Yavimaya,,86,Archenemy,English
1,Heroes' Reunion,,87,Archenemy,English
1,Kaervek the Merciless,,88,Archenemy,English
1,Magister Sphinx,,89,Archenemy,English
1,Mistvein Borderpost,,90,Archenemy,English
1,Pale Recluse,,91,Archenemy,English
1,Rakdos Guildmage,,92,Archenemy,English
1,Savage Twister,,93,Archenemy,English
1,Selesnya Guildmage,,94,Archenemy,English
2,Terminate,,95,Archenemy,English
1,Torrent of Souls,,96,Archenemy,English
1,Unbender Tine,,97,Archenemy,English
1,Unmake,,98,Archenemy,English
1,Vampiric Dragon,,99,Archenemy,English
1,Watchwolf,,100,Archenemy,English
1,Wax // Wane,,101,Archenemy,English
2,Aether Spellbomb,,102,Archenemy,English
1,Azorius Signet,,103,Archenemy,English
1,Dimir Signet,,104,Archenemy,English
1,Dreamstone Hedron,,105,Archenemy,English
1,Duplicant,,106,Archenemy,English
1,Everflowing Chalice,,107,Archenemy,English
2,Gruul Signet,,108,Archenemy,English
1,Juggernaut,,109,Archenemy,English
1,Lightning Greaves,,110,Archenemy,English
1,Lodestone Golem,,111,Archenemy,English
1,Memnarch,,112,Archenemy,English
1,Obelisk of Esper,,113,Archenemy,English
2,Rakdos Signet,,114,Archenemy,English
1,Skullcage,,115,Archenemy,English
1,Sorcerer's Strongbox,,116,Archenemy,English
1,Sun Droplet,,117,Archenemy,English
1,Sundering Titan,,118,Archenemy,English
1,Synod Centurion,,119,Archenemy,English
1,Synod Sanctum,,120,Archenemy,English
1,Thran Dynamo,,121,Archenemy,English
1,Thunderstaff,,122,Archenemy,English
1,Artisan of Kozilek,,123,Archenemy,English
2,Barren Moor,,124,Archenemy,English
1,Graypelt Refuge,,125,Archenemy,English
2,Kazandu Refuge,,126,Archenemy,English
1,Khalni Garden,,127,Archenemy,English
1,Krosan Verge,,128,Archenemy,English
1,Llanowar Reborn,,129,Archenemy,English
1,Mosswort Bridge,,130,Archenemy,English
1,Nantuko Monastery,,131,Archenemy,English
2,Rakdos Carnarium,,132,Archenemy,English
1,Secluded Steppe,,133,Archenemy,English
2,Terramorphic Expanse,,134,Archenemy,English
1,Tranquil Thicket,,135,Archenemy,English
1,"Vitu-Ghazi, the City-Tree",,136,Archenemy,English
7,Plains,,137,Archenemy,English
5,Plains,,138,Archenemy,English
4,Island,,139,Archenemy,English
3,Island,,140,Archenemy,English
3,Island,,141,Archenemy,English
7,Swamp,,142,Archenemy,English
6,Swamp,,143,Archenemy,English
5,Swamp,,144,Archenemy,English
6,Mountain,,145,Archenemy,English
7,Mountain,,145,Archenemy,English
6,Mountain,,146,Archenemy,English
5,Mountain,,147,Archenemy,English
6,Forest,,148,Archenemy,English
5,Forest,,149,Archenemy,English
4,Forest,,150,Archenemy,English
,,,,,
1,All in Good Time,,1,Archenemy,English
2,All Shall Smolder in My Wake,,2,Archenemy,English
1,Approach My Molten Realm,,3,Archenemy,English
1,Behold the Power of Destruction,,4,Archenemy,English
2,Choose Your Champion,,5,Archenemy,English
1,"Dance, Pathetic Marionette",,6,Archenemy,English
2,The Dead Shall Serve,,7,Archenemy,English
1,A Display of My Dark Power,,8,Archenemy,English
1,Embrace My Diabolical Vision,,9,Archenemy,English
2,Every Hope Shall Vanish,,10,Archenemy,English
2,Every Last Vestige Shall Rot,,11,Archenemy,English
1,Evil Comes to Fruition,,12,Archenemy,English
1,The Fate of the Flammable,,13,Archenemy,English
2,Feed the Machine,,14,Archenemy,English
2,I Bask in Your Silent Awe,,15,Archenemy,English
1,I Call on the Ancient Magics,,16,Archenemy,English
3,I Delight in Your Convulsions,,17,Archenemy,English
1,I Delight in Your Convulsions,,17,Archenemy,English
2,"I Know All, I See All",,18,Archenemy,English
2,Ignite the Cloneforge!,,19,Archenemy,English
1,Into the Earthen Maw,,20,Archenemy,English
3,Introductions Are in Order,,21,Archenemy,English
1,Introductions Are in Order,,21,Archenemy,English
2,The Iron Guardian Stirs,,22,Archenemy,English
1,Know Naught but Fire,,23,Archenemy,English
2,Look Skyward and Despair,,24,Archenemy,English
1,May Civilization Collapse,,25,Archenemy,English
1,Mortal Flesh Is Weak,,26,Archenemy,English
1,My Crushing Masterstroke,,27,Archenemy,English
1,My Genius Knows No Bounds,,28,Archenemy,English
1,My Undead Horde Awakens,,29,Archenemy,English
2,My Wish Is Your Command,,30,Archenemy,English
2,Nature Demands an Offering,,31,Archenemy,English
2,Nature Shields Its Own,,32,Archenemy,English
1,Nothing Can Stop Me Now,,33,Archenemy,English
2,Only Blood Ends Your Nightmares,,34,Archenemy,English
2,The Pieces Are Coming Together,,35,Archenemy,English
3,Realms Befitting My Majesty,,36,Archenemy,English
1,Realms Befitting My Majesty,,36,Archenemy,English
2,Roots of All Evil,,37,Archenemy,English
2,"Rotted Ones, Lay Siege",,38,Archenemy,English
1,Surrender Your Thoughts,,39,Archenemy,English
1,"Tooth, Claw, and Tail",,40,Archenemy,English
1,The Very Soil Shall Shake,,41,Archenemy,English
2,Which of You Burns Brightest?,,42,Archenemy,English
3,Your Fate Is Thrice Sealed,,43,Archenemy,English
1,Your Fate Is Thrice Sealed,,43,Archenemy,English
3,Your Puny Minds Cannot Fathom,,44,Archenemy,English
1,Your Puny Minds Cannot Fathom,,44,Archenemy,English
2,Your Will Is Not Your Own,,45,Archenemy,English
