Count,Name,Foil,Card Number,Edition,Language
1,Leonin Abunas,,1,Archenemy,English
1,Metallurgeon,,2,Archenemy,English
2,Sanctum Gargoyle,,5,Archenemy,English
1,March of the Machines,,6,Archenemy,English
1,Master Transmuter,,7,Archenemy,English
1,Spin into Myth,,8,Archenemy,English
2,Agony Warp,,76,Archenemy,English
1,Architects of Will,,77,Archenemy,English
1,Batwing Brume,,80,Archenemy,English
1,Ethersworn Shieldmage,,84,Archenemy,English
1,Fieldmist Borderpost,,85,Archenemy,English
1,Magister Sphinx,,89,Archenemy,English
1,Mistvein Borderpost,,90,Archenemy,English
1,Unbender Tine,,97,Archenemy,English
1,Unmake,,98,Archenemy,English
2,Aether Spellbomb,,102,Archenemy,English
1,Azorius Signet,,103,Archenemy,English
1,Dimir Signet,,104,Archenemy,English
1,Dreamstone Hedron,,105,Archenemy,English
1,Duplicant,,106,Archenemy,English
1,Everflowing Chalice,,107,Archenemy,English
1,Juggernaut,,109,Archenemy,English
1,Lightning Greaves,,110,Archenemy,English
1,Lodestone Golem,,111,Archenemy,English
1,Memnarch,,112,Archenemy,English
1,Obelisk of Esper,,113,Archenemy,English
1,Skullcage,,115,Archenemy,English
1,Sorcerer's Strongbox,,116,Archenemy,English
1,Sun Droplet,,117,Archenemy,English
1,Sundering Titan,,118,Archenemy,English
1,Synod Centurion,,119,Archenemy,English
1,Synod Sanctum,,120,Archenemy,English
1,Thunderstaff,,122,Archenemy,English
2,Terramorphic Expanse,,134,Archenemy,English
4,Plains,,137,Archenemy,English
3,Plains,,138,Archenemy,English
4,Island,,139,Archenemy,English
3,Island,,140,Archenemy,English
3,Island,,141,Archenemy,English
2,Swamp,,142,Archenemy,English
2,Swamp,,143,Archenemy,English
1,Swamp,,144,Archenemy,English
,,,,,
1,All in Good Time,,1,Archenemy,English
1,Behold the Power of Destruction,,4,Archenemy,English
1,Embrace My Diabolical Vision,,9,Archenemy,English
2,Feed the Machine,,14,Archenemy,English
1,I Delight in Your Convulsions,,17,Archenemy,English
2,"I Know All, I See All",,18,Archenemy,English
2,Ignite the Cloneforge!,,19,Archenemy,English
1,Introductions Are in Order,,21,Archenemy,English
2,The Iron Guardian Stirs,,22,Archenemy,English
1,My Genius Knows No Bounds,,28,Archenemy,English
1,Nothing Can Stop Me Now,,33,Archenemy,English
2,The Pieces Are Coming Together,,35,Archenemy,English
1,Realms Befitting My Majesty,,36,Archenemy,English
1,Your Fate Is Thrice Sealed,,43,Archenemy,English
1,Your Puny Minds Cannot Fathom,,44,Archenemy,English
