Count,Name,Foil,Card Number,Edition,Language
1,Avatar of Woe,,9,Archenemy,English
1,Beacon of Unrest,,10,Archenemy,English
1,Bog Witch,,11,Archenemy,English
1,Cemetery Reaper,,12,Archenemy,English
1,Corpse Connoisseur,,13,Archenemy,English
1,Dregscape Zombie,,14,Archenemy,English
1,Extractor Demon,,15,Archenemy,English
1,Festering Goblin,,16,Archenemy,English
1,Incremental Blight,,17,Archenemy,English
2,Infectious Horror,,18,Archenemy,English
1,Infest,,19,Archenemy,English
1,Makeshift Mannequin,,20,Archenemy,English
1,Reanimate,,21,Archenemy,English
1,Reassembling Skeleton,,22,Archenemy,English
1,Scion of Darkness,,23,Archenemy,English
1,Shriekmaw,,24,Archenemy,English
2,Sign in Blood,,25,Archenemy,English
2,Twisted Abomination,,26,Archenemy,English
1,Urborg Syphon-Mage,,27,Archenemy,English
1,Zombie Infestation,,28,Archenemy,English
1,Zombify,,29,Archenemy,English
1,Inferno Trap,,43,Archenemy,English
1,Avatar of Discord,,79,Archenemy,English
1,Bituminous Blast,,81,Archenemy,English
1,Kaervek the Merciless,,88,Archenemy,English
1,Rakdos Guildmage,,92,Archenemy,English
2,Terminate,,95,Archenemy,English
1,Torrent of Souls,,96,Archenemy,English
1,Vampiric Dragon,,99,Archenemy,English
2,Rakdos Signet,,114,Archenemy,English
1,Artisan of Kozilek,,123,Archenemy,English
2,Barren Moor,,124,Archenemy,English
2,Rakdos Carnarium,,132,Archenemy,English
5,Swamp,,142,Archenemy,English
4,Swamp,,143,Archenemy,English
4,Swamp,,144,Archenemy,English
3,Mountain,,145,Archenemy,English
2,Mountain,,146,Archenemy,English
2,Mountain,,147,Archenemy,English
,,,,,
2,Choose Your Champion,,5,Archenemy,English
1,"Dance, Pathetic Marionette",,6,Archenemy,English
2,The Dead Shall Serve,,7,Archenemy,English
1,A Display of My Dark Power,,8,Archenemy,English
2,Every Hope Shall Vanish,,10,Archenemy,English
1,I Delight in Your Convulsions,,17,Archenemy,English
1,Introductions Are in Order,,21,Archenemy,English
1,Mortal Flesh Is Weak,,26,Archenemy,English
1,My Undead Horde Awakens,,29,Archenemy,English
2,Only Blood Ends Your Nightmares,,34,Archenemy,English
1,Realms Befitting My Majesty,,36,Archenemy,English
2,"Rotted Ones, Lay Siege",,38,Archenemy,English
1,Surrender Your Thoughts,,39,Archenemy,English
1,Your Fate Is Thrice Sealed,,43,Archenemy,English
1,Your Puny Minds Cannot Fathom,,44,Archenemy,English
