Count,Name,Foil,Card Number,Edition,Language
2,Oblivion Ring,,3,Archenemy,English
1,Path to Exile,,4,Archenemy,English
1,Feral Hydra,,53,Archenemy,English
2,Fertilid,,54,Archenemy,English
1,Fog,,56,Archenemy,English
1,Forgotten Ancient,,57,Archenemy,English
1,Gleeful Sabotage,,58,Archenemy,English
1,Harmonize,,59,Archenemy,English
1,Hunting Moa,,60,Archenemy,English
1,"Kamahl, Fist of Krosa",,61,Archenemy,English
1,Krosan Tusker,,62,Archenemy,English
1,Leaf Gilder,,63,Archenemy,English
1,"Molimo, Maro-Sorcerer",,64,Archenemy,English
1,Plummet,,65,Archenemy,English
1,Primal Command,,66,Archenemy,English
1,Rancor,,67,Archenemy,English
2,Sakura-Tribe Elder,,68,Archenemy,English
1,Shinen of Life's Roar,,69,Archenemy,English
1,Spider Umbra,,70,Archenemy,English
1,Thelonite Hermit,,71,Archenemy,English
1,Verdeloth the Ancient,,72,Archenemy,English
2,Wall of Roots,,73,Archenemy,English
2,Wickerbough Elder,,74,Archenemy,English
2,Yavimaya Dryad,,75,Archenemy,English
1,Armadillo Cloak,,78,Archenemy,English
1,Heroes' Reunion,,87,Archenemy,English
1,Pale Recluse,,91,Archenemy,English
1,Selesnya Guildmage,,94,Archenemy,English
1,Watchwolf,,100,Archenemy,English
1,Wax // Wane,,101,Archenemy,English
1,Graypelt Refuge,,125,Archenemy,English
1,Khalni Garden,,127,Archenemy,English
1,Krosan Verge,,128,Archenemy,English
1,Llanowar Reborn,,129,Archenemy,English
1,Mosswort Bridge,,130,Archenemy,English
1,Nantuko Monastery,,131,Archenemy,English
1,Secluded Steppe,,133,Archenemy,English
1,Tranquil Thicket,,135,Archenemy,English
1,"Vitu-Ghazi, the City-Tree",,136,Archenemy,English
3,Plains,,137,Archenemy,English
2,Plains,,138,Archenemy,English
4,Forest,,148,Archenemy,English
3,Forest,,149,Archenemy,English
3,Forest,,150,Archenemy,English
,,,,,
2,Every Last Vestige Shall Rot,,11,Archenemy,English
1,Evil Comes to Fruition,,12,Archenemy,English
1,I Call on the Ancient Magics,,16,Archenemy,English
1,I Delight in Your Convulsions,,17,Archenemy,English
1,Into the Earthen Maw,,20,Archenemy,English
1,Introductions Are in Order,,21,Archenemy,English
1,May Civilization Collapse,,25,Archenemy,English
2,Nature Demands an Offering,,31,Archenemy,English
2,Nature Shields Its Own,,32,Archenemy,English
1,Realms Befitting My Majesty,,36,Archenemy,English
2,Roots of All Evil,,37,Archenemy,English
1,The Very Soil Shall Shake,,41,Archenemy,English
1,Your Fate Is Thrice Sealed,,43,Archenemy,English
1,Your Puny Minds Cannot Fathom,,44,Archenemy,English
2,Your Will Is Not Your Own,,45,Archenemy,English
