Count,Name,Foil,Card Number,Edition,Language
1,Sparring Mummy,,29,Amonkhet,English
2,Those Who Serve,,32,Amonkhet,English
2,Vizier of Deferment,,37,Amonkhet,English
2,Bone Picker,,81,Amonkhet,English
1,Brute Strength,,122,Amonkhet,English
1,Limits of Solidarity,,140,Amonkhet,English
2,Pathmaker Initiate,,146,Amonkhet,English
2,Tormenting Voice,,151,Amonkhet,English
1,Greater Sandwurm,,168,Amonkhet,English
1,Initiate's Companion,,174,Amonkhet,English
1,Scaled Behemoth,,184,Amonkhet,English
1,Sixth Sense,,187,Amonkhet,English
6,Plains,,255,Amonkhet,English
6,Plains,,256,Amonkhet,English
7,Plains,,257,Amonkhet,English
2,Island,,258,Amonkhet,English
2,Island,,259,Amonkhet,English
2,Island,,260,Amonkhet,English
1,Swamp,,262,Amonkhet,English
7,Mountain,,264,Amonkhet,English
7,Mountain,,265,Amonkhet,English
6,Mountain,,266,Amonkhet,English
2,Forest,,267,Amonkhet,English
2,Forest,,268,Amonkhet,English
3,Forest,,269,Amonkhet,English
1,Cinder Barrens,,280,Amonkhet,English
2,Highland Lake,,282,Amonkhet,English
1,Submerged Boneyard,,284,Amonkhet,English
4,Woodland Stream,,287,Amonkhet,English
1,Aegis Angel,,1,Archenemy: Nicol Bolas,English
2,Aerial Responder,,2,Archenemy: Nicol Bolas,English
2,Anointer of Champions,,3,Archenemy: Nicol Bolas,English
1,Doomed Traveler,,4,Archenemy: Nicol Bolas,English
2,Excoriate,,5,Archenemy: Nicol Bolas,English
2,Expedition Raptor,,6,Archenemy: Nicol Bolas,English
1,Fencing Ace,,7,Archenemy: Nicol Bolas,English
1,Fiendslayer Paladin,,8,Archenemy: Nicol Bolas,English
1,Flickerwisp,,9,Archenemy: Nicol Bolas,English
1,Gideon Jura,,10,Archenemy: Nicol Bolas,English
2,Gideon's Lawkeeper,,11,Archenemy: Nicol Bolas,English
1,Grand Abolisher,,12,Archenemy: Nicol Bolas,English
1,Grasp of the Hieromancer,,13,Archenemy: Nicol Bolas,English
1,Lightwielder Paladin,,14,Archenemy: Nicol Bolas,English
1,Mentor of the Meek,,15,Archenemy: Nicol Bolas,English
2,Moment of Heroism,,16,Archenemy: Nicol Bolas,English
1,"Odric, Master Tactician",,17,Archenemy: Nicol Bolas,English
1,Precinct Captain,,18,Archenemy: Nicol Bolas,English
2,Relief Captain,,19,Archenemy: Nicol Bolas,English
2,Shoulder to Shoulder,,20,Archenemy: Nicol Bolas,English
1,Sun Titan,,21,Archenemy: Nicol Bolas,English
1,Youthful Knight,,22,Archenemy: Nicol Bolas,English
2,Compulsive Research,,23,Archenemy: Nicol Bolas,English
1,Icefall Regent,,24,Archenemy: Nicol Bolas,English
1,Ior Ruin Expedition,,25,Archenemy: Nicol Bolas,English
1,Prognostic Sphinx,,26,Archenemy: Nicol Bolas,English
1,Reckless Scholar,,27,Archenemy: Nicol Bolas,English
1,Sphinx of Jwar Isle,,28,Archenemy: Nicol Bolas,English
2,Vision Skeins,,29,Archenemy: Nicol Bolas,English
2,Windrider Eel,,30,Archenemy: Nicol Bolas,English
1,Archfiend of Depravity,,31,Archenemy: Nicol Bolas,English
1,Deathbringer Regent,,32,Archenemy: Nicol Bolas,English
2,Doom Blade,,33,Archenemy: Nicol Bolas,English
