Count,Name,Foil,Card Number,Edition,Language
1,Brute Strength,,122,Amonkhet,English
1,Limits of Solidarity,,140,Amonkhet,English
2,Pathmaker Initiate,,146,Amonkhet,English
2,Tormenting Voice,,151,Amonkhet,English
6,Mountain,,264,Amonkhet,English
6,Mountain,,265,Amonkhet,English
6,Mountain,,266,Amonkhet,English
1,Avatar of Fury,,39,Archenemy: Nicol Bolas,English
1,Battle-Rattle Shaman,,40,Archenemy: Nicol Bolas,English
3,Blood Ogre,,41,Archenemy: Nicol Bolas,English
1,"Chandra, Pyromaster",,42,Archenemy: Nicol Bolas,English
2,Chandra's Outrage,,43,Archenemy: Nicol Bolas,English
1,Chandra's Phoenix,,44,Archenemy: Nicol Bolas,English
1,Coordinated Assault,,45,Archenemy: Nicol Bolas,English
1,Dualcaster Mage,,46,Archenemy: Nicol Bolas,English
2,Fiery Fall,,47,Archenemy: Nicol Bolas,English
2,Gorehorn Minotaurs,,49,Archenemy: Nicol Bolas,English
1,Grim Lavamancer,,50,Archenemy: Nicol Bolas,English
1,Guttersnipe,,51,Archenemy: Nicol Bolas,English
2,Hammerhand,,52,Archenemy: Nicol Bolas,English
1,Inferno Titan,,53,Archenemy: Nicol Bolas,English
1,Obsidian Fireheart,,55,Archenemy: Nicol Bolas,English
2,Searing Spear,,56,Archenemy: Nicol Bolas,English
1,Skarrgan Firebird,,57,Archenemy: Nicol Bolas,English
2,Stormblood Berserker,,58,Archenemy: Nicol Bolas,English
1,Torchling,,60,Archenemy: Nicol Bolas,English
2,Volcanic Geyser,,61,Archenemy: Nicol Bolas,English
2,Smoldering Spires,,96,Archenemy: Nicol Bolas,English
3,Mountain,,100,Archenemy: Nicol Bolas,English
2,Mountain,,105,Archenemy: Nicol Bolas,English
