Count,Name,Foil,Card Number,Edition,Language
1,Sparring Mummy,,29,Amonkhet,English
2,Those Who Serve,,32,Amonkhet,English
2,Vizier of Deferment,,37,Amonkhet,English
6,Plains,,255,Amonkhet,English
6,Plains,,256,Amonkhet,English
7,Plains,,257,Amonkhet,English
1,Aegis Angel,,1,Archenemy: Nicol Bolas,English
2,Aerial Responder,,2,Archenemy: Nicol Bolas,English
2,Anointer of Champions,,3,Archenemy: Nicol Bolas,English
1,Doomed Traveler,,4,Archenemy: Nicol Bolas,English
2,Excoriate,,5,Archenemy: Nicol Bolas,English
2,Expedition Raptor,,6,Archenemy: Nicol Bolas,English
1,Fencing Ace,,7,Archenemy: Nicol Bolas,English
1,Fiendslayer Paladin,,8,Archenemy: Nicol Bolas,English
1,Flickerwisp,,9,Archenemy: Nicol Bolas,English
1,Gideon Jura,,10,Archenemy: Nicol Bolas,English
2,Gideon's Lawkeeper,,11,Archenemy: Nicol Bolas,English
1,Grand Abolisher,,12,Archenemy: Nicol Bolas,English
1,Grasp of the Hieromancer,,13,Archenemy: Nicol Bolas,English
1,Lightwielder Paladin,,14,Archenemy: Nicol Bolas,English
1,Mentor of the Meek,,15,Archenemy: Nicol Bolas,English
2,Moment of Heroism,,16,Archenemy: Nicol Bolas,English
1,"Odric, Master Tactician",,17,Archenemy: Nicol Bolas,English
1,Precinct Captain,,18,Archenemy: Nicol Bolas,English
2,Relief Captain,,19,Archenemy: Nicol Bolas,English
2,Shoulder to Shoulder,,20,Archenemy: Nicol Bolas,English
1,Sun Titan,,21,Archenemy: Nicol Bolas,English
1,Youthful Knight,,22,Archenemy: Nicol Bolas,English
3,Plains,,97,Archenemy: Nicol Bolas,English
3,Plains,,102,Archenemy: Nicol Bolas,English
