Count,Name,Foil,Card Number,Edition,Language
2,Bone Picker,,81,Amonkhet,English
1,Island,,258,Amonkhet,English
1,Island,,259,Amonkhet,English
1,Swamp,,262,Amonkhet,English
1,Mountain,,264,Amonkhet,English
1,Mountain,,265,Amonkhet,English
1,Cinder Barrens,,280,Amonkhet,English
2,Highland Lake,,282,Amonkhet,English
1,Submerged Boneyard,,284,Amonkhet,English
1,Icefall Regent,,24,Archenemy: Nicol Bolas,English
1,Prognostic Sphinx,,26,Archenemy: Nicol Bolas,English
1,Sphinx of Jwar Isle,,28,Archenemy: Nicol Bolas,English
1,Archfiend of Depravity,,31,Archenemy: Nicol Bolas,English
1,Deathbringer Regent,,32,Archenemy: Nicol Bolas,English
2,Doom Blade,,33,Archenemy: Nicol Bolas,English
1,Harvester of Souls,,34,Archenemy: Nicol Bolas,English
2,Nightscape Familiar,,35,Archenemy: Nicol Bolas,English
1,Overseer of the Damned,,36,Archenemy: Nicol Bolas,English
2,Reckless Spite,,37,Archenemy: Nicol Bolas,English
2,Vampire Nighthawk,,38,Archenemy: Nicol Bolas,English
2,Flametongue Kavu,,48,Archenemy: Nicol Bolas,English
2,Lightning Bolt,,54,Archenemy: Nicol Bolas,English
1,Sudden Demise,,59,Archenemy: Nicol Bolas,English
1,Baleful Strix,,80,Archenemy: Nicol Bolas,English
1,Blood Tyrant,,81,Archenemy: Nicol Bolas,English
1,Cruel Ultimatum,,82,Archenemy: Nicol Bolas,English
1,Dreadbore,,83,Archenemy: Nicol Bolas,English
1,Extract from Darkness,,84,Archenemy: Nicol Bolas,English
1,"Nicol Bolas, Planeswalker",,85,Archenemy: Nicol Bolas,English
1,Slave of Bolas,,86,Archenemy: Nicol Bolas,English
1,Soul Ransom,,87,Archenemy: Nicol Bolas,English
2,Obelisk of Grixis,,88,Archenemy: Nicol Bolas,English
1,Talisman of Dominance,,90,Archenemy: Nicol Bolas,English
1,Talisman of Indulgence,,91,Archenemy: Nicol Bolas,English
4,Crumbling Necropolis,,92,Archenemy: Nicol Bolas,English
1,Dragonskull Summit,,93,Archenemy: Nicol Bolas,English
1,Drowned Catacomb,,94,Archenemy: Nicol Bolas,English
1,Grixis Panorama,,95,Archenemy: Nicol Bolas,English
1,Island,,98,Archenemy: Nicol Bolas,English
3,Swamp,,99,Archenemy: Nicol Bolas,English
2,Island,,103,Archenemy: Nicol Bolas,English
3,Swamp,,104,Archenemy: Nicol Bolas,English
1,Mountain,,105,Archenemy: Nicol Bolas,English
,,,,,
,SCHEMES,,,,
1,Because I Have Willed It,,1,Archenemy: Nicol Bolas,English
1,Behold My Grandeur,,2,Archenemy: Nicol Bolas,English
1,Bow to My Command,,3,Archenemy: Nicol Bolas,English
1,Choose Your Demise,,4,Archenemy: Nicol Bolas,English
1,Delight in the Hunt,,5,Archenemy: Nicol Bolas,English
1,Every Dream a Nightmare,,6,Archenemy: Nicol Bolas,English
1,"For Each of You, a Gift",,7,Archenemy: Nicol Bolas,English
1,Know Evil,,8,Archenemy: Nicol Bolas,English
1,Make Yourself Useful,,9,Archenemy: Nicol Bolas,English
1,The Mighty Will Fall,,10,Archenemy: Nicol Bolas,English
1,My Forces Are Innumerable,,11,Archenemy: Nicol Bolas,English
1,My Laughter Echoes,,12,Archenemy: Nicol Bolas,English
1,No One Will Hear Your Cries,,13,Archenemy: Nicol Bolas,English
1,Pay Tribute to Me,,14,Archenemy: Nicol Bolas,English
1,Power Without Equal,,15,Archenemy: Nicol Bolas,English
1,A Reckoning Approaches,,16,Archenemy: Nicol Bolas,English
1,There Is No Refuge,,17,Archenemy: Nicol Bolas,English
1,This World Belongs to Me,,18,Archenemy: Nicol Bolas,English
1,What's Yours Is Now Mine,,19,Archenemy: Nicol Bolas,English
1,When Will You Learn?,,20,Archenemy: Nicol Bolas,English
