Count,Name,Foil,Card Number,Edition,Language
1,Greater Sandwurm,,168,Amonkhet,English
1,Initiate's Companion,,174,Amonkhet,English
1,Scaled Behemoth,,184,Amonkhet,English
1,Sixth Sense,,187,Amonkhet,English
1,Island,,258,Amonkhet,English
1,Island,,259,Amonkhet,English
2,Island,,260,Amonkhet,English
2,Forest,,267,Amonkhet,English
2,Forest,,268,Amonkhet,English
3,Forest,,269,Amonkhet,English
4,Woodland Stream,,287,Amonkhet,English
2,Compulsive Research,,23,Archenemy: Nicol Bolas,English
1,Ior Ruin Expedition,,25,Archenemy: Nicol Bolas,English
1,Reckless Scholar,,27,Archenemy: Nicol Bolas,English
2,Vision Skeins,,29,Archenemy: Nicol Bolas,English
2,Windrider Eel,,30,Archenemy: Nicol Bolas,English
1,Cultivate,,62,Archenemy: Nicol Bolas,English
2,Explore,,63,Archenemy: Nicol Bolas,English
2,Fertilid,,64,Archenemy: Nicol Bolas,English
1,Forgotten Ancient,,65,Archenemy: Nicol Bolas,English
1,Hunter's Prowess,,66,Archenemy: Nicol Bolas,English
2,Khalni Heart Expedition,,67,Archenemy: Nicol Bolas,English
1,"Nissa, Worldwaker",,68,Archenemy: Nicol Bolas,English
1,Oran-Rief Hydra,,69,Archenemy: Nicol Bolas,English
1,Press the Advantage,,70,Archenemy: Nicol Bolas,English
1,Rampaging Baloths,,71,Archenemy: Nicol Bolas,English
1,Retreat to Kazandu,,72,Archenemy: Nicol Bolas,English
1,Scute Mob,,73,Archenemy: Nicol Bolas,English
2,Sylvan Bounty,,74,Archenemy: Nicol Bolas,English
1,Thragtusk,,75,Archenemy: Nicol Bolas,English
2,Turntimber Basilisk,,76,Archenemy: Nicol Bolas,English
1,Vastwood Zendikon,,77,Archenemy: Nicol Bolas,English
1,Vines of the Recluse,,78,Archenemy: Nicol Bolas,English
1,Woodborn Behemoth,,79,Archenemy: Nicol Bolas,English
1,Sword of the Animist,,89,Archenemy: Nicol Bolas,English
2,Island,,98,Archenemy: Nicol Bolas,English
3,Forest,,101,Archenemy: Nicol Bolas,English
1,Island,,103,Archenemy: Nicol Bolas,English
3,Forest,,106,Archenemy: Nicol Bolas,English
