Count,Name,Foil,Card Number,Edition,Language
1,Balduvian Horde,,34,Beatdown Box Set,English
1,Ball Lightning,,35,Beatdown Box Set,English
1,Bloodrock Cyclops,,36,Beatdown Box Set,English
1,Fireball,,37,Beatdown Box Set,English
1,Hulking Cyclops,,38,Beatdown Box Set,English
1,Kird Ape,,39,Beatdown Box Set,English
1,Lava Axe,,40,Beatdown Box Set,English
1,Lightning Bolt,,41,Beatdown Box Set,English
1,Lowland Giant,,42,Beatdown Box Set,English
1,Raging Goblin,,43,Beatdown Box Set,English
1,Shivan Dragon,,44,Beatdown Box Set,English
1,Shock,,45,Beatdown Box Set,English
1,Sonic Burst,,46,Beatdown Box Set,English
1,Talruum Minotaur,,47,Beatdown Box Set,English
1,Thunderbolt,,48,Beatdown Box Set,English
1,Thundering Giant,,49,Beatdown Box Set,English
1,Viashino Warrior,,50,Beatdown Box Set,English
1,Crash of Rhinos,,51,Beatdown Box Set,English
1,Crashing Boars,,52,Beatdown Box Set,English
1,Deadly Insect,,53,Beatdown Box Set,English
1,Erhnam Djinn,,54,Beatdown Box Set,English
1,Fog,,55,Beatdown Box Set,English
1,Force of Nature,,56,Beatdown Box Set,English
1,Giant Growth,,57,Beatdown Box Set,English
1,Llanowar Elves,,58,Beatdown Box Set,English
1,Plated Spider,,59,Beatdown Box Set,English
1,Quirion Elves,,60,Beatdown Box Set,English
1,Rampant Growth,,61,Beatdown Box Set,English
1,Scaled Wurm,,62,Beatdown Box Set,English
1,Shambling Strider,,63,Beatdown Box Set,English
1,Wild Growth,,64,Beatdown Box Set,English
1,Woolly Spider,,65,Beatdown Box Set,English
1,Yavimaya Wurm,,66,Beatdown Box Set,English
1,Segmented Wurm,,68,Beatdown Box Set,English
1,Clockwork Beast,,70,Beatdown Box Set,English
1,Dwarven Ruins,,71,Beatdown Box Set,English
1,Havenwood Battleground,,73,Beatdown Box Set,English
1,Slippery Karst,,76,Beatdown Box Set,English
1,Smoldering Crater,,77,Beatdown Box Set,English
4,Mountain,,85,Beatdown Box Set,English
4,Mountain,,86,Beatdown Box Set,English
3,Mountain,,87,Beatdown Box Set,English
4,Forest,,88,Beatdown Box Set,English
4,Forest,,89,Beatdown Box Set,English
3,Forest,,90,Beatdown Box Set,English
