Count,Name,Foil,Card Number,Edition,Language
1,Air Elemental,,1,Beatdown Box Set,English
1,Blizzard Elemental,,2,Beatdown Box Set,English
1,Brainstorm,,3,Beatdown Box Set,English
1,Cloud Djinn,,4,Beatdown Box Set,English
1,Cloud Elemental,,5,Beatdown Box Set,English
1,Counterspell,,6,Beatdown Box Set,English
1,Fog Elemental,,7,Beatdown Box Set,English
1,Gaseous Form,,8,Beatdown Box Set,English
1,Giant Crab,,9,Beatdown Box Set,English
1,Impulse,,10,Beatdown Box Set,English
1,Killer Whale,,11,Beatdown Box Set,English
1,Leviathan,,12,Beatdown Box Set,English
1,Mahamoti Djinn,,13,Beatdown Box Set,English
1,Power Sink,,14,Beatdown Box Set,English
1,Snapping Drake,,15,Beatdown Box Set,English
1,Tolarian Winds,,16,Beatdown Box Set,English
1,Vigilant Drake,,17,Beatdown Box Set,English
1,Wayward Soul,,18,Beatdown Box Set,English
1,Bone Harvest,,19,Beatdown Box Set,English
1,Coercion,,20,Beatdown Box Set,English
1,Dark Ritual,,21,Beatdown Box Set,English
1,Death Stroke,,22,Beatdown Box Set,English
1,Diabolic Edict,,23,Beatdown Box Set,English
1,Drain Life,,24,Beatdown Box Set,English
1,Fallen Angel,,25,Beatdown Box Set,English
1,Feral Shadow,,26,Beatdown Box Set,English
1,Gravedigger,,27,Beatdown Box Set,English
1,Hollow Dogs,,28,Beatdown Box Set,English
1,Sengir Vampire,,29,Beatdown Box Set,English
1,Skittering Horror,,30,Beatdown Box Set,English
1,Skittering Skirge,,31,Beatdown Box Set,English
1,Tar Pit Warrior,,32,Beatdown Box Set,English
1,Terror,,33,Beatdown Box Set,English
1,Diabolic Vision,,67,Beatdown Box Set,English
1,Clockwork Avian,,69,Beatdown Box Set,English
1,Ebon Stronghold,,72,Beatdown Box Set,English
1,Polluted Mire,,74,Beatdown Box Set,English
1,Remote Isle,,75,Beatdown Box Set,English
1,Svyelunite Temple,,78,Beatdown Box Set,English
4,Island,,79,Beatdown Box Set,English
4,Island,,80,Beatdown Box Set,English
3,Island,,81,Beatdown Box Set,English
4,Swamp,,82,Beatdown Box Set,English
4,Swamp,,83,Beatdown Box Set,English
3,Swamp,,84,Beatdown Box Set,English
