Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Air Elemental,Beatdown Box Set,1,,English,,,,,,,,
1,0,Blizzard Elemental,Beatdown Box Set,2,,English,,,,,,,,
1,0,Brainstorm,Beatdown Box Set,3,,English,,,,,,,,
1,0,Cloud Djinn,Beatdown Box Set,4,,English,,,,,,,,
1,0,Cloud Elemental,Beatdown Box Set,5,,English,,,,,,,,
1,0,Counterspell,Beatdown Box Set,6,,English,,,,,,,,
1,0,Fog Elemental,Beatdown Box Set,7,,English,,,,,,,,
1,0,Gaseous Form,Beatdown Box Set,8,,English,,,,,,,,
1,0,Giant Crab,Beatdown Box Set,9,,English,,,,,,,,
1,0,Impulse,Beatdown Box Set,10,,English,,,,,,,,
1,0,Killer Whale,Beatdown Box Set,11,,English,,,,,,,,
1,0,Leviathan,Beatdown Box Set,12,,English,,,,,,,,
1,0,Mahamoti Djinn,Beatdown Box Set,13,,English,,,,,,,,
1,0,Power Sink,Beatdown Box Set,14,,English,,,,,,,,
1,0,Snapping Drake,Beatdown Box Set,15,,English,,,,,,,,
1,0,Tolarian Winds,Beatdown Box Set,16,,English,,,,,,,,
1,0,Vigilant Drake,Beatdown Box Set,17,,English,,,,,,,,
1,0,Wayward Soul,Beatdown Box Set,18,,English,,,,,,,,
1,0,Bone Harvest,Beatdown Box Set,19,,English,,,,,,,,
1,0,Coercion,Beatdown Box Set,20,,English,,,,,,,,
1,0,Dark Ritual,Beatdown Box Set,21,,English,,,,,,,,
1,0,Death Stroke,Beatdown Box Set,22,,English,,,,,,,,
1,0,Diabolic Edict,Beatdown Box Set,23,,English,,,,,,,,
1,0,Drain Life,Beatdown Box Set,24,,English,,,,,,,,
1,0,Fallen Angel,Beatdown Box Set,25,,English,,,,,,,,
1,0,Feral Shadow,Beatdown Box Set,26,,English,,,,,,,,
1,0,Gravedigger,Beatdown Box Set,27,,English,,,,,,,,
1,0,Hollow Dogs,Beatdown Box Set,28,,English,,,,,,,,
1,0,Sengir Vampire,Beatdown Box Set,29,,English,,,,,,,,
1,0,Skittering Horror,Beatdown Box Set,30,,English,,,,,,,,
1,0,Skittering Skirge,Beatdown Box Set,31,,English,,,,,,,,
1,0,Tar Pit Warrior,Beatdown Box Set,32,,English,,,,,,,,
1,0,Terror,Beatdown Box Set,33,,English,,,,,,,,
1,0,Balduvian Horde,Beatdown Box Set,34,,English,,,,,,,,
1,0,Ball Lightning,Beatdown Box Set,35,,English,,,,,,,,
1,0,Bloodrock Cyclops,Beatdown Box Set,36,,English,,,,,,,,
1,0,Fireball,Beatdown Box Set,37,,English,,,,,,,,
1,0,Hulking Cyclops,Beatdown Box Set,38,,English,,,,,,,,
1,0,Kird Ape,Beatdown Box Set,39,,English,,,,,,,,
1,0,Lava Axe,Beatdown Box Set,40,,English,,,,,,,,
1,0,Lightning Bolt,Beatdown Box Set,41,,English,,,,,,,,
1,0,Lowland Giant,Beatdown Box Set,42,,English,,,,,,,,
1,0,Raging Goblin,Beatdown Box Set,43,,English,,,,,,,,
1,0,Shivan Dragon,Beatdown Box Set,44,,English,,,,,,,,
1,0,Shock,Beatdown Box Set,45,,English,,,,,,,,
1,0,Sonic Burst,Beatdown Box Set,46,,English,,,,,,,,
1,0,Talruum Minotaur,Beatdown Box Set,47,,English,,,,,,,,
1,0,Thunderbolt,Beatdown Box Set,48,,English,,,,,,,,
1,0,Thundering Giant,Beatdown Box Set,49,,English,,,,,,,,
1,0,Viashino Warrior,Beatdown Box Set,50,,English,,,,,,,,
1,0,Crash of Rhinos,Beatdown Box Set,51,,English,,,,,,,,
1,0,Crashing Boars,Beatdown Box Set,52,,English,,,,,,,,
1,0,Deadly Insect,Beatdown Box Set,53,,English,,,,,,,,
1,0,Erhnam Djinn,Beatdown Box Set,54,,English,,,,,,,,
1,0,Fog,Beatdown Box Set,55,,English,,,,,,,,
1,0,Force of Nature,Beatdown Box Set,56,,English,,,,,,,,
1,0,Giant Growth,Beatdown Box Set,57,,English,,,,,,,,
1,0,Llanowar Elves,Beatdown Box Set,58,,English,,,,,,,,
1,0,Plated Spider,Beatdown Box Set,59,,English,,,,,,,,
1,0,Quirion Elves,Beatdown Box Set,60,,English,,,,,,,,
1,0,Rampant Growth,Beatdown Box Set,61,,English,,,,,,,,
1,0,Scaled Wurm,Beatdown Box Set,62,,English,,,,,,,,
1,0,Shambling Strider,Beatdown Box Set,63,,English,,,,,,,,
1,0,Wild Growth,Beatdown Box Set,64,,English,,,,,,,,
1,0,Woolly Spider,Beatdown Box Set,65,,English,,,,,,,,
1,0,Yavimaya Wurm,Beatdown Box Set,66,,English,,,,,,,,
1,0,Diabolic Vision,Beatdown Box Set,67,,English,,,,,,,,
1,0,Segmented Wurm,Beatdown Box Set,68,,English,,,,,,,,
1,0,Clockwork Avian,Beatdown Box Set,69,,English,,,,,,,,
1,0,Clockwork Beast,Beatdown Box Set,70,,English,,,,,,,,
1,0,Dwarven Ruins,Beatdown Box Set,71,,English,,,,,,,,
1,0,Ebon Stronghold,Beatdown Box Set,72,,English,,,,,,,,
1,0,Havenwood Battleground,Beatdown Box Set,73,,English,,,,,,,,
1,0,Polluted Mire,Beatdown Box Set,74,,English,,,,,,,,
1,0,Remote Isle,Beatdown Box Set,75,,English,,,,,,,,
1,0,Slippery Karst,Beatdown Box Set,76,,English,,,,,,,,
1,0,Smoldering Crater,Beatdown Box Set,77,,English,,,,,,,,
1,0,Svyelunite Temple,Beatdown Box Set,78,,English,,,,,,,,
4,0,Island,Beatdown Box Set,79,,English,,,,,,,,
4,0,Island,Beatdown Box Set,80,,English,,,,,,,,
3,0,Island,Beatdown Box Set,81,,English,,,,,,,,
4,0,Swamp,Beatdown Box Set,82,,English,,,,,,,,
4,0,Swamp,Beatdown Box Set,83,,English,,,,,,,,
3,0,Swamp,Beatdown Box Set,84,,English,,,,,,,,
4,0,Mountain,Beatdown Box Set,85,,English,,,,,,,,
4,0,Mountain,Beatdown Box Set,86,,English,,,,,,,,
3,0,Mountain,Beatdown Box Set,87,,English,,,,,,,,
4,0,Forest,Beatdown Box Set,88,,English,,,,,,,,
4,0,Forest,Beatdown Box Set,89,,English,,,,,,,,
3,0,Forest,Beatdown Box Set,90,,English,,,,,,,,




