Count,Name,Foil,Card Number,Edition,Language
1,"Derevi, Empyrial Tactician",foil,1,Oversized: Commander 2013,English
1,Roon of the Hidden Realm,foil,9,Oversized: Commander 2013,English
1,Rubinia Soulsinger,foil,10,Oversized: Commander 2013,English
1,Aerie Mystics,,2,Commander 2013,English
1,Angel of Finality,,4,Commander 2013,English
1,Curse of the Forsaken,,8,Commander 2013,English
1,Darksteel Mutation,,9,Commander 2013,English
1,Fiend Hunter,,11,Commander 2013,English
1,Flickerform,,12,Commander 2013,English
1,Flickerwisp,,13,Commander 2013,English
1,Karmic Guide,,14,Commander 2013,English
1,Kirtar's Wrath,,15,Commander 2013,English
1,Mirror Entity,,17,Commander 2013,English
1,Stonecloaker,,22,Commander 2013,English
1,Tempt with Glory,,24,Commander 2013,English
1,Unexpectedly Absent,,25,Commander 2013,English
1,Arcane Denial,,28,Commander 2013,English
1,"Azami, Lady of Scrolls",,31,Commander 2013,English
1,Blue Sun's Zenith,,32,Commander 2013,English
1,"Borrowing 100,000 Arrows",,33,Commander 2013,English
1,Control Magic,,35,Commander 2013,English
1,Curse of Inertia,,36,Commander 2013,English
1,Deceiver Exarch,,37,Commander 2013,English
1,Diviner Spirit,,40,Commander 2013,English
1,Djinn of Infinite Deceits,,41,Commander 2013,English
1,Dungeon Geists,,42,Commander 2013,English
1,Hada Spy Patrol,,46,Commander 2013,English
1,"Lu Xun, Scholar General",,49,Commander 2013,English
1,Thornwind Faeries,,61,Commander 2013,English
1,Wash Out,,66,Commander 2013,English
1,Wonder,,67,Commander 2013,English
1,Acidic Slime,,134,Commander 2013,English
1,Bane of Progress,,137,Commander 2013,English
1,Curse of Predation,,140,Commander 2013,English
1,Farhaven Elf,,144,Commander 2013,English
1,Kazandu Tuskcaller,,152,Commander 2013,English
1,Krosan Grip,,153,Commander 2013,English
1,Phantom Nantuko,,160,Commander 2013,English
1,Presence of Gond,,161,Commander 2013,English
1,Restore,,167,Commander 2013,English
1,Aethermage's Touch,,176,Commander 2013,English
1,"Derevi, Empyrial Tactician",,186,Commander 2013,English
1,Leafdrake Roost,,196,Commander 2013,English
1,Roon of the Hidden Realm,,206,Commander 2013,English
1,Rubinia Soulsinger,,207,Commander 2013,English
1,Selesnya Charm,,211,Commander 2013,English
1,Skyward Eye Prophets,,214,Commander 2013,English
1,Winged Coatl,,226,Commander 2013,English
1,Mistmeadow Witch,,230,Commander 2013,English
1,Murkfiend Liege,,231,Commander 2013,English
1,Selesnya Guildmage,,232,Commander 2013,English
1,Azorius Keyrune,,236,Commander 2013,English
1,Basalt Monolith,,237,Commander 2013,English
1,Conjurer's Closet,,239,Commander 2013,English
1,Darksteel Ingot,,241,Commander 2013,English
1,Leonin Bladetrap,,245,Commander 2013,English
1,Pilgrim's Eye,,253,Commander 2013,English
1,Selesnya Signet,,257,Commander 2013,English
1,Simic Signet,,258,Commander 2013,English
1,Sol Ring,,259,Commander 2013,English
1,Surveyor's Scope,,262,Commander 2013,English
1,Swiftfoot Boots,,263,Commander 2013,English
1,Sword of the Paruns,,264,Commander 2013,English
1,Thousand-Year Elixir,,266,Commander 2013,English
1,Thunderstaff,,267,Commander 2013,English
1,Azorius Chancery,,274,Commander 2013,English
1,Azorius Guildgate,,275,Commander 2013,English
1,Bant Panorama,,276,Commander 2013,English
1,Command Tower,,281,Commander 2013,English
1,Evolving Wilds,,287,Commander 2013,English
1,Faerie Conclave,,288,Commander 2013,English
1,Opal Palace,,310,Commander 2013,English
1,Rupture Spire,,315,Commander 2013,English
1,Saltcrusted Steppe,,316,Commander 2013,English
1,Seaside Citadel,,318,Commander 2013,English
1,Secluded Steppe,,319,Commander 2013,English
1,Sejiri Refuge,,320,Commander 2013,English
1,Selesnya Guildgate,,321,Commander 2013,English
1,Selesnya Sanctuary,,322,Commander 2013,English
1,Simic Guildgate,,323,Commander 2013,English
1,Temple of the False God,,327,Commander 2013,English
1,Terramorphic Expanse,,328,Commander 2013,English
1,Transguild Promenade,,330,Commander 2013,English
2,Plains,,337,Commander 2013,English
1,Plains,,338,Commander 2013,English
2,Plains,,339,Commander 2013,English
2,Plains,,340,Commander 2013,English
1,Island,,341,Commander 2013,English
2,Island,,342,Commander 2013,English
2,Island,,343,Commander 2013,English
2,Island,,344,Commander 2013,English
2,Forest,,353,Commander 2013,English
2,Forest,,354,Commander 2013,English
1,Forest,,355,Commander 2013,English
1,Forest,,356,Commander 2013,English
