Count,Name,Foil,Card Number,Edition,Language
1,Angel of the Dire Hour,,1,Commander 2014,English
1,Angelic Field Marshal,,2,Commander 2014,English
1,Benevolent Offering,,3,Commander 2014,English
1,Comeuppance,,4,Commander 2014,English
1,Containment Priest,,5,Commander 2014,English
1,Deploy to the Front,,6,Commander 2014,English
1,Fell the Mighty,,7,Commander 2014,English
1,Hallowed Spiritkeeper,,8,Commander 2014,English
1,Jazal Goldmane,,9,Commander 2014,English
1,"Nahiri, the Lithomancer",,10,Commander 2014,English
1,Aether Gale,,11,Commander 2014,English
1,Breaching Leviathan,,12,Commander 2014,English
1,Domineering Will,,13,Commander 2014,English
1,Dulcet Sirens,,14,Commander 2014,English
1,Intellectual Offering,,15,Commander 2014,English
1,Reef Worm,,16,Commander 2014,English
1,Stitcher Geralf,,17,Commander 2014,English
1,Stormsurge Kraken,,18,Commander 2014,English
1,"Teferi, Temporal Archmage",,19,Commander 2014,English
1,Well of Ideas,,20,Commander 2014,English
1,Demon of Wailing Agonies,,21,Commander 2014,English
1,Flesh Carver,,22,Commander 2014,English
1,Ghoulcaller Gisa,,23,Commander 2014,English
1,Infernal Offering,,24,Commander 2014,English
1,Malicious Affliction,,25,Commander 2014,English
1,Necromantic Selection,,26,Commander 2014,English
1,Ob Nixilis of the Black Oath,,27,Commander 2014,English
1,Overseer of the Damned,,28,Commander 2014,English
1,Raving Dead,,29,Commander 2014,English
1,Spoils of Blood,,30,Commander 2014,English
1,Wake the Dead,,31,Commander 2014,English
1,Bitter Feud,,32,Commander 2014,English
1,"Daretti, Scrap Savant",,33,Commander 2014,English
1,Dualcaster Mage,,34,Commander 2014,English
1,Feldon of the Third Path,,35,Commander 2014,English
1,Impact Resonance,,36,Commander 2014,English
1,Incite Rebellion,,37,Commander 2014,English
1,Scrap Mastery,,38,Commander 2014,English
1,Tyrant's Familiar,,39,Commander 2014,English
1,Volcanic Offering,,40,Commander 2014,English
1,Warmonger Hellkite,,41,Commander 2014,English
1,Creeperhulk,,42,Commander 2014,English
1,"Freyalise, Llanowar's Fury",,43,Commander 2014,English
1,Grave Sifter,,44,Commander 2014,English
1,Lifeblood Hydra,,45,Commander 2014,English
1,Siege Behemoth,,46,Commander 2014,English
1,Song of the Dryads,,47,Commander 2014,English
1,Sylvan Offering,,48,Commander 2014,English
1,Thunderfoot Baloth,,49,Commander 2014,English
1,"Titania, Protector of Argoth",,50,Commander 2014,English
1,Wave of Vitriol,,51,Commander 2014,English
1,Wolfcaller's Howl,,52,Commander 2014,English
3,Assault Suit,,53,Commander 2014,English
5,Commander's Sphere,,54,Commander 2014,English
1,Crown of Doom,,55,Commander 2014,English
3,Loreseeker's Stone,,56,Commander 2014,English
1,Masterwork of Ingenuity,,57,Commander 2014,English
3,Unstable Obelisk,,58,Commander 2014,English
3,Arcane Lighthouse,,59,Commander 2014,English
1,Flamekin Village,,60,Commander 2014,English
3,Myriad Landscape,,61,Commander 2014,English
1,Artisan of Kozilek,,62,Commander 2014,English
1,Adarkar Valkyrie,,63,Commander 2014,English
1,Afterlife,,64,Commander 2014,English
1,Armistice,,65,Commander 2014,English
1,Brave the Elements,,66,Commander 2014,English
1,Cathars' Crusade,,67,Commander 2014,English
1,Celestial Crusader,,68,Commander 2014,English
1,Condemn,,69,Commander 2014,English
1,Decree of Justice,,70,Commander 2014,English
1,Flickerwisp,,71,Commander 2014,English
1,Geist-Honored Monk,,72,Commander 2014,English
1,Gift of Estates,,73,Commander 2014,English
1,Grand Abolisher,,74,Commander 2014,English
1,"Kemba, Kha Regent",,75,Commander 2014,English
1,Kor Sanctifiers,,76,Commander 2014,English
1,Marshal's Anthem,,77,Commander 2014,English
1,Martial Coup,,78,Commander 2014,English
1,Mentor of the Meek,,79,Commander 2014,English
1,Midnight Haunting,,80,Commander 2014,English
1,Mobilization,,81,Commander 2014,English
1,Nomads' Assembly,,82,Commander 2014,English
1,Oblation,,83,Commander 2014,English
1,Requiem Angel,,84,Commander 2014,English
1,Return to Dust,,85,Commander 2014,English
1,Sacred Mesa,,86,Commander 2014,English
1,Serra Avatar,,87,Commander 2014,English
1,Silverblade Paladin,,88,Commander 2014,English
1,Skyhunter Skirmisher,,89,Commander 2014,English
1,Spectral Procession,,90,Commander 2014,English
1,Sun Titan,,91,Commander 2014,English
1,Sunblast Angel,,92,Commander 2014,English
1,True Conviction,,93,Commander 2014,English
1,Twilight Shepherd,,94,Commander 2014,English
1,White Sun's Zenith,,95,Commander 2014,English
