Count,Name,Foil,Card Number,Edition,Language
1,"Nahiri, the Lithomancer",foil,10,Oversized: Commander 2014,English
1,Angel of the Dire Hour,,1,Commander 2014,English
1,Angelic Field Marshal,,2,Commander 2014,English
1,Benevolent Offering,,3,Commander 2014,English
1,Comeuppance,,4,Commander 2014,English
1,Containment Priest,,5,Commander 2014,English
1,Deploy to the Front,,6,Commander 2014,English
1,Fell the Mighty,,7,Commander 2014,English
1,Hallowed Spiritkeeper,,8,Commander 2014,English
1,Jazal Goldmane,,9,Commander 2014,English
1,"Nahiri, the Lithomancer",,10,Commander 2014,English
1,Assault Suit,,53,Commander 2014,English
1,Commander's Sphere,,54,Commander 2014,English
1,Loreseeker's Stone,,56,Commander 2014,English
1,Masterwork of Ingenuity,,57,Commander 2014,English
1,Arcane Lighthouse,,59,Commander 2014,English
1,Adarkar Valkyrie,,63,Commander 2014,English
1,Afterlife,,64,Commander 2014,English
1,Armistice,,65,Commander 2014,English
1,Brave the Elements,,66,Commander 2014,English
1,Cathars' Crusade,,67,Commander 2014,English
1,Celestial Crusader,,68,Commander 2014,English
1,Condemn,,69,Commander 2014,English
1,Decree of Justice,,70,Commander 2014,English
1,Flickerwisp,,71,Commander 2014,English
1,Geist-Honored Monk,,72,Commander 2014,English
1,Gift of Estates,,73,Commander 2014,English
1,Grand Abolisher,,74,Commander 2014,English
1,"Kemba, Kha Regent",,75,Commander 2014,English
1,Kor Sanctifiers,,76,Commander 2014,English
1,Marshal's Anthem,,77,Commander 2014,English
1,Martial Coup,,78,Commander 2014,English
1,Mentor of the Meek,,79,Commander 2014,English
1,Midnight Haunting,,80,Commander 2014,English
1,Mobilization,,81,Commander 2014,English
1,Nomads' Assembly,,82,Commander 2014,English
1,Oblation,,83,Commander 2014,English
1,Requiem Angel,,84,Commander 2014,English
1,Return to Dust,,85,Commander 2014,English
1,Sacred Mesa,,86,Commander 2014,English
1,Serra Avatar,,87,Commander 2014,English
1,Silverblade Paladin,,88,Commander 2014,English
1,Skyhunter Skirmisher,,89,Commander 2014,English
1,Spectral Procession,,90,Commander 2014,English
1,Sun Titan,,91,Commander 2014,English
1,Sunblast Angel,,92,Commander 2014,English
1,True Conviction,,93,Commander 2014,English
1,Twilight Shepherd,,94,Commander 2014,English
1,White Sun's Zenith,,95,Commander 2014,English
1,Whitemane Lion,,96,Commander 2014,English
1,Wing Shards,,97,Commander 2014,English
1,Argentum Armor,,228,Commander 2014,English
1,Bonehoard,,229,Commander 2014,English
1,Loxodon Warhammer,,247,Commander 2014,English
1,Marble Diamond,,248,Commander 2014,English
1,Mask of Memory,,249,Commander 2014,English
1,Moonsilver Spear,,251,Commander 2014,English
1,Pearl Medallion,,260,Commander 2014,English
1,Skullclamp,,268,Commander 2014,English
1,Sol Ring,,270,Commander 2014,English
1,Strata Scythe,,274,Commander 2014,English
1,Swiftfoot Boots,,275,Commander 2014,English
1,Sword of Vengeance,,276,Commander 2014,English
1,Drifting Meadow,,292,Commander 2014,English
1,"Emeria, the Sky Ruin",,293,Commander 2014,English
1,Ghost Quarter,,298,Commander 2014,English
1,Karoo,,303,Commander 2014,English
1,Secluded Steppe,,310,Commander 2014,English
1,Temple of the False God,,314,Commander 2014,English
8,Plains,,318,Commander 2014,English
8,Plains,,319,Commander 2014,English
8,Plains,,320,Commander 2014,English
8,Plains,,321,Commander 2014,English
2,Angel // Cat,,37,Extras: Commander 2014,English
3,Kor Soldier // Pegasus,,41,Extras: Commander 2014,English
4,Soldier // Spirit,,42,Extras: Commander 2014,English
1,Germ // Stoneforged Blade,,49,Extras: Commander 2014,English
