Count,Name,Foil,Card Number,Edition,Language
1,"Freyalise, Llanowar's Fury",foil,43,Oversized: Commander 2014,English
1,Creeperhulk,,42,Commander 2014,English
1,"Freyalise, Llanowar's Fury",,43,Commander 2014,English
1,Grave Sifter,,44,Commander 2014,English
1,Lifeblood Hydra,,45,Commander 2014,English
1,Siege Behemoth,,46,Commander 2014,English
1,Song of the Dryads,,47,Commander 2014,English
1,Sylvan Offering,,48,Commander 2014,English
1,Thunderfoot Baloth,,49,Commander 2014,English
1,"Titania, Protector of Argoth",,50,Commander 2014,English
1,Wave of Vitriol,,51,Commander 2014,English
1,Wolfcaller's Howl,,52,Commander 2014,English
1,Assault Suit,,53,Commander 2014,English
1,Commander's Sphere,,54,Commander 2014,English
1,Loreseeker's Stone,,56,Commander 2014,English
1,Myriad Landscape,,61,Commander 2014,English
1,Beastmaster Ascension,,186,Commander 2014,English
1,Collective Unconscious,,187,Commander 2014,English
1,Desert Twister,,188,Commander 2014,English
1,Drove of Elves,,189,Commander 2014,English
1,Elvish Archdruid,,190,Commander 2014,English
1,Elvish Mystic,,191,Commander 2014,English
1,Elvish Skysweeper,,192,Commander 2014,English
1,Elvish Visionary,,193,Commander 2014,English
1,Essence Warden,,194,Commander 2014,English
1,"Ezuri, Renegade Leader",,195,Commander 2014,English
1,Farhaven Elf,,196,Commander 2014,English
1,Fresh Meat,,197,Commander 2014,English
1,Grim Flowering,,198,Commander 2014,English
1,Harrow,,199,Commander 2014,English
1,Hunting Triad,,200,Commander 2014,English
1,Immaculate Magistrate,,201,Commander 2014,English
1,Imperious Perfect,,202,Commander 2014,English
1,Joraga Warcaller,,203,Commander 2014,English
1,Llanowar Elves,,204,Commander 2014,English
1,Lys Alana Huntmaster,,205,Commander 2014,English
1,Masked Admirers,,206,Commander 2014,English
1,Overrun,,207,Commander 2014,English
1,Overwhelming Stampede,,208,Commander 2014,English
1,Praetor's Counsel,,209,Commander 2014,English
1,Priest of Titania,,210,Commander 2014,English
1,Primordial Sage,,211,Commander 2014,English
1,Rampaging Baloths,,212,Commander 2014,English
1,Reclamation Sage,,213,Commander 2014,English
1,Silklash Spider,,214,Commander 2014,English
1,Soul of the Harvest,,215,Commander 2014,English
1,Sylvan Ranger,,216,Commander 2014,English
1,Sylvan Safekeeper,,217,Commander 2014,English
1,Terastodon,,218,Commander 2014,English
1,Thornweald Archer,,219,Commander 2014,English
1,Timberwatch Elf,,220,Commander 2014,English
1,Titania's Chosen,,221,Commander 2014,English
1,Tornado Elemental,,222,Commander 2014,English
1,Wellwisher,,223,Commander 2014,English
1,Whirlwind,,224,Commander 2014,English
1,Wolfbriar Elemental,,225,Commander 2014,English
1,Wood Elves,,226,Commander 2014,English
1,Wren's Run Packmaster,,227,Commander 2014,English
1,Emerald Medallion,,237,Commander 2014,English
1,Moss Diamond,,252,Commander 2014,English
1,"Predator, Flagship",,263,Commander 2014,English
1,Seer's Sundial,,267,Commander 2014,English
1,Skullclamp,,268,Commander 2014,English
1,Sol Ring,,270,Commander 2014,English
1,Swiftfoot Boots,,275,Commander 2014,English
1,Crystal Vein,,289,Commander 2014,English
1,Evolving Wilds,,295,Commander 2014,English
1,Gargoyle Castle,,297,Commander 2014,English
1,Ghost Quarter,,298,Commander 2014,English
1,Haunted Fengraf,,300,Commander 2014,English
1,Havenwood Battleground,,301,Commander 2014,English
1,Jungle Basin,,302,Commander 2014,English
1,"Oran-Rief, the Vastwood",,305,Commander 2014,English
1,Slippery Karst,,311,Commander 2014,English
1,Terramorphic Expanse,,315,Commander 2014,English
1,Tranquil Thicket,,316,Commander 2014,English
6,Forest,,334,Commander 2014,English
6,Forest,,335,Commander 2014,English
6,Forest,,336,Commander 2014,English
7,Forest,,337,Commander 2014,English
2,Beast // Elemental,,52,Extras: Commander 2014,English
2,Beast // Elf Druid,,53,Extras: Commander 2014,English
3,Elephant // Elf Warrior,,54,Extras: Commander 2014,English
1,Elf Warrior // Gargoyle,,55,Extras: Commander 2014,English
2,Treefolk // Wolf,,56,Extras: Commander 2014,English
