Count,Name,Foil,Card Number,Edition,Language
1,"Teferi, Temporal Archmage",foil,19,Oversized: Commander 2014,English
1,Aether Gale,,11,Commander 2014,English
1,Breaching Leviathan,,12,Commander 2014,English
1,Domineering Will,,13,Commander 2014,English
1,Dulcet Sirens,,14,Commander 2014,English
1,Intellectual Offering,,15,Commander 2014,English
1,Reef Worm,,16,Commander 2014,English
1,Stitcher Geralf,,17,Commander 2014,English
1,Stormsurge Kraken,,18,Commander 2014,English
1,"Teferi, Temporal Archmage",,19,Commander 2014,English
1,Well of Ideas,,20,Commander 2014,English
1,Assault Suit,,53,Commander 2014,English
1,Commander's Sphere,,54,Commander 2014,English
1,Crown of Doom,,55,Commander 2014,English
1,Unstable Obelisk,,58,Commander 2014,English
1,Myriad Landscape,,61,Commander 2014,English
1,Artisan of Kozilek,,62,Commander 2014,English
1,Azure Mage,,98,Commander 2014,English
1,Brine Elemental,,99,Commander 2014,English
1,Cackling Counterpart,,100,Commander 2014,English
1,Call to Mind,,101,Commander 2014,English
1,Compulsive Research,,102,Commander 2014,English
1,Concentrate,,103,Commander 2014,English
1,Cyclonic Rift,,104,Commander 2014,English
1,Deep-Sea Kraken,,105,Commander 2014,English
1,Dismiss,,106,Commander 2014,English
1,Distorting Wake,,107,Commander 2014,English
1,Exclude,,108,Commander 2014,English
1,Fathom Seer,,109,Commander 2014,English
1,Fog Bank,,110,Commander 2014,English
1,Fool's Demise,,111,Commander 2014,English
1,Frost Titan,,112,Commander 2014,English
1,Hoverguard Sweepers,,113,Commander 2014,English
1,Infinite Reflection,,114,Commander 2014,English
1,Into the Roil,,115,Commander 2014,English
1,Ixidron,,116,Commander 2014,English
1,"Lorthos, the Tidemaker",,117,Commander 2014,English
1,Mulldrifter,,118,Commander 2014,English
1,Phyrexian Ingester,,119,Commander 2014,English
1,Pongify,,120,Commander 2014,English
1,Riptide Survivor,,121,Commander 2014,English
1,Rite of Replication,,122,Commander 2014,English
1,Rush of Knowledge,,123,Commander 2014,English
1,Sea Gate Oracle,,124,Commander 2014,English
1,Shaper Parasite,,125,Commander 2014,English
1,Sphinx of Jwar Isle,,126,Commander 2014,English
1,Sphinx of Magosi,,127,Commander 2014,English
1,Sphinx of Uthuun,,128,Commander 2014,English
1,Stroke of Genius,,129,Commander 2014,English
1,Turn to Frog,,130,Commander 2014,English
1,Willbender,,131,Commander 2014,English
1,Dreamstone Hedron,,236,Commander 2014,English
1,Everflowing Chalice,,239,Commander 2014,English
1,Mind Stone,,250,Commander 2014,English
1,Nevinyrral's Disk,,257,Commander 2014,English
1,Sapphire Medallion,,266,Commander 2014,English
1,Sky Diamond,,269,Commander 2014,English
1,Sol Ring,,270,Commander 2014,English
1,Steel Hellkite,,273,Commander 2014,English
1,Swiftfoot Boots,,275,Commander 2014,English
1,Thran Dynamo,,277,Commander 2014,English
1,Tormod's Crypt,,278,Commander 2014,English
1,Ur-Golem's Eye,,280,Commander 2014,English
1,Worn Powerstone,,282,Commander 2014,English
1,Coral Atoll,,287,Commander 2014,English
1,Ghost Quarter,,298,Commander 2014,English
1,Lonely Sandbar,,304,Commander 2014,English
1,Remote Isle,,309,Commander 2014,English
1,Tectonic Edge,,313,Commander 2014,English
1,Zoetic Cavern,,317,Commander 2014,English
7,Island,,322,Commander 2014,English
8,Island,,323,Commander 2014,English
8,Island,,324,Commander 2014,English
8,Island,,325,Commander 2014,English
2,Fish // Zombie,,43,Extras: Commander 2014,English
2,Kraken // Zombie,,44,Extras: Commander 2014,English
2,Whale // Zombie,,45,Extras: Commander 2014,English
3,Ape // Zombie,,51,Extras: Commander 2014,English
1,Emblem: Teferi // Zombie,,58,Extras: Commander 2014,English
