Count,Name,Foil,Card Number,Edition,Language
1,Mizzix of the Izmagnus,foil,50,Oversized: Commander 2015,English
1,Aethersnatch,,9,Commander 2015,English
1,Broodbirth Viper,,10,Commander 2015,English
1,Gigantoplasm,,11,Commander 2015,English
1,Illusory Ambusher,,12,Commander 2015,English
1,Mirror Match,,13,Commander 2015,English
1,Mystic Confluence,,14,Commander 2015,English
1,Awaken the Sky Tyrant,,24,Commander 2015,English
1,Meteor Blast,,28,Commander 2015,English
1,Mizzix's Mastery,,29,Commander 2015,English
1,Rite of the Raging Storm,,30,Commander 2015,English
1,Warchief Giant,,31,Commander 2015,English
1,"Arjun, the Shifting Flame",,42,Commander 2015,English
1,Mizzix of the Izmagnus,,50,Commander 2015,English
1,Seal of the Guildpact,,54,Commander 2015,English
1,Thought Vessel,,55,Commander 2015,English
1,Aetherize,,85,Commander 2015,English
1,Blatant Thievery,,87,Commander 2015,English
1,Blue Sun's Zenith,,88,Commander 2015,English
1,Blustersquall,,89,Commander 2015,English
1,Brainstorm,,90,Commander 2015,English
1,Dominate,,92,Commander 2015,English
1,Echoing Truth,,93,Commander 2015,English
1,Fact or Fiction,,94,Commander 2015,English
1,Jace's Archivist,,95,Commander 2015,English
1,Lone Revenant,,96,Commander 2015,English
1,Mystic Retrieval,,98,Commander 2015,English
1,Preordain,,101,Commander 2015,English
1,Reins of Power,,103,Commander 2015,English
1,Repeal,,104,Commander 2015,English
1,Rite of Replication,,105,Commander 2015,English
1,Sleep,,106,Commander 2015,English
1,Stolen Goods,,107,Commander 2015,English
1,Stroke of Genius,,108,Commander 2015,English
1,"Talrand, Sky Summoner",,109,Commander 2015,English
1,Thought Reflection,,110,Commander 2015,English
1,Windfall,,111,Commander 2015,English
1,Act of Aggression,,141,Commander 2015,English
1,Chain Reaction,,144,Commander 2015,English
1,Charmbreaker Devils,,145,Commander 2015,English
1,Comet Storm,,146,Commander 2015,English
1,Desperate Ravings,,149,Commander 2015,English
1,Dragon Mage,,151,Commander 2015,English
1,Faithless Looting,,153,Commander 2015,English
1,Magmaquake,,162,Commander 2015,English
1,Mizzium Mortars,,163,Commander 2015,English
1,Urza's Rage,,169,Commander 2015,English
1,Vandalblast,,170,Commander 2015,English
1,Word of Seizing,,172,Commander 2015,English
1,Counterflux,,214,Commander 2015,English
1,Epic Experiment,,216,Commander 2015,English
1,Etherium-Horn Sorcerer,,217,Commander 2015,English
1,Firemind's Foresight,,218,Commander 2015,English
1,Goblin Electromancer,,220,Commander 2015,English
1,"Melek, Izzet Paragon",,227,Commander 2015,English
1,Prophetic Bolt,,231,Commander 2015,English
1,Steam Augury,,233,Commander 2015,English
1,Call the Skybreaker,,240,Commander 2015,English
1,Izzet Signet,,256,Commander 2015,English
1,Psychosis Crawler,,263,Commander 2015,English
1,Sol Ring,,268,Commander 2015,English
1,Worn Powerstone,,275,Commander 2015,English
1,Command Tower,,281,Commander 2015,English
1,Evolving Wilds,,283,Commander 2015,English
1,Izzet Boilerworks,,290,Commander 2015,English
1,Izzet Guildgate,,291,Commander 2015,English
1,Reliquary Tower,,301,Commander 2015,English
1,Rogue's Passage,,302,Commander 2015,English
1,Spinerock Knoll,,309,Commander 2015,English
1,Swiftwater Cliffs,,310,Commander 2015,English
1,Temple of the False God,,313,Commander 2015,English
1,Terramorphic Expanse,,314,Commander 2015,English
1,Vivid Crag,,316,Commander 2015,English
1,Vivid Creek,,317,Commander 2015,English
4,Island,,327,Commander 2015,English
4,Island,,328,Commander 2015,English
3,Island,,329,Commander 2015,English
3,Island,,330,Commander 2015,English
4,Mountain,,335,Commander 2015,English
3,Mountain,,336,Commander 2015,English
3,Mountain,,337,Commander 2015,English
3,Mountain,,338,Commander 2015,English
1,Dragon,,9,Extras: Commander 2015,English
1,Lightning Rager,,11,Extras: Commander 2015,English
1,Experience,,25,Extras: Commander 2015,English
7,Drake // Elemental,,31,Extras: Commander 2015,English
