Count,Name,Foil,Card Number,Edition,Language
1,Kynaios and Tiro of Meletis,foil,36,Oversized: Commander 2016,English
1,Entrapment Maneuver,,2,Commander 2016,English
1,Orzhov Advokist,,3,Commander 2016,English
1,Selfless Squire,,4,Commander 2016,English
1,Benefactor's Draught,,21,Commander 2016,English
1,Evolutionary Escalation,,22,Commander 2016,English
1,Seeds of Renewal,,24,Commander 2016,English
1,"Kraum, Ludevic's Opus",foil,34,Commander 2016,English
1,Kynaios and Tiro of Meletis,foil,36,Commander 2016,English
1,"Ludevic, Necro-Alchemist",foil,37,Commander 2016,English
1,Migratory Route,,38,Commander 2016,English
1,Sidar Kondo of Jamuraa,foil,42,Commander 2016,English
1,Sylvan Reclamation,,44,Commander 2016,English
1,Treacherous Terrain,,47,Commander 2016,English
1,Prismatic Geoscope,,55,Commander 2016,English
1,Ash Barrens,,56,Commander 2016,English
1,Blazing Archon,,58,Commander 2016,English
1,Ghostly Prison,,66,Commander 2016,English
1,Hoofprints of the Stag,,67,Commander 2016,English
1,Hushwing Gryff,,68,Commander 2016,English
1,Oblation,,71,Commander 2016,English
1,Reverse the Sands,,75,Commander 2016,English
1,Sphere of Safety,,77,Commander 2016,English
1,Swords to Plowshares,,78,Commander 2016,English
1,Wave of Reckoning,,79,Commander 2016,English
1,Windborn Muse,,80,Commander 2016,English
1,Arcane Denial,,83,Commander 2016,English
1,Chasm Skulker,,85,Commander 2016,English
1,Minds Aglow,,93,Commander 2016,English
1,Propaganda,,94,Commander 2016,English
1,Reins of Power,,96,Commander 2016,English
1,Swan Song,,98,Commander 2016,English
1,Blasphemous Act,,120,Commander 2016,English
1,Humble Defector,,129,Commander 2016,English
1,"Kazuul, Tyrant of the Cliffs",,130,Commander 2016,English
1,Beast Within,,141,Commander 2016,English
1,Collective Voyage,,145,Commander 2016,English
1,Cultivate,,146,Commander 2016,English
1,Kodama's Reach,,155,Commander 2016,English
1,Lurking Predators,,156,Commander 2016,English
1,Oath of Druids,,159,Commander 2016,English
1,Realm Seekers,,162,Commander 2016,English
1,Rites of Flourishing,,163,Commander 2016,English
1,Tempt with Discovery,,170,Commander 2016,English
1,Veteran Explorer,,174,Commander 2016,English
1,"Edric, Spymaster of Trest",,195,Commander 2016,English
1,"Gwafa Hazid, Profiteer",,202,Commander 2016,English
1,Horizon Chimera,,204,Commander 2016,English
1,Progenitor Mimic,,216,Commander 2016,English
1,Rubblehulk,,219,Commander 2016,English
1,"Selvala, Explorer Returned",,220,Commander 2016,English
1,Zedruu the Greathearted,,231,Commander 2016,English
1,Akroan Horse,,241,Commander 2016,English
1,Assault Suit,,242,Commander 2016,English
1,Commander's Sphere,,248,Commander 2016,English
1,Empyrial Plate,,251,Commander 2016,English
1,Howling Mine,,257,Commander 2016,English
1,Keening Stone,,259,Commander 2016,English
1,Psychosis Crawler,,267,Commander 2016,English
1,Sol Ring,,272,Commander 2016,English
1,Temple Bell,,277,Commander 2016,English
1,Venser's Journal,,279,Commander 2016,English
1,Azorius Chancery,,282,Commander 2016,English
1,Command Tower,,286,Commander 2016,English
1,Evolving Wilds,,294,Commander 2016,English
1,Exotic Orchard,,295,Commander 2016,English
1,Forbidden Orchard,,296,Commander 2016,English
1,Frontier Bivouac,,297,Commander 2016,English
1,Gruul Turf,,300,Commander 2016,English
1,Homeward Path,,301,Commander 2016,English
1,Izzet Boilerworks,,302,Commander 2016,English
1,Jungle Shrine,,304,Commander 2016,English
1,Krosan Verge,,306,Commander 2016,English
1,Myriad Landscape,,309,Commander 2016,English
1,Mystic Monastery,,310,Commander 2016,English
1,Opal Palace,,312,Commander 2016,English
1,Rupture Spire,,319,Commander 2016,English
1,Seaside Citadel,,322,Commander 2016,English
1,Selesnya Sanctuary,,324,Commander 2016,English
1,Terramorphic Expanse,,332,Commander 2016,English
1,Transguild Promenade,,334,Commander 2016,English
2,Plains,,337,Commander 2016,English
2,Plains,,338,Commander 2016,English
1,Plains,,339,Commander 2016,English
2,Island,,340,Commander 2016,English
1,Island,,341,Commander 2016,English
2,Island,,342,Commander 2016,English
1,Mountain,,346,Commander 2016,English
2,Mountain,,347,Commander 2016,English
2,Mountain,,348,Commander 2016,English
1,Forest,,349,Commander 2016,English
2,Forest,,350,Commander 2016,English
2,Forest,,351,Commander 2016,English
4,Spirit // Spirit,,22,Extras: Commander 2016,English
2,Soldier // Elemental,,26,Extras: Commander 2016,English
2,Soldier // Squid,,28,Extras: Commander 2016,English
1,Bird // Ogre,,31,Extras: Commander 2016,English
1,Ogre // Beast,,38,Extras: Commander 2016,English
