Count,Name,Foil,Card Number,Edition,Language
1,"Inalla, Archmage Ritualist",foil,38,Oversized: Commander 2017,English
1,Curse of Verbosity,,9,Commander 2017,English
1,Galecaster Colossus,,10,Commander 2017,English
1,Magus of the Mind,,12,Commander 2017,English
1,Portal Mage,,13,Commander 2017,English
1,Bloodline Necromancer,,14,Commander 2017,English
1,Curse of Disturbance,,16,Commander 2017,English
1,Kindred Dominance,,18,Commander 2017,English
1,Vindictive Lich,,21,Commander 2017,English
1,Curse of Opulence,,24,Commander 2017,English
1,Izzet Chemister,,26,Commander 2017,English
1,Shifting Shadow,,28,Commander 2017,English
1,"Inalla, Archmage Ritualist",foil,38,Commander 2017,English
1,"Kess, Dissident Mage",foil,39,Commander 2017,English
1,"Mairsil, the Pretender",foil,41,Commander 2017,English
1,"Taigam, Sidisi's Hand",,47,Commander 2017,English
1,Mirror of the Forebears,,54,Commander 2017,English
1,Path of Ancestry,,56,Commander 2017,English
1,Arcanis the Omnipotent,,80,Commander 2017,English
1,Archaeomancer,,81,Commander 2017,English
1,"Azami, Lady of Scrolls",,82,Commander 2017,English
1,Body Double,,83,Commander 2017,English
1,Clone Legion,,84,Commander 2017,English
1,Harbinger of the Tides,,85,Commander 2017,English
1,Into the Roil,,86,Commander 2017,English
1,Merchant of Secrets,,87,Commander 2017,English
1,Opportunity,,89,Commander 2017,English
1,Polymorphist's Jest,,90,Commander 2017,English
1,Reality Shift,,91,Commander 2017,English
1,Sea Gate Oracle,,92,Commander 2017,English
1,Serendib Sorcerer,,93,Commander 2017,English
1,Spelltwine,,94,Commander 2017,English
1,Apprentice Necromancer,,97,Commander 2017,English
1,Corpse Augur,,106,Commander 2017,English
1,Decree of Pain,,111,Commander 2017,English
1,Go for the Throat,,114,Commander 2017,English
1,Magus of the Abyss,,115,Commander 2017,English
1,Necromantic Selection,,117,Commander 2017,English
1,Puppeteer Clique,,121,Commander 2017,English
1,Chaos Warp,,131,Commander 2017,English
1,Comet Storm,,132,Commander 2017,English
1,Cauldron Dance,,166,Commander 2017,English
1,Crosis's Charm,,169,Commander 2017,English
1,Etherium-Horn Sorcerer,,171,Commander 2017,English
1,Havengul Lich,,173,Commander 2017,English
1,Izzet Chronarch,,175,Commander 2017,English
1,"Marchesa, the Black Rose",,177,Commander 2017,English
1,Memory Plunder,,178,Commander 2017,English
1,Mercurial Chemister,,180,Commander 2017,English
1,"Nin, the Pain Artist",,183,Commander 2017,English
1,"Niv-Mizzet, the Firemind",,185,Commander 2017,English
1,Nivix Guildmage,,186,Commander 2017,English
1,Rakdos Charm,,190,Commander 2017,English
1,Shadowmage Infiltrator,,193,Commander 2017,English
1,Silumgar's Command,,195,Commander 2017,English
1,Terminate,,199,Commander 2017,English
1,Vela the Night-Clad,,201,Commander 2017,English
1,Commander's Sphere,,206,Commander 2017,English
1,Darksteel Ingot,,207,Commander 2017,English
1,Fellwar Stone,,210,Commander 2017,English
1,Nevinyrral's Disk,,217,Commander 2017,English
1,Sol Ring,,223,Commander 2017,English
1,Unstable Obelisk,,229,Commander 2017,English
1,Worn Powerstone,,232,Commander 2017,English
1,Command Tower,,242,Commander 2017,English
1,Crumbling Necropolis,,244,Commander 2017,English
1,Dimir Aqueduct,,245,Commander 2017,English
1,Dismal Backwater,,246,Commander 2017,English
1,Evolving Wilds,,248,Commander 2017,English
1,Exotic Orchard,,249,Commander 2017,English
1,Grixis Panorama,,254,Commander 2017,English
1,Izzet Boilerworks,,256,Commander 2017,English
1,Jwar Isle Refuge,,258,Commander 2017,English
1,Mystifying Maze,,264,Commander 2017,English
1,Rakdos Carnarium,,270,Commander 2017,English
1,Swiftwater Cliffs,,283,Commander 2017,English
1,Temple of the False God,,284,Commander 2017,English
1,Terramorphic Expanse,,285,Commander 2017,English
1,Vivid Crag,,289,Commander 2017,English
1,Vivid Creek,,290,Commander 2017,English
1,Vivid Marsh,,292,Commander 2017,English
4,Island,,298,Commander 2017,English
3,Island,,299,Commander 2017,English
3,Island,,300,Commander 2017,English
2,Swamp,,301,Commander 2017,English
2,Swamp,,302,Commander 2017,English
2,Swamp,,303,Commander 2017,English
2,Mountain,,304,Commander 2017,English
1,Mountain,,305,Commander 2017,English
1,Mountain,,306,Commander 2017,English
10,Zombie // Gold,,18,Extras: Commander 2017,English
