Count,Name,Foil,Card Number,Edition,Language
1,The Ur-Dragon,foil,48,Oversized: Commander 2017,English
1,Fortunate Few,,4,Commander 2017,English
1,Scalelord Reckoner,,6,Commander 2017,English
1,Curse of Verbosity,,9,Commander 2017,English
1,Kindred Discovery,,11,Commander 2017,English
1,Boneyard Scourge,,15,Commander 2017,English
1,Curse of Opulence,,24,Commander 2017,English
1,Territorial Hellkite,,29,Commander 2017,English
1,Curse of Bounty,,30,Commander 2017,English
1,Fractured Identity,,37,Commander 2017,English
1,"O-Kagachi, Vengeful Kami",foil,45,Commander 2017,English
1,"Taigam, Ojutai Master",,46,Commander 2017,English
1,The Ur-Dragon,foil,48,Commander 2017,English
1,"Wasitora, Nekoru Queen",,49,Commander 2017,English
1,Herald's Horn,,53,Commander 2017,English
1,Mirror of the Forebears,,54,Commander 2017,English
1,"Ramos, Dragon Engine",,55,Commander 2017,English
1,Path of Ancestry,,56,Commander 2017,English
1,Orator of Ojutai,,67,Commander 2017,English
1,Sunscorch Regent,,74,Commander 2017,English
1,Monastery Siege,,88,Commander 2017,English
1,Crux of Fate,,107,Commander 2017,English
1,Deathbringer Regent,,110,Commander 2017,English
1,Painful Truths,,118,Commander 2017,English
1,Palace Siege,,119,Commander 2017,English
1,Crucible of Fire,,133,Commander 2017,English
1,Dragon Tempest,,134,Commander 2017,English
1,Dragonlord's Servant,,135,Commander 2017,English
1,Dragonspeaker Shaman,,136,Commander 2017,English
1,Earthquake,,137,Commander 2017,English
1,Hellkite Charger,,138,Commander 2017,English
1,"Ryusei, the Falling Star",,141,Commander 2017,English
1,Scourge of Valkas,,142,Commander 2017,English
1,Tyrant's Familiar,,143,Commander 2017,English
1,Utvara Hellkite,,144,Commander 2017,English
1,Cultivate,,147,Commander 2017,English
1,Elemental Bond,,148,Commander 2017,English
1,Farseek,,149,Commander 2017,English
1,Frontier Siege,,150,Commander 2017,English
1,Kodama's Reach,,154,Commander 2017,English
1,Rain of Thorns,,156,Commander 2017,English
1,"Atarka, World Render",,161,Commander 2017,English
1,Bladewing the Risen,,163,Commander 2017,English
1,Broodmate Dragon,,165,Commander 2017,English
1,"Crosis, the Purger",,168,Commander 2017,English
1,"Dromoka, the Eternal",,170,Commander 2017,English
1,"Intet, the Dreamer",,174,Commander 2017,English
1,"Kolaghan, the Storm's Fury",,176,Commander 2017,English
1,"Niv-Mizzet, Dracogenius",,184,Commander 2017,English
1,"Ojutai, Soul of Winter",,187,Commander 2017,English
1,Savage Ventmaw,,191,Commander 2017,English
1,Scion of the Ur-Dragon,foil,192,Commander 2017,English
1,"Silumgar, the Drifting Death",,194,Commander 2017,English
1,Spellbound Dragon,,196,Commander 2017,English
1,"Teneb, the Harvester",,198,Commander 2017,English
1,Armillary Sphere,,203,Commander 2017,English
1,Commander's Sphere,,206,Commander 2017,English
1,Darksteel Ingot,,207,Commander 2017,English
1,Dreamstone Hedron,,209,Commander 2017,English
1,Fist of Suns,,211,Commander 2017,English
1,Lightning Greaves,,215,Commander 2017,English
1,Nihil Spellbomb,,218,Commander 2017,English
1,Sol Ring,,223,Commander 2017,English
1,Steel Hellkite,,225,Commander 2017,English
1,Wayfarer's Bauble,,230,Commander 2017,English
1,Arcane Sanctum,,234,Commander 2017,English
1,Command Tower,,242,Commander 2017,English
1,Crucible of the Spirit Dragon,,243,Commander 2017,English
1,Crumbling Necropolis,,244,Commander 2017,English
1,Frontier Bivouac,,251,Commander 2017,English
1,Haven of the Spirit Dragon,,255,Commander 2017,English
1,Jungle Shrine,,257,Commander 2017,English
1,Mystic Monastery,,263,Commander 2017,English
1,Nomad Outpost,,265,Commander 2017,English
1,Opulent Palace,,267,Commander 2017,English
1,Sandsteppe Citadel,,274,Commander 2017,English
1,Savage Lands,,275,Commander 2017,English
1,Seaside Citadel,,277,Commander 2017,English
1,Vivid Crag,,289,Commander 2017,English
1,Vivid Creek,,290,Commander 2017,English
1,Vivid Grove,,291,Commander 2017,English
1,Vivid Marsh,,292,Commander 2017,English
1,Vivid Meadow,,293,Commander 2017,English
1,Plains,,295,Commander 2017,English
1,Plains,,296,Commander 2017,English
1,Plains,,297,Commander 2017,English
1,Island,,298,Commander 2017,English
1,Island,,299,Commander 2017,English
1,Island,,300,Commander 2017,English
1,Swamp,,301,Commander 2017,English
1,Swamp,,302,Commander 2017,English
1,Swamp,,303,Commander 2017,English
2,Mountain,,304,Commander 2017,English
2,Mountain,,305,Commander 2017,English
2,Mountain,,306,Commander 2017,English
1,Forest,,307,Commander 2017,English
1,Forest,,308,Commander 2017,English
1,Forest,,309,Commander 2017,English
2,Dragon // Cat Dragon,,19,Extras: Commander 2017,English
2,Dragon // Gold,,20,Extras: Commander 2017,English
3,Dragon // Cat Dragon,,21,Extras: Commander 2017,English
2,Dragon // Gold,,22,Extras: Commander 2017,English
1,Cat Dragon // Gold,,23,Extras: Commander 2017,English
