Count,Name,Foil,Card Number,Edition,Language
1,"Sevinne, the Chronoclasm",foil,,Oversized: Commander 2019,English
1,"Sevinne, the Chronoclasm",foil,,Commander 2019,English
1,Ral Zarek,,,Commander 2019,English
1,Backdraft Hellkite,,,Commander 2019,English
1,Burnished Hart,,,Commander 2019,English
1,Clever Impersonator,,,Commander 2019,English
1,Cliffside Rescuer,,,Commander 2019,English
1,Crackling Drake,,,Commander 2019,English
1,Dockside Extortionist,,,Commander 2019,English
1,Elsha of the Infinite,foil,,Commander 2019,English
1,"Gerrard, Weatherlight Hero",,,Commander 2019,English
1,Guttersnipe,,,Commander 2019,English
1,"Pramikon, Sky Rampart",foil,,Commander 2019,English
1,Pristine Angel,,,Commander 2019,English
1,Pristine Skywise,,,Commander 2019,English
1,River Kelpie,,,Commander 2019,English
1,Scaretiller,,,Commander 2019,English
1,Sun Titan,,,Commander 2019,English
1,"Talrand, Sky Summoner",,,Commander 2019,English
1,Thalia's Geistcaller,,,Commander 2019,English
1,Wall of Stolen Identity,,,Commander 2019,English
1,"Zetalpa, Primal Dawn",,,Commander 2019,English
1,Deep Analysis,,,Commander 2019,English
1,Devil's Play,,,Commander 2019,English
1,Divine Reckoning,,,Commander 2019,English
1,Dusk // Dawn,,,Commander 2019,English
1,Faithless Looting,,,Commander 2019,English
1,Ignite the Future,,,Commander 2019,English
1,Increasing Devotion,,,Commander 2019,English
1,Mass Diminish,,,Commander 2019,English
1,Mystic Retrieval,,,Commander 2019,English
1,Rolling Temblor,,,Commander 2019,English
1,Runic Repetition,,,Commander 2019,English
1,Sevinne's Reclamation,,,Commander 2019,English
1,Storm Herd,,,Commander 2019,English
1,Chemister's Insight,,,Commander 2019,English
1,Desperate Ravings,,,Commander 2019,English
1,Fact or Fiction,,,Commander 2019,English
1,Farm // Market,,,Commander 2019,English
1,Fervent Denial,,,Commander 2019,English
1,Increasing Vengeance,,,Commander 2019,English
1,Leadership Vacuum,,,Commander 2019,English
1,Magmaquake,,,Commander 2019,English
1,Mandate of Peace,,,Commander 2019,English
1,Oona's Grace,,,Commander 2019,English
1,Prismatic Strands,,,Commander 2019,English
1,Purify the Grave,,,Commander 2019,English
1,Ray of Distortion,,,Commander 2019,English
1,Refuse // Cooperate,,,Commander 2019,English
1,Think Twice,,,Commander 2019,English
1,Armillary Sphere,,,Commander 2019,English
1,Azorius Locket,,,Commander 2019,English
1,Bloodthirsty Blade,,,Commander 2019,English
1,Commander's Sphere,,,Commander 2019,English
1,Empowered Autogenerator,,,Commander 2019,English
1,Izzet Locket,,,Commander 2019,English
1,Sol Ring,,,Commander 2019,English
1,Burning Vengeance,,,Commander 2019,English
1,Ghostly Prison,,,Commander 2019,English
1,Jace's Sanctum,,,Commander 2019,English
1,Secrets of the Dead,,,Commander 2019,English
1,Ash Barrens,,,Commander 2019,English
1,Azorius Chancery,,,Commander 2019,English
1,Boros Garrison,,,Commander 2019,English
1,Boros Guildgate,,,Commander 2019,English
1,Command Tower,,,Commander 2019,English
1,Evolving Wilds,,,Commander 2019,English
1,Exotic Orchard,,,Commander 2019,English
1,Highland Lake,,,Commander 2019,English
1,Izzet Boilerworks,,,Commander 2019,English
1,Izzet Guildgate,,,Commander 2019,English
1,Myriad Landscape,,,Commander 2019,English
1,Mystic Monastery,,,Commander 2019,English
1,Prairie Stream,,,Commander 2019,English
1,Stone Quarry,,,Commander 2019,English
1,Swiftwater Cliffs,,,Commander 2019,English
1,Temple of the False God,,,Commander 2019,English
1,Terramorphic Expanse,,,Commander 2019,English
1,Tranquil Cove,,,Commander 2019,English
1,Wind-Scarred Crag,,,Commander 2019,English
5,Plains,,288,Commander 2019,English
4,Plains,,289,Commander 2019,English
4,Island,,291,Commander 2019,English
4,Island,,293,Commander 2019,English
4,Mountain,,297,Commander 2019,English
2,Pegasus // Human,,32,Extras: Commander 2019,English
2,Spirit // Human,,33,Extras: Commander 2019,English
3,Drake // Human,,36,Extras: Commander 2019,English
3,Treasure // Human,,48,Extras: Commander 2019,English
