Count,Name,Foil,Card Number,Edition,Language
1,"Kalamax, the Stormsire",foil,9,Oversized: Commander 2020,English
1,"Haldan, Avid Arcanist",foil,2,Commander 2020,English
1,"Kalamax, the Stormsire",foil,9,Commander 2020,English
1,"Pako, Arcane Retriever",foil,13,Commander 2020,English
1,"Xyris, the Writhing Storm",foil,18,Commander 2020,English
1,Decoy Gambit,,32,Commander 2020,English
1,Eon Frolicker,,33,Commander 2020,English
1,Nascent Metamorph,,36,Commander 2020,English
1,Psychic Impetus,,37,Commander 2020,English
1,Deflecting Swat,,50,Commander 2020,English
1,Lavabrink Floodgates,,53,Commander 2020,English
1,Shiny Impetus,,55,Commander 2020,English
1,Curious Herd,,59,Commander 2020,English
1,Glademuse,,60,Commander 2020,English
1,Predatory Impetus,,62,Commander 2020,English
1,Ravenous Gigantotherium,,63,Commander 2020,English
1,Bonder's Ornament,,67,Commander 2020,English
1,Twinning Staff,,70,Commander 2020,English
1,Chemister's Insight,,108,Commander 2020,English
1,Frantic Search,,111,Commander 2020,English
1,"Jace, Architect of Thought",,114,Commander 2020,English
1,Lunar Mystic,,115,Commander 2020,English
1,Murmuring Mystic,,118,Commander 2020,English
1,Niblis of Frost,,120,Commander 2020,English
1,Swarm Intelligence,,124,Commander 2020,English
1,"Talrand, Sky Summoner",,125,Commander 2020,English
1,Whiplash Trap,,127,Commander 2020,English
1,Chaos Warp,,146,Commander 2020,English
1,Charmbreaker Devils,,147,Commander 2020,English
1,Comet Storm,,148,Commander 2020,English
1,Commune with Lava,,149,Commander 2020,English
1,Dualcaster Mage,,150,Commander 2020,English
1,"Etali, Primal Storm",,151,Commander 2020,English
1,Goblin Dark-Dwellers,,153,Commander 2020,English
1,Starstorm,,160,Commander 2020,English
1,Surreal Memoir,,161,Commander 2020,English
1,Crop Rotation,,169,Commander 2020,English
1,Evolution Charm,,171,Commander 2020,English
1,Harrow,,174,Commander 2020,English
1,Hunter's Insight,,178,Commander 2020,English
1,Hunting Pack,,179,Commander 2020,English
1,Natural Connection,,184,Commander 2020,English
1,Slice in Twain,,190,Commander 2020,English
1,Strength of the Tajuru,,192,Commander 2020,English
1,Tribute to the Wild,,193,Commander 2020,English
1,Wilderness Reclamation,,196,Commander 2020,English
1,Artifact Mutation,,203,Commander 2020,English
1,Crackling Drake,,206,Commander 2020,English
1,Djinn Illuminatus,,210,Commander 2020,English
1,Growth Spiral,,216,Commander 2020,English
1,"Melek, Izzet Paragon",,220,Commander 2020,English
1,Prophetic Bolt,,227,Commander 2020,English
1,"Rashmi, Eternities Crafter",,229,Commander 2020,English
1,Temur Charm,,230,Commander 2020,English
1,"Wort, the Raidmother",,234,Commander 2020,English
1,Arcane Signet,,237,Commander 2020,English
1,Commander's Sphere,,240,Commander 2020,English
1,Lightning Greaves,,245,Commander 2020,English
1,Sol Ring,,252,Commander 2020,English
1,Solemn Simulacrum,,253,Commander 2020,English
1,Cinder Glade,,263,Commander 2020,English
1,Command Tower,,264,Commander 2020,English
1,Desolate Lighthouse,,269,Commander 2020,English
1,Exotic Orchard,,273,Commander 2020,English
1,Frontier Bivouac,,275,Commander 2020,English
1,Gruul Turf,,279,Commander 2020,English
1,Halimar Depths,,280,Commander 2020,English
1,Izzet Boilerworks,,283,Commander 2020,English
1,Kessig Wolf Run,,284,Commander 2020,English
1,Mossfire Valley,,290,Commander 2020,English
1,Mosswort Bridge,,291,Commander 2020,English
1,Myriad Landscape,,292,Commander 2020,English
1,"Oran-Rief, the Vastwood",,296,Commander 2020,English
1,Rupture Spire,,304,Commander 2020,English
1,Scavenger Grounds,,306,Commander 2020,English
1,Simic Growth Chamber,,311,Commander 2020,English
1,Yavimaya Coast,,322,Commander 2020,English
1,Clash of Titans,,111,Ikoria: Lair of Behemoths,English
1,Channeled Force,,180,Ikoria: Lair of Behemoths,English
1,Primal Empathy,,200,Ikoria: Lair of Behemoths,English
1,Rugged Highlands,,252,Ikoria: Lair of Behemoths,English
1,Swiftwater Cliffs,,255,Ikoria: Lair of Behemoths,English
1,Thornwood Falls,,256,Ikoria: Lair of Behemoths,English
2,Island,,263,Ikoria: Lair of Behemoths,English
2,Island,,264,Ikoria: Lair of Behemoths,English
1,Island,,265,Ikoria: Lair of Behemoths,English
2,Mountain,,269,Ikoria: Lair of Behemoths,English
2,Mountain,,270,Ikoria: Lair of Behemoths,English
1,Mountain,,271,Ikoria: Lair of Behemoths,English
3,Forest,,272,Ikoria: Lair of Behemoths,English
3,Forest,,273,Ikoria: Lair of Behemoths,English
2,Forest,,274,Ikoria: Lair of Behemoths,English
2,Bird Illusion // Beast,,26,Extras: Commander 2020,English
2,Drake // Goblin Warrior,,27,Extras: Commander 2020,English
2,Saproling // Treasure,,35,Extras: Commander 2020,English
4,Snake // Beast,,36,Extras: Commander 2020,English
