Count,Name,Foil,Card Number,Edition,Language
1,"Otrimi, the Ever-Playful",foil,12,Oversized: Commander 2020,English
1,"Cazur, Ruthless Stalker",foil,5,Commander 2020,English
1,"Otrimi, the Ever-Playful",foil,12,Commander 2020,English
1,"Ukkima, Stalking Shadow",foil,17,Commander 2020,English
1,"Zaxara, the Exemplary",foil,20,Commander 2020,English
1,Psychic Impetus,,37,Commander 2020,English
1,Souvenir Snatcher,,38,Commander 2020,English
1,Tidal Barracuda,,39,Commander 2020,English
1,Boneyard Mycodrax,,40,Commander 2020,English
1,Deadly Rollick,,42,Commander 2020,English
1,Dredge the Mire,,43,Commander 2020,English
1,Mindleecher,,44,Commander 2020,English
1,Parasitic Impetus,,46,Commander 2020,English
1,Capricopian,,58,Commander 2020,English
1,Predatory Impetus,,62,Commander 2020,English
1,Sawtusk Demolisher,,64,Commander 2020,English
1,Bonder's Ornament,,67,Commander 2020,English
1,Manascape Refractor,,68,Commander 2020,English
1,Illusory Ambusher,,113,Commander 2020,English
1,Mind Spring,,116,Commander 2020,English
1,Mulldrifter,,117,Commander 2020,English
1,Propaganda,,123,Commander 2020,English
1,Deadly Tempest,,131,Commander 2020,English
1,Profane Command,,135,Commander 2020,English
1,Shriekmaw,,136,Commander 2020,English
1,Animist's Awakening,,166,Commander 2020,English
1,Beast Whisperer,,167,Commander 2020,English
1,Beast Within,,168,Commander 2020,English
1,Genesis Hydra,,172,Commander 2020,English
1,Heroes' Bane,,175,Commander 2020,English
1,Hungering Hydra,,177,Commander 2020,English
1,Kodama's Reach,,180,Commander 2020,English
1,Krosan Grip,,181,Commander 2020,English
1,Masked Admirers,,183,Commander 2020,English
1,Predator Ooze,,185,Commander 2020,English
1,Reclamation Sage,,186,Commander 2020,English
1,Vastwood Hydra,,194,Commander 2020,English
1,Vorapede,,195,Commander 2020,English
1,Yavimaya Dryad,,197,Commander 2020,English
1,Cold-Eyed Selkie,,204,Commander 2020,English
1,Find // Finality,,212,Commander 2020,English
1,Gaze of Granite,,214,Commander 2020,English
1,"Nissa, Steward of Elements",,224,Commander 2020,English
1,Putrefy,,228,Commander 2020,English
1,Trygon Predator,,232,Commander 2020,English
1,Villainous Wealth,,233,Commander 2020,English
1,"Wydwen, the Biting Gale",,235,Commander 2020,English
1,Arcane Signet,,237,Commander 2020,English
1,Lifecrafter's Bestiary,,244,Commander 2020,English
1,Silent Arbiter,,250,Commander 2020,English
1,Sol Ring,,252,Commander 2020,English
1,Blighted Woodland,,258,Commander 2020,English
1,Command Tower,,264,Commander 2020,English
1,Darkwater Catacombs,,265,Commander 2020,English
1,Dimir Aqueduct,,270,Commander 2020,English
1,Endless Sands,,272,Commander 2020,English
1,Exotic Orchard,,273,Commander 2020,English
1,Golgari Rot Farm,,277,Commander 2020,English
1,Llanowar Wastes,,286,Commander 2020,English
1,Mortuary Mire,,289,Commander 2020,English
1,Myriad Landscape,,292,Commander 2020,English
1,Opulent Palace,,295,Commander 2020,English
1,Rogue's Passage,,303,Commander 2020,English
1,Simic Growth Chamber,,311,Commander 2020,English
1,Soaring Seacliff,,315,Commander 2020,English
1,Sunken Hollow,,318,Commander 2020,English
1,Temple of the False God,,319,Commander 2020,English
1,Archipelagore,,41,Ikoria: Lair of Behemoths,English
1,Dreamtail Heron,,47,Ikoria: Lair of Behemoths,English
1,Pouncing Shoreshark,,64,Ikoria: Lair of Behemoths,English
1,Cavern Whisperer,,79,Ikoria: Lair of Behemoths,English
1,Chittering Harvester,,80,Ikoria: Lair of Behemoths,English
1,Insatiable Hemophage,,93,Ikoria: Lair of Behemoths,English
1,Auspicious Starrix,,144,Ikoria: Lair of Behemoths,English
1,Fertilid,,152,Ikoria: Lair of Behemoths,English
1,Glowstone Recluse,,156,Ikoria: Lair of Behemoths,English
1,Migration Path,,164,Ikoria: Lair of Behemoths,English
1,Migratory Greathorn,,165,Ikoria: Lair of Behemoths,English
1,Boneyard Lurker,,178,Ikoria: Lair of Behemoths,English
1,Trumpeting Gnarr,,213,Ikoria: Lair of Behemoths,English
1,Dismal Backwater,,246,Ikoria: Lair of Behemoths,English
1,Jungle Hollow,,249,Ikoria: Lair of Behemoths,English
1,Thornwood Falls,,256,Ikoria: Lair of Behemoths,English
1,Island,,263,Ikoria: Lair of Behemoths,English
1,Island,,264,Ikoria: Lair of Behemoths,English
1,Swamp,,266,Ikoria: Lair of Behemoths,English
2,Swamp,,267,Ikoria: Lair of Behemoths,English
2,Swamp,,268,Ikoria: Lair of Behemoths,English
4,Forest,,272,Ikoria: Lair of Behemoths,English
4,Forest,,273,Ikoria: Lair of Behemoths,English
3,Forest,,274,Ikoria: Lair of Behemoths,English
10,Hydra // Beast,,34,Extras: Commander 2020,English
