Count,Name,Foil,Card Number,Edition,Language
1,"Gavi, Nest Warden",foil,7,Oversized: Commander 2020,English
1,"Brallin, Skyshark Rider",foil,4,Commander 2020,English
1,"Akim, the Soaring Wind",foil,6,Commander 2020,English
1,"Gavi, Nest Warden",foil,7,Commander 2020,English
1,"Shabraz, the Skyshark",foil,14,Commander 2020,English
1,Cryptic Trilobite,,21,Commander 2020,English
1,Dismantling Wave,,25,Commander 2020,English
1,Herald of the Forgotten,,27,Commander 2020,English
1,Martial Impetus,,28,Commander 2020,English
1,Crystalline Resonance,,31,Commander 2020,English
1,Ethereal Forager,,34,Commander 2020,English
1,Fierce Guardianship,,35,Commander 2020,English
1,Psychic Impetus,,37,Commander 2020,English
1,Agitator Ant,,49,Commander 2020,English
1,Shiny Impetus,,55,Commander 2020,English
1,Spellpyre Phoenix,,56,Commander 2020,English
1,Surly Badgersaur,,57,Commander 2020,English
1,Bonder's Ornament,,67,Commander 2020,English
1,Akroma's Vengeance,,74,Commander 2020,English
1,Astral Drift,,76,Commander 2020,English
1,Cast Out,,79,Commander 2020,English
1,Decree of Justice,,85,Commander 2020,English
1,Descend upon the Sinful,,86,Commander 2020,English
1,Eternal Dragon,,88,Commander 2020,English
1,Hoofprints of the Stag,,90,Commander 2020,English
1,Spirit Cairn,,100,Commander 2020,English
1,Sun Titan,,101,Commander 2020,English
1,Curator of Mysteries,,109,Commander 2020,English
1,Drake Haven,,110,Commander 2020,English
1,Hieroglyphic Illumination,,112,Commander 2020,English
1,New Perspectives,,119,Commander 2020,English
1,Nimble Obstructionist,,121,Commander 2020,English
1,Portal Mage,,122,Commander 2020,English
1,Vizier of Tumbling Sands,,126,Commander 2020,English
1,Windfall,,128,Commander 2020,English
1,"Chandra, Flamecaller",,145,Commander 2020,English
1,Lightning Rift,,155,Commander 2020,English
1,Slice and Dice,,159,Commander 2020,English
1,Tectonic Reformation,,162,Commander 2020,English
1,"Isperia, Supreme Judge",,217,Commander 2020,English
1,The Locust God,,219,Commander 2020,English
1,Mercurial Chemister,,221,Commander 2020,English
1,Migratory Route,,222,Commander 2020,English
1,"Niv-Mizzet, the Firemind",,225,Commander 2020,English
1,Abandoned Sarcophagus,,236,Commander 2020,English
1,Arcane Signet,,237,Commander 2020,English
1,Azorius Signet,,238,Commander 2020,English
1,Boros Signet,,239,Commander 2020,English
1,Commander's Sphere,,240,Commander 2020,English
1,Fluctuator,,241,Commander 2020,English
1,Izzet Signet,,243,Commander 2020,English
1,Psychosis Crawler,,248,Commander 2020,English
1,Sol Ring,,252,Commander 2020,English
1,Ash Barrens,,255,Commander 2020,English
1,Azorius Chancery,,256,Commander 2020,English
1,Boros Garrison,,260,Commander 2020,English
1,Command Tower,,264,Commander 2020,English
1,Desert of the Fervent,,266,Commander 2020,English
1,Desert of the Mindful,,267,Commander 2020,English
1,Desert of the True,,268,Commander 2020,English
1,Drifting Meadow,,271,Commander 2020,English
1,Exotic Orchard,,273,Commander 2020,English
1,Forgotten Cave,,274,Commander 2020,English
1,Hostile Desert,,281,Commander 2020,English
1,Irrigated Farmland,,282,Commander 2020,English
1,Izzet Boilerworks,,283,Commander 2020,English
1,Lonely Sandbar,,287,Commander 2020,English
1,Myriad Landscape,,292,Commander 2020,English
1,Mystic Monastery,,293,Commander 2020,English
1,Prairie Stream,,299,Commander 2020,English
1,Reliquary Tower,,301,Commander 2020,English
1,Remote Isle,,302,Commander 2020,English
1,Secluded Steppe,,307,Commander 2020,English
1,Shivan Reef,,310,Commander 2020,English
1,Skycloud Expanse,,312,Commander 2020,English
1,Smoldering Crater,,313,Commander 2020,English
1,Temple of the False God,,319,Commander 2020,English
1,Valiant Rescuer,,36,Ikoria: Lair of Behemoths,English
1,Boon of the Wish-Giver,,43,Ikoria: Lair of Behemoths,English
1,Neutralize,,59,Ikoria: Lair of Behemoths,English
1,Ominous Seas,,61,Ikoria: Lair of Behemoths,English
1,Reconnaissance Mission,,65,Ikoria: Lair of Behemoths,English
1,Rooting Moloch,,133,Ikoria: Lair of Behemoths,English
1,Savai Thundermane,,205,Ikoria: Lair of Behemoths,English
1,Zenith Flare,,217,Ikoria: Lair of Behemoths,English
1,Raugrin Crystal,,238,Ikoria: Lair of Behemoths,English
1,Plains,,260,Ikoria: Lair of Behemoths,English
1,Plains,,261,Ikoria: Lair of Behemoths,English
2,Plains,,262,Ikoria: Lair of Behemoths,English
1,Island,,263,Ikoria: Lair of Behemoths,English
2,Island,,264,Ikoria: Lair of Behemoths,English
2,Island,,265,Ikoria: Lair of Behemoths,English
2,Mountain,,269,Ikoria: Lair of Behemoths,English
2,Mountain,,270,Ikoria: Lair of Behemoths,English
2,Mountain,,271,Ikoria: Lair of Behemoths,English
1,Angel // Elemental,,20,Extras: Commander 2020,English
4,Bird // Dinosaur Cat,,21,Extras: Commander 2020,English
1,Soldier // Elemental,,22,Extras: Commander 2020,English
1,Spirit // Treasure,,25,Extras: Commander 2020,English
1,Drake // Insect,,28,Extras: Commander 2020,English
1,Human Soldier // Drake,,29,Extras: Commander 2020,English
1,Elemental // Kraken,,33,Extras: Commander 2020,English
