Count,Name,Foil,Card Number,Edition,Language
1,Akroma's Vengeance,,2,Commander Anthology,English
1,Angelic Arbiter,,4,Commander Anthology,English
1,Archangel of Strife,,5,Commander Anthology,English
1,Bathe in Light,,6,Commander Anthology,English
1,Congregate,,7,Commander Anthology,English
1,Lightkeeper of Emeria,,15,Commander Anthology,English
1,Mother of Runes,,17,Commander Anthology,English
1,Orim's Thunder,,18,Commander Anthology,English
1,Path to Exile,,19,Commander Anthology,English
1,Return to Dust,,20,Commander Anthology,English
1,Righteous Cause,,21,Commander Anthology,English
1,Serra Angel,,22,Commander Anthology,English
1,Shattered Angel,,23,Commander Anthology,English
1,Soul Snare,,24,Commander Anthology,English
1,Voice of All,,28,Commander Anthology,English
1,Vow of Duty,,29,Commander Anthology,English
1,Diabolic Tutor,,54,Commander Anthology,English
1,Dread Cacodemon,,55,Commander Anthology,English
1,Evincar's Justice,,58,Commander Anthology,English
1,Fallen Angel,,60,Commander Anthology,English
1,Razorjaw Oni,,63,Commander Anthology,English
1,Reiver Demon,,64,Commander Anthology,English
1,Syphon Flesh,,69,Commander Anthology,English
1,Syphon Mind,,70,Commander Anthology,English
1,Vow of Malice,,73,Commander Anthology,English
1,"Akroma, Angel of Fury",,75,Commander Anthology,English
1,Anger,,76,Commander Anthology,English
1,Avatar of Slaughter,,77,Commander Anthology,English
1,Cleansing Beam,,78,Commander Anthology,English
1,Comet Storm,,79,Commander Anthology,English
1,Death by Dragons,,80,Commander Anthology,English
1,Dragon Whelp,,81,Commander Anthology,English
1,Earthquake,,82,Commander Anthology,English
1,Furnace Whelp,,83,Commander Anthology,English
1,Mana-Charged Dragon,,84,Commander Anthology,English
1,Oni of Wild Places,,85,Commander Anthology,English
1,Pyrohemia,,86,Commander Anthology,English
1,Stranglehold,,87,Commander Anthology,English
1,Sulfurous Blast,,88,Commander Anthology,English
1,Vow of Lightning,,89,Commander Anthology,English
1,Angel of Despair,,173,Commander Anthology,English
1,"Basandra, Battle Seraph",,174,Commander Anthology,English
1,Bladewing the Risen,,175,Commander Anthology,English
1,Kaalia of the Vast,foil,180,Commander Anthology,English
1,Malfegor,,184,Commander Anthology,English
1,Mortify,,187,Commander Anthology,English
1,"Oros, the Avenger",,188,Commander Anthology,English
1,"Tariel, Reckoner of Souls",,194,Commander Anthology,English
1,Terminate,,195,Commander Anthology,English
1,Wrecking Ball,,198,Commander Anthology,English
1,Boros Guildmage,,199,Commander Anthology,English
1,Duergar Hedge-Mage,,200,Commander Anthology,English
1,Gwyllion Hedge-Mage,,201,Commander Anthology,English
1,Master Warcraft,,202,Commander Anthology,English
1,Orzhov Guildmage,,205,Commander Anthology,English
1,Armillary Sphere,,207,Commander Anthology,English
1,Boros Signet,,212,Commander Anthology,English
1,Darksteel Ingot,,215,Commander Anthology,English
1,Lightning Greaves,,220,Commander Anthology,English
1,Orzhov Signet,,223,Commander Anthology,English
1,Rakdos Signet,,226,Commander Anthology,English
1,Sol Ring,,231,Commander Anthology,English
1,Akoum Refuge,,238,Commander Anthology,English
1,Barren Moor,,242,Commander Anthology,English
1,Bojuka Bog,,243,Commander Anthology,English
1,Boros Garrison,,244,Commander Anthology,English
1,Command Tower,,245,Commander Anthology,English
1,Evolving Wilds,,247,Commander Anthology,English
1,Forgotten Cave,,249,Commander Anthology,English
1,Molten Slagheap,,260,Commander Anthology,English
1,Orzhov Basilica,,264,Commander Anthology,English
1,Rakdos Carnarium,,266,Commander Anthology,English
1,Rupture Spire,,267,Commander Anthology,English
1,Secluded Steppe,,270,Commander Anthology,English
1,Vivid Meadow,,283,Commander Anthology,English
1,Zoetic Cavern,,284,Commander Anthology,English
2,Plains,,285,Commander Anthology,English
2,Plains,,287,Commander Anthology,English
2,Plains,,288,Commander Anthology,English
2,Plains,,290,Commander Anthology,English
2,Swamp,,300,Commander Anthology,English
2,Swamp,,301,Commander Anthology,English
2,Swamp,,303,Commander Anthology,English
2,Swamp,,304,Commander Anthology,English
2,Mountain,,305,Commander Anthology,English
2,Mountain,,306,Commander Anthology,English
2,Mountain,,307,Commander Anthology,English
2,Mountain,,308,Commander Anthology,English
1,Kithkin Soldier,,1,Extras: Commander Anthology,English
6,Zombie,,5,Extras: Commander Anthology,English
4,Dragon,,6,Extras: Commander Anthology,English
9,Saproling,,13,Extras: Commander Anthology,English
