Count,Name,Foil,Card Number,Edition,Language
1,Kaalia of the Vast,foil,5,Oversized: Commander,English
1,"Oros, the Avenger",foil,8,Oversized: Commander,English
1,"Tariel, Reckoner of Souls",foil,11,Oversized: Commander,English
1,Akroma's Vengeance,,3,Commander,English
1,Angelic Arbiter,,5,Commander,English
1,Archangel of Strife,,7,Commander,English
1,Bathe in Light,,9,Commander,English
1,Congregate,,11,Commander,English
1,Lightkeeper of Emeria,,18,Commander,English
1,Mother of Runes,,21,Commander,English
1,Orim's Thunder,,24,Commander,English
1,Path to Exile,,25,Commander,English
1,Return to Dust,,28,Commander,English
1,Righteous Cause,,29,Commander,English
1,Serra Angel,,30,Commander,English
1,Shattered Angel,,31,Commander,English
1,Soul Snare,,32,Commander,English
1,Voice of All,,35,Commander,English
1,Vow of Duty,,36,Commander,English
1,Diabolic Tutor,,77,Commander,English
1,Dread Cacodemon,,79,Commander,English
1,Evincar's Justice,,80,Commander,English
1,Fallen Angel,,82,Commander,English
1,Razorjaw Oni,,94,Commander,English
1,Reiver Demon,,95,Commander,English
1,Syphon Flesh,,103,Commander,English
1,Syphon Mind,,104,Commander,English
1,Vow of Malice,,107,Commander,English
1,"Akroma, Angel of Fury",,108,Commander,English
1,Anger,,109,Commander,English
1,Avatar of Slaughter,,111,Commander,English
1,Cleansing Beam,,116,Commander,English
1,Comet Storm,,117,Commander,English
1,Death by Dragons,,118,Commander,English
1,Dragon Whelp,,120,Commander,English
1,Earthquake,,121,Commander,English
1,Furnace Whelp,,124,Commander,English
1,Mana-Charged Dragon,,129,Commander,English
1,Oni of Wild Places,,130,Commander,English
1,Pyrohemia,,132,Commander,English
1,Stranglehold,,136,Commander,English
1,Sulfurous Blast,,137,Commander,English
1,Vow of Lightning,,138,Commander,English
1,Angel of Despair,,180,Commander,English
1,"Basandra, Battle Seraph",,184,Commander,English
1,Bladewing the Risen,,185,Commander,English
1,Boros Guildmage,,186,Commander,English
1,Duergar Hedge-Mage,,195,Commander,English
1,Gwyllion Hedge-Mage,,202,Commander,English
1,Kaalia of the Vast,,206,Commander,English
1,Malfegor,,208,Commander,English
1,Master Warcraft,,209,Commander,English
1,Mortify,,211,Commander,English
1,"Oros, the Avenger",,216,Commander,English
1,Orzhov Guildmage,,217,Commander,English
1,"Tariel, Reckoner of Souls",,229,Commander,English
1,Terminate,,231,Commander,English
1,Wrecking Ball,,238,Commander,English
1,Armillary Sphere,,242,Commander,English
1,Boros Signet,,243,Commander,English
1,Darksteel Ingot,,245,Commander,English
1,Lightning Greaves,,253,Commander,English
1,Orzhov Signet,,255,Commander,English
1,Rakdos Signet,,257,Commander,English
1,Sol Ring,,261,Commander,English
1,Akoum Refuge,,264,Commander,English
1,Barren Moor,,266,Commander,English
1,Bojuka Bog,,267,Commander,English
1,Boros Garrison,,268,Commander,English
1,Command Tower,,269,Commander,English
1,Evolving Wilds,,272,Commander,English
1,Forgotten Cave,,273,Commander,English
1,Molten Slagheap,,282,Commander,English
1,Orzhov Basilica,,283,Commander,English
1,Rakdos Carnarium,,284,Commander,English
1,Rupture Spire,,285,Commander,English
1,Secluded Steppe,,286,Commander,English
1,Vivid Meadow,,297,Commander,English
1,Zoetic Cavern,,298,Commander,English
2,Plains,,299,Commander,English
2,Plains,,300,Commander,English
2,Plains,,301,Commander,English
2,Plains,,302,Commander,English
2,Swamp,,307,Commander,English
2,Swamp,,308,Commander,English
2,Swamp,,309,Commander,English
2,Swamp,,310,Commander,English
2,Mountain,,311,Commander,English
2,Mountain,,312,Commander,English
2,Mountain,,313,Commander,English
2,Mountain,,314,Commander,English
