Count,Name,Foil,Card Number,Edition,Language
1,"Aesi, Tyrant of Gyre Strait",foil,365,Commander Legends,English
,,,,,
,Creatures (30),,,,
1,Trench Behemoth,,366,Commander Legends,English
1,Stumpsquall Hydra,,367,Commander Legends,English
1,Elder Deep-Fiend,,368,Commander Legends,English
1,Meloku the Clouded Mirror,,399,Commander Legends,English
1,Mulldrifter,,400,Commander Legends,English
1,"Nezahal, Primal Tide",,401,Commander Legends,English
1,Scourge of Fleets,,403,Commander Legends,English
1,Shipbreaker Kraken,,404,Commander Legends,English
1,"Slinn Voda, the Rising Deep",,405,Commander Legends,English
1,Sphinx of Uthuun,,406,Commander Legends,English
1,Stormtide Leviathan,,407,Commander Legends,English
1,Tromokratis,,408,Commander Legends,English
1,Acidic Slime,,421,Commander Legends,English
1,Avenger of Zendikar,,422,Commander Legends,English
1,Eternal Witness,,425,Commander Legends,English
1,"Molimo, Maro-Sorcerer",,430,Commander Legends,English
1,Rampaging Baloths,,431,Commander Legends,English
1,Ramunap Excavator,,433,Commander Legends,English
1,Reclamation Sage,,434,Commander Legends,English
1,Sporemound,,437,Commander Legends,English
1,Terastodon,,438,Commander Legends,English
1,Verdant Sun's Avatar,,439,Commander Legends,English
1,Wickerbough Elder,,440,Commander Legends,English
1,Yavimaya Elder,,441,Commander Legends,English
1,Coiling Oracle,,443,Commander Legends,English
1,Fathom Mage,,445,Commander Legends,English
1,Murkfiend Liege,,448,Commander Legends,English
1,Sharktocrab,,450,Commander Legends,English
1,Simic Sky Swallower,,452,Commander Legends,English
1,Meteor Golem,,467,Commander Legends,English
,,,,,
,Instants (8),,,,
1,Arcane Denial,,393,Commander Legends,English
1,Counterspell,,395,Commander Legends,English
1,Fact or Fiction,,396,Commander Legends,English
1,Into the Roil,,397,Commander Legends,English
1,Peel from Reality,,402,Commander Legends,English
1,Beast Within,,423,Commander Legends,English
1,Growth Spiral,,446,Commander Legends,English
1,Simic Charm,,451,Commander Legends,English
,,,,,
,Sorceries (10),,,,
1,Compulsive Research,,394,Commander Legends,English
1,Whelming Wave,,409,Commander Legends,English
1,Cultivate,,424,Commander Legends,English
1,Explore,,426,Commander Legends,English
1,Harmonize,,427,Commander Legends,English
1,Kodama's Reach,,429,Commander Legends,English
1,Rampant Growth,,432,Commander Legends,English
1,Search for Tomorrow,,436,Commander Legends,English
1,Spitting Image,,453,Commander Legends,English
1,Urban Evolution,,455,Commander Legends,English
,,,,,
,Enchantments (3),,,,
1,Ior Ruin Expedition,,398,Commander Legends,English
1,Khalni Heart Expedition,,428,Commander Legends,English
1,Retreat to Kazandu,,435,Commander Legends,English
,,,,,
,Artifacts (4),,,,
1,Seer's Sundial,,470,Commander Legends,English
1,Simic Signet,,471,Commander Legends,English
1,Sol Ring,,472,Commander Legends,English
1,Swiftfoot Boots,,474,Commander Legends,English
,,,,,
,Lands (44),,,,
1,Blighted Woodland,,476,Commander Legends,English
1,Command Tower,,479,Commander Legends,English
1,Coral Atoll,,480,Commander Legends,English
1,Evolving Wilds,,482,Commander Legends,English
1,Jungle Basin,,484,Commander Legends,English
1,Memorial to Genius,,485,Commander Legends,English
1,Reliquary Tower,,488,Commander Legends,English
1,Simic Growth Chamber,,492,Commander Legends,English
1,Simic Guildgate,,493,Commander Legends,English
1,Terramorphic Expanse,,497,Commander Legends,English
1,Thornwood Falls,,498,Commander Legends,English
1,Vivid Creek,,500,Commander Legends,English
1,Vivid Grove,,501,Commander Legends,English
1,Woodland Stream,,503,Commander Legends,English
8,Island,,506,Commander Legends,English
7,Island,,507,Commander Legends,English
8,Forest,,510,Commander Legends,English
7,Forest,,511,Commander Legends,English
,,,,,
,Tokens (10),,,,
2,Illusion // Plant,,26,Extras: Commander Legends,English
2,Illusion // Saproling,,27,Extras: Commander Legends,English
1,Beast // Beast,,28,Extras: Commander Legends,English
3,Beast // Elephant,,29,Extras: Commander Legends,English
2,Copy // Saproling,,30,Extras: Commander Legends,English
