Count,Name,Foil,Card Number,Edition,Language
2,Disciple of Tevesh Szat,,55,Coldsnap,English
3,Grim Harvest,,58,Coldsnap,English
2,Gristle Grinner,,59,Coldsnap,English
3,Gutless Ghoul,,60,Coldsnap,English
2,Krovikan Rot,,63,Coldsnap,English
1,Void Maw,,74,Coldsnap,English
2,Orcish Bloodpainter,,94,Coldsnap,English
1,Deepfire Elemental,,127,Coldsnap,English
1,"Sek'Kuar, Deathkeeper",,131,Coldsnap,English
1,Coldsteel Heart,,136,Coldsnap,English
1,Ashen Ghoul,,20,Coldsnap Theme Decks,English
2,Balduvian Dead,,21,Coldsnap Theme Decks,English
2,Casting of Bones,,22,Coldsnap Theme Decks,English
2,Dark Banishing,,23,Coldsnap Theme Decks,English
1,Dark Ritual,,24,Coldsnap Theme Decks,English
2,Insidious Bookworms,,27,Coldsnap Theme Decks,English
1,Kjeldoran Dead,,28,Coldsnap Theme Decks,English
1,Soul Burn,,31,Coldsnap Theme Decks,English
2,Death Spark,,32,Coldsnap Theme Decks,English
1,Orcish Healer,,35,Coldsnap Theme Decks,English
2,Barbed Sextant,,45,Coldsnap Theme Decks,English
1,Skull Catapult,,46,Coldsnap Theme Decks,English
4,Swamp,,54,Coldsnap Theme Decks,English
4,Swamp,,55,Coldsnap Theme Decks,English
4,Swamp,,56,Coldsnap Theme Decks,English
3,Mountain,,57,Coldsnap Theme Decks,English
3,Mountain,,58,Coldsnap Theme Decks,English
3,Mountain,,59,Coldsnap Theme Decks,English
1,Forest,,60,Coldsnap Theme Decks,English
1,Forest,,61,Coldsnap Theme Decks,English
1,Forest,,62,Coldsnap Theme Decks,English
