Count,Name,Foil,Card Number,Edition,Language
1,"Darien, King of Kjeldor",,4,Coldsnap,English
1,Field Marshal,,5,Coldsnap,English
1,Jotun Grunt,,8,Coldsnap,English
1,Jotun Owl Keeper,,9,Coldsnap,English
1,Kjeldoran Gargoyle,,10,Coldsnap,English
3,Kjeldoran Outrider,,12,Coldsnap,English
4,Surging Sentinels,,20,Coldsnap,English
4,Surging Aether,,47,Coldsnap,English
2,Boreal Shelf,,144,Coldsnap,English
1,Disenchant,,1,Coldsnap Theme Decks,English
2,Kjeldoran Elite Guard,,2,Coldsnap Theme Decks,English
1,Kjeldoran Home Guard,,3,Coldsnap Theme Decks,English
1,Kjeldoran Pride,,4,Coldsnap Theme Decks,English
1,Reinforcements,,5,Coldsnap Theme Decks,English
1,Scars of the Veteran,,6,Coldsnap Theme Decks,English
1,Swords to Plowshares,,7,Coldsnap Theme Decks,English
1,Binding Grasp,,8,Coldsnap Theme Decks,English
3,Brainstorm,,9,Coldsnap Theme Decks,English
2,Lat-Nam's Legacy,,13,Coldsnap Theme Decks,English
2,Portent,,15,Coldsnap Theme Decks,English
2,Zuran Spellcaster,,19,Coldsnap Theme Decks,English
2,Wings of Aesthir,,43,Coldsnap Theme Decks,English
4,Plains,,48,Coldsnap Theme Decks,English
4,Plains,,49,Coldsnap Theme Decks,English
3,Plains,,50,Coldsnap Theme Decks,English
4,Island,,51,Coldsnap Theme Decks,English
4,Island,,52,Coldsnap Theme Decks,English
3,Island,,53,Coldsnap Theme Decks,English
