Count,Name,Foil,Card Number,Edition,Language
4,Bonecrusher Giant // Stomp,,115,Throne of Eldraine,English
1,Embercleave,,120,Throne of Eldraine,English
4,Fervent Champion,,124,Throne of Eldraine,English
4,Rimrock Knight // Boulder Rush,,137,Throne of Eldraine,English
4,"Torbran, Thane of Red Fell",,147,Throne of Eldraine,English
3,Castle Embereth,,239,Throne of Eldraine,English
5,Mountain,,262,Throne of Eldraine,English
5,Mountain,,263,Throne of Eldraine,English
4,Mountain,,264,Throne of Eldraine,English
4,Mountain,,265,Throne of Eldraine,English
3,"Chandra, Acolyte of Flame",,126,Core Set 2020,English
4,Scorch Spitter,,159,Core Set 2020,English
4,Cavalcade of Calamity,,95,Ravnica Allegiance,English
4,Light Up the Stage,,107,Ravnica Allegiance,English
3,Tin Street Dodger,,120,Ravnica Allegiance,English
4,Runaway Steam-Kin,,115,Guilds of Ravnica,English
,,,,,
,SIDEBOARD,,,,
3,Satyr's Cunning,,152,Theros Beyond Death,English
3,Slaying Fire,,143,Throne of Eldraine,English
4,Shock,,160,Core Set 2020,English
2,"Tibalt, Rakish Instigator",,146,War of the Spark,English
3,Experimental Frenzy,,99,Guilds of Ravnica,English
,,,,,
,TOKENS,,,,
2,Devil // Satyr,,6,Extras: Challenger Decks 2020,English
2,Elemental // Satyr,,7,Extras: Challenger Decks 2020,English
1,On an Adventure // On an Adventure,,10,Extras: Challenger Decks 2020,English
