Count,Name,Foil,Card Number,Edition,Language
4,Gods Willing,,19,Core Set 2020,Japanese
4,Shock,,160,Core Set 2020,Japanese
4,Temple of Triumph,,257,Core Set 2020,Japanese
4,Wind-Scarred Crag,,260,Core Set 2020,Japanese
4,Defiant Strike,,9,War of the Spark,Japanese
2,Gideon Blackblade,,13,War of the Spark,Japanese
4,Burning Prophet,,117,War of the Spark,Japanese
2,Dreadhorde Arcanist,,125,War of the Spark,Japanese
4,Samut's Sprint,,142,War of the Spark,Japanese
4,"Feather, the Redeemed",,197,War of the Spark,Japanese
4,Tenth District Legionnaire,,222,War of the Spark,Japanese
3,Plains,,250,War of the Spark,Japanese
3,Plains,,251,War of the Spark,Japanese
2,Plains,,252,War of the Spark,Japanese
2,Mountain,,259,War of the Spark,Japanese
2,Mountain,,260,War of the Spark,Japanese
2,Mountain,,261,War of the Spark,Japanese
2,Tithe Taker,,27,Ravnica Allegiance,Japanese
2,Legion Warboss,,109,Guilds of Ravnica,Japanese
2,Sacred Foundry,,254,Guilds of Ravnica,Japanese
,,,,,
,SIDEBOARD,,,,
2,Devout Decree,,13,Core Set 2020,Japanese
2,Fry,,140,Core Set 2020,Japanese
2,Prison Realm,,26,War of the Spark,Japanese
2,"Tomik, Distinguished Advokist",,34,War of the Spark,Japanese
2,"Tibalt, Rakish Instigator",,146,War of the Spark,Japanese
4,Lava Coil,,108,Guilds of Ravnica,Japanese
1,"Aurelia, Exemplar of Justice",,153,Guilds of Ravnica,Japanese
