Count,Name,Foil,Card Number,Edition,Language
4,Ajani's Pridemate,,4,War of the Spark,English
4,Conclave Tribunal,,6,Guilds of Ravnica,English
4,Healer's Hawk,,14,Guilds of Ravnica,English
1,Hunted Witness,,15,Guilds of Ravnica,English
2,Disdainful Stroke,,37,Guilds of Ravnica,English
2,Murmuring Mystic,,45,Guilds of Ravnica,English
4,Radical Idea,,52,Guilds of Ravnica,English
1,Plaguecrafter,,82,Guilds of Ravnica,English
1,Arclight Phoenix,,91,Guilds of Ravnica,English
2,Experimental Frenzy,,99,Guilds of Ravnica,English
6,Lava Coil,,108,Guilds of Ravnica,English
4,Runaway Steam-Kin,,115,Guilds of Ravnica,English
2,District Guide,,128,Guilds of Ravnica,English
2,Kraul Harpooner,,136,Guilds of Ravnica,English
2,Beacon Bolt,,154,Guilds of Ravnica,English
4,Crackling Drake,,163,Guilds of Ravnica,English
4,Goblin Electromancer,,174,Guilds of Ravnica,English
3,Golgari Findbroker,,175,Guilds of Ravnica,English
2,"Niv-Mizzet, Parun",,192,Guilds of Ravnica,English
2,Find // Finality,,225,Guilds of Ravnica,English
4,Golgari Guildgate,,248,Guilds of Ravnica,English
4,Izzet Guildgate,,251,Guilds of Ravnica,English
1,Overgrown Tomb,,253,Guilds of Ravnica,English
4,Leonin Vanguard,,22,Core Set 2019,English
2,Make a Stand,,26,Core Set 2019,English
1,Remorseful Cleric,,33,Core Set 2019,English
3,Shield Mare,,37,Core Set 2019,English
4,Duress,,94,Core Set 2019,English
2,Murder,,110,Core Set 2019,English
1,Banefire,,130,Core Set 2019,English
4,Lightning Mare,,151,Core Set 2019,English
4,Lightning Strike,,152,Core Set 2019,English
8,Shock,,156,Core Set 2019,English
4,Viashino Pyromancer,,166,Core Set 2019,English
2,Reclamation Sage,,196,Core Set 2019,English
4,Diamond Mare,,231,Core Set 2019,English
6,Mountain,,273,Core Set 2019,English
6,Mountain,,274,Core Set 2019,English
5,Mountain,,275,Core Set 2019,English
5,Mountain,,276,Core Set 2019,English
4,Benalish Marshal,,6,Dominaria,English
4,Dauntless Bodyguard,,14,Dominaria,English
2,History of Benalia,,21,Dominaria,English
3,Knight of Grace,,23,Dominaria,English
1,Blink of an Eye,,46,Dominaria,English
2,The Mirari Conjecture,,57,Dominaria,English
4,Opt,,60,Dominaria,English
4,Cast Down,,81,Dominaria,English
3,The Eldest Reborn,,90,Dominaria,English
4,Fight with Fire,,119,Dominaria,English
4,Ghitu Lavarunner,,127,Dominaria,English
4,Goblin Chainwhirler,,129,Dominaria,English
2,Shivan Fire,,142,Dominaria,English
4,Wizard's Lightning,,152,Dominaria,English
4,Llanowar Elves,,168,Dominaria,English
2,Memorial to Folly,,242,Dominaria,English
3,Sulfur Falls,,247,Dominaria,English
2,Woodland Cemetery,,248,Dominaria,English
6,Plains,,250,Dominaria,English
5,Plains,,251,Dominaria,English
5,Plains,,252,Dominaria,English
5,Plains,,253,Dominaria,English
2,Island,,254,Dominaria,English
2,Island,,255,Dominaria,English
2,Island,,256,Dominaria,English
2,Island,,257,Dominaria,English
2,Mountain,,262,Dominaria,English
2,Mountain,,263,Dominaria,English
2,Mountain,,264,Dominaria,English
1,Mountain,,265,Dominaria,English
3,Baffling End,,1,Rivals of Ixalan,English
3,Pride of Conquerors,,17,Rivals of Ixalan,English
4,Skymarcher Aspirant,,21,Rivals of Ixalan,English
3,Negate,,44,Rivals of Ixalan,English
3,Golden Demise,,73,Rivals of Ixalan,English
3,Ravenous Chupacabra,,82,Rivals of Ixalan,English
4,Fanatical Firebrand,,101,Rivals of Ixalan,English
1,Rekindling Phoenix,,111,Rivals of Ixalan,English
2,Jadelight Ranger,,136,Rivals of Ixalan,English
4,Adanto Vanguard,,1,Ixalan,English
2,Legion's Landing,,22,Ixalan,English
2,Tocatli Honor Guard,,42,Ixalan,English
4,Chart a Course,,48,Ixalan,English
2,Dive Down,,53,Ixalan,English
3,Entrancing Melody,,55,Ixalan,English
2,Arguel's Blood Fast,,90,Ixalan,English
4,Seekers' Squire,,121,Ixalan,English
6,Fiery Cannonade,,143,Ixalan,English
4,Merfolk Branchwalker,,197,Ixalan,English
4,Wildgrowth Walker,,216,Ixalan,English
1,"Vraska, Relic Seeker",,232,Ixalan,English
4,Swamp,,268,Ixalan,English
2,Swamp,,269,Ixalan,English
4,Forest,,276,Ixalan,English
4,Forest,,277,Ixalan,English
