Count,Name,Foil,Card Number,Edition,Language
4,Foul Orchard,,188,Rivals of Ixalan,English
2,Walk the Plank,,130,Ixalan,English
3,Dreamstealer,,63,Hour of Devastation,English
2,Hour of Glory,,65,Hour of Devastation,English
2,Hashep Oasis,,177,Hour of Devastation,English
1,Fatal Push,,57,Aether Revolt,English
4,Glint-Sleeve Siphoner,,62,Aether Revolt,English
3,"Rishkar, Peema Renegade",,122,Aether Revolt,English
4,Winding Constrictor,,140,Aether Revolt,English
1,Walking Ballista,,181,Aether Revolt,English
2,"Gonti, Lord of Luxury",,84,Kaladesh,English
4,Blossoming Defense,,146,Kaladesh,English
4,Longtusk Cub,,161,Kaladesh,English
3,Verdurous Gearhulk,,172,Kaladesh,English
2,Scrapheap Scrounger,,231,Kaladesh,English
4,Aether Hub,,242,Kaladesh,English
3,Swamp,,256,Kaladesh,English
3,Swamp,,257,Kaladesh,English
2,Swamp,,258,Kaladesh,English
3,Forest,,262,Kaladesh,English
2,Forest,,263,Kaladesh,English
2,Forest,,264,Kaladesh,English
,,,,,
,SIDEBOARD,,,,
4,Duress,,105,Ixalan,English
1,Slice in Twain,,207,Ixalan,English
3,Cartouche of Ambition,,83,Amonkhet,English
1,Dispossess,,86,Amonkhet,English
2,Lifecrafter's Bestiary,,162,Aether Revolt,English
2,Die Young,,76,Kaladesh,English
2,Appetite for the Unnatural,,141,Kaladesh,English
