Count,Name,Foil,Card Number,Edition,Language
2,Haazda Snare Squad,,2,Dragon's Maze,English
2,Lyev Decree,,3,Dragon's Maze,English
2,Sunspire Gatekeepers,,9,Dragon's Maze,English
3,Wind Drake,,20,Dragon's Maze,English
2,Ascended Lawmage,,53,Dragon's Maze,English
2,Jelenn Sphinx,,77,Dragon's Maze,English
1,Lavinia of the Tenth,foil,80,Dragon's Maze,English
1,Restore the Peace,,97,Dragon's Maze,English
1,Protect // Serve,,131,Dragon's Maze,English
2,Azorius Cluestone,,136,Dragon's Maze,English
4,Azorius Guildgate,,146,Dragon's Maze,English
2,Righteous Charge,,23,Gatecrash,English
1,Arrest,,3,Return to Ravnica,English
2,Avenging Arrow,,4,Return to Ravnica,English
2,Azorius Arrester,,5,Return to Ravnica,English
1,Azorius Justiciar,,6,Return to Ravnica,English
1,Martial Law,,14,Return to Ravnica,English
1,Soulsworn Spirit,,51,Return to Ravnica,English
2,Stealer of Secrets,,53,Return to Ravnica,English
1,Lyev Skyknight,,179,Return to Ravnica,English
3,Plains,,250,Return to Ravnica,English
3,Plains,,251,Return to Ravnica,English
2,Plains,,252,Return to Ravnica,English
2,Plains,,253,Return to Ravnica,English
2,Plains,,254,Return to Ravnica,English
2,Island,,255,Return to Ravnica,English
2,Island,,256,Return to Ravnica,English
2,Island,,257,Return to Ravnica,English
2,Island,,258,Return to Ravnica,English
2,Island,,259,Return to Ravnica,English
3,Silvercoat Lion,,35,Magic 2013,English
