Count,Name,Foil,Card Number,Edition,Language
3,Rubblebelt Maaka,,38,Dragon's Maze,English
2,Kraul Warrior,,42,Dragon's Maze,English
2,Saruli Gatekeepers,,48,Dragon's Maze,English
2,Feral Animist,,70,Dragon's Maze,English
2,Gruul War Chant,,75,Dragon's Maze,English
1,"Ruric Thar, the Unbowed",foil,99,Dragon's Maze,English
3,Zhur-Taa Druid,,120,Dragon's Maze,English
1,Armed // Dangerous,,122,Dragon's Maze,English
2,Gruul Cluestone,,140,Dragon's Maze,English
4,Gruul Guildgate,,150,Dragon's Maze,English
1,Ripscale Predator,,103,Gatecrash,English
2,Viashino Shanktail,,110,Gatecrash,English
1,Predator's Rapport,,129,Gatecrash,English
1,Skarrg Goliath,,133,Gatecrash,English
1,Slaughterhorn,,134,Gatecrash,English
1,Ghor-Clan Rampager,,167,Gatecrash,English
2,Ground Assault,,168,Gatecrash,English
2,Ruination Wurm,,192,Gatecrash,English
1,Zhur-Taa Swine,,210,Gatecrash,English
1,Pit Fight,,223,Gatecrash,English
2,Cobblebrute,,91,Return to Ravnica,English
2,Mountain,,265,Return to Ravnica,English
2,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
2,Mountain,,269,Return to Ravnica,English
2,Forest,,270,Return to Ravnica,English
2,Forest,,271,Return to Ravnica,English
3,Forest,,272,Return to Ravnica,English
3,Forest,,273,Return to Ravnica,English
2,Forest,,274,Return to Ravnica,English
1,Volcanic Geyser,,154,Magic 2013,English
