Count,Name,Foil,Card Number,Edition,Language
2,Rakdos Drake,,28,Dragon's Maze,English
1,Sinister Possession,,29,Dragon's Maze,English
1,Awe for the Guilds,,31,Dragon's Maze,English
1,Punish the Enemy,,35,Dragon's Maze,English
3,Riot Piker,,37,Dragon's Maze,English
2,Smelt-Ward Gatekeepers,,39,Dragon's Maze,English
2,Carnage Gladiator,,61,Dragon's Maze,English
1,"Exava, Rakdos Blood Witch",foil,69,Dragon's Maze,English
2,Morgue Burst,,86,Dragon's Maze,English
2,Spike Jester,,106,Dragon's Maze,English
1,Toil // Trouble,,133,Dragon's Maze,English
2,Rakdos Cluestone,,143,Dragon's Maze,English
4,Rakdos Guildgate,,154,Dragon's Maze,English
3,Gutter Skulk,,67,Gatecrash,English
1,Grim Roustabout,,68,Return to Ravnica,English
2,Slum Reaper,,77,Return to Ravnica,English
1,Bloodfray Giant,,89,Return to Ravnica,English
2,Guttersnipe,,98,Return to Ravnica,English
2,Minotaur Aggressor,,100,Return to Ravnica,English
1,Havoc Festival,,166,Return to Ravnica,English
2,Spawn of Rix Maadi,,199,Return to Ravnica,English
3,Swamp,,260,Return to Ravnica,English
3,Swamp,,261,Return to Ravnica,English
2,Swamp,,262,Return to Ravnica,English
2,Swamp,,263,Return to Ravnica,English
2,Swamp,,264,Return to Ravnica,English
2,Mountain,,265,Return to Ravnica,English
2,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
2,Mountain,,269,Return to Ravnica,English
