Count,Name,Foil,Card Number,Edition,Language
3,Beacon Hawk,,3,Dissension,English
2,Mistral Charger,,13,Dissension,English
1,Paladin of Prahv,,14,Dissension,English
3,Soulsworn Jury,,17,Dissension,English
1,Steeling Stance,,18,Dissension,English
2,Stoic Ephemera,,19,Dissension,English
1,Wakestone Gargoyle,,21,Dissension,English
2,Ocular Halo,,28,Dissension,English
2,Azorius First-Wing,,105,Dissension,English
1,Isperia the Inscrutable,,114,Dissension,English
1,Palliation Accord,,122,Dissension,English
2,Plumes of Peace,,124,Dissension,English
2,Sky Hussar,,131,Dissension,English
1,Azorius Guildmage,,141,Dissension,English
2,Minister of Impediments,,144,Dissension,English
2,Azorius Chancery,,170,Dissension,English
1,"Prahv, Spires of Order",,177,Dissension,English
1,Sinstriker's Will,,16,Guildpact,English
1,To Arms!,,20,Guildpact,English
2,Benevolent Ancestor,,3,Ravnica: City of Guilds,English
1,Faith's Fetters,,16,Ravnica: City of Guilds,English
1,Halcyon Glaze,,54,Ravnica: City of Guilds,English
3,Tidewater Minion,,71,Ravnica: City of Guilds,English
1,Zephyr Spirit,,76,Ravnica: City of Guilds,English
3,Plains,,287,Ravnica: City of Guilds,English
3,Plains,,288,Ravnica: City of Guilds,English
3,Plains,,289,Ravnica: City of Guilds,English
3,Plains,,290,Ravnica: City of Guilds,English
3,Island,,291,Ravnica: City of Guilds,English
2,Island,,292,Ravnica: City of Guilds,English
2,Island,,293,Ravnica: City of Guilds,English
2,Island,,294,Ravnica: City of Guilds,English
