Count,Name,Foil,Card Number,Edition,Language
1,Flayer of the Hatebound,foil,89,Dark Ascension,English
2,Fling,,90,Dark Ascension,English
3,Nearheath Stalker,,100,Dark Ascension,English
2,Pyreheart Wolf,,101,Dark Ascension,English
2,Russet Wolves,,102,Dark Ascension,English
2,Strangleroot Geist,,127,Dark Ascension,English
2,Wild Hunger,,132,Dark Ascension,English
3,Young Wolf,,134,Dark Ascension,English
1,Pitchburn Devils,,156,Innistrad,English
1,Rage Thrower,,157,Innistrad,English
2,Rolling Temblor,,161,Innistrad,English
2,Skirsdag Cultist,,163,Innistrad,English
1,Gutter Grime,,186,Innistrad,English
1,Lumberknot,,191,Innistrad,English
1,Naturalize,,197,Innistrad,English
2,Orchard Spirit,,198,Innistrad,English
2,Prey Upon,,200,Innistrad,English
4,Mountain,,259,Innistrad,English
4,Mountain,,260,Innistrad,English
3,Mountain,,261,Innistrad,English
5,Forest,,262,Innistrad,English
4,Forest,,263,Innistrad,English
4,Forest,,264,Innistrad,English
2,Goblin Arsonist,,136,Magic 2012,English
1,Overrun,,186,Magic 2012,English
2,Rampant Growth,,190,Magic 2012,English
1,Greatsword,,209,Magic 2012,English
