Count,Name,Foil,Card Number,Edition,Language
1,Wakedancer,,79,Dark Ascension,English
4,Strangleroot Geist,,127,Dark Ascension,English
4,Young Wolf,,134,Dark Ascension,English
2,Evolving Wilds,,155,Dark Ascension,English
1,Grim Backwoods,,156,Dark Ascension,English
1,Bloodgift Demon,,89,Innistrad,English
1,Morkrut Banshee,,110,Innistrad,English
3,Swamp,,256,Innistrad,English
3,Swamp,,257,Innistrad,English
2,Swamp,,258,Innistrad,English
5,Forest,,262,Innistrad,English
5,Forest,,263,Innistrad,English
4,Forest,,264,Innistrad,English
2,Diabolic Tutor,,92,Magic 2012,English
3,Doom Blade,,95,Magic 2012,English
1,Acidic Slime,,161,Magic 2012,English
1,Stingerfling Spider,,197,Magic 2012,English
1,Solemn Simulacrum,,217,Magic 2012,English
2,Birthing Pod,,104,New Phyrexia,English
1,Brutalizer Exarch,,105,New Phyrexia,English
1,Hex Parasite,,137,New Phyrexia,English
1,Phyrexian Rager,,51,Mirrodin Besieged,English
1,Viridian Corrupter,,94,Mirrodin Besieged,English
4,Viridian Emissary,,95,Mirrodin Besieged,English
1,Mortarpod,,115,Mirrodin Besieged,English
3,Skinrender,,78,Scars of Mirrodin,English
1,Myr Battlesphere,,180,Scars of Mirrodin,English
1,Perilous Myr,,192,Scars of Mirrodin,English
,,,,,
,SIDEBOARD,,,,
1,Wakedancer,,79,Dark Ascension,English
4,Distress,,94,Magic 2012,English
1,Gravedigger,,99,Magic 2012,English
3,Autumn's Veil,,164,Magic 2012,English
1,Despise,,56,New Phyrexia,English
1,Dismember,,57,New Phyrexia,English
1,Entomber Exarch,,59,New Phyrexia,English
1,Beast Within,,103,New Phyrexia,English
1,Myr Sire,,116,Mirrodin Besieged,English
1,Acid Web Spider,,108,Scars of Mirrodin,English
