Count,Name,Foil,Card Number,Edition,Language
1,Fiery Intervention,,118,Dominaria,English
1,Fight with Fire,,119,Dominaria,English
3,Fire Elemental,,120,Dominaria,English
1,Ghitu Chronicler,,125,Dominaria,English
2,Shivan Fire,,142,Dominaria,English
2,Baloth Gorger,,156,Dominaria,English
3,Elfhame Druid,,159,Dominaria,English
1,Gaea's Protector,,162,Dominaria,English
2,Gift of Growth,,163,Dominaria,English
1,"Grunn, the Lonely King",,165,Dominaria,English
1,Krosan Druid,,167,Dominaria,English
2,Llanowar Elves,,168,Dominaria,English
1,"Marwyn, the Nurturer",,172,Dominaria,English
1,Pierce the Sky,,176,Dominaria,English
1,Primordial Wurm,,177,Dominaria,English
1,Gilded Lotus,,215,Dominaria,English
3,Mountain,,262,Dominaria,English
3,Mountain,,263,Dominaria,English
3,Mountain,,264,Dominaria,English
2,Mountain,,265,Dominaria,English
3,Forest,,266,Dominaria,English
3,Forest,,267,Dominaria,English
3,Forest,,268,Dominaria,English
2,Forest,,269,Dominaria,English
1,"Chandra, Bold Pyromancer",foil,275,Dominaria,English
2,Chandra's Outburst,,276,Dominaria,English
3,Karplusan Hound,,277,Dominaria,English
4,Pyromantic Pilgrim,,278,Dominaria,English
4,Timber Gorge,,279,Dominaria,English
