Count,Name,Foil,Card Number,Edition,Language
1,Daring Archaeologist,,13,Dominaria,English
3,Gideon's Reproach,,19,Dominaria,English
3,Knight of New Benalia,,24,Dominaria,English
1,Serra Angel,,33,Dominaria,English
2,Befuddle,,45,Dominaria,English
1,Divination,,52,Dominaria,English
2,Relic Runner,,62,Dominaria,English
1,"Tetsuko Umezawa, Fugitive",,69,Dominaria,English
1,"Zahid, Djinn of the Lamp",,76,Dominaria,English
3,Aesthir Glider,,209,Dominaria,English
2,Jhoira's Familiar,,220,Dominaria,English
2,Juggernaut,,222,Dominaria,English
2,Sparring Construct,,232,Dominaria,English
3,Plains,,250,Dominaria,English
3,Plains,,251,Dominaria,English
3,Plains,,252,Dominaria,English
2,Plains,,253,Dominaria,English
3,Island,,254,Dominaria,English
3,Island,,255,Dominaria,English
3,Island,,256,Dominaria,English
2,Island,,257,Dominaria,English
1,"Teferi, Timebender",foil,270,Dominaria,English
4,Temporal Machinations,,271,Dominaria,English
2,"Niambi, Faithful Healer",,272,Dominaria,English
3,Teferi's Sentinel,,273,Dominaria,English
4,Meandering River,,274,Dominaria,English
