Count,Name,Foil,Card Number,Edition,Language
2,Roast,,151,Dragons of Tarkir,English
1,Thunderbreak Regent,,162,Dragons of Tarkir,English
1,"Surrak, the Hunt Caller",,210,Dragons of Tarkir,English
4,Evolving Wilds,,248,Dragons of Tarkir,English
1,Island,,255,Dragons of Tarkir,English
2,Mountain,,259,Dragons of Tarkir,English
2,Mountain,,260,Dragons of Tarkir,English
1,Mountain,,261,Dragons of Tarkir,English
4,Forest,,262,Dragons of Tarkir,English
3,Forest,,263,Dragons of Tarkir,English
3,Forest,,264,Dragons of Tarkir,English
1,Outpost Siege,,110,Fate Reforged,English
2,Wild Slash,,118,Fate Reforged,English
1,Yasova Dragonclaw,,148,Fate Reforged,English
1,Stubborn Denial,,56,Khans of Tarkir,English
1,Arc Lightning,,97,Khans of Tarkir,English
1,Crater's Claws,,106,Khans of Tarkir,English
4,Heir of the Wilds,,134,Khans of Tarkir,English
1,Savage Knuckleblade,,197,Khans of Tarkir,English
2,Temur Charm,,208,Khans of Tarkir,English
4,Frontier Bivouac,,234,Khans of Tarkir,English
2,Lightning Strike,,155,Magic 2015 Core Set,English
4,Elvish Mystic,,173,Magic 2015 Core Set,English
2,Mogis's Warhound,,104,Journey into Nyx,English
2,Golden Hind,,124,Journey into Nyx,English
4,Fanatic of Xenagos,,147,Born of the Gods,English
1,Boon Satyr,,152,Theros,English
1,Mistcutter Hydra,,162,Theros,English
1,Polis Crusher,,198,Theros,English
1,Temple of Abandon,,224,Theros,English
,,,,,
,SIDEBOARD,,,,
2,Encase in Ice,,54,Dragons of Tarkir,English
2,Rending Volley,,150,Dragons of Tarkir,English
2,Abzan Beastmaster,,119,Fate Reforged,English
2,Disdainful Stroke,,37,Khans of Tarkir,English
1,Stubborn Denial,,56,Khans of Tarkir,English
2,Act of Treason,,95,Khans of Tarkir,English
2,Arc Lightning,,97,Khans of Tarkir,English
2,Reclamation Sage,,194,Magic 2015 Core Set,English
