Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Abyssal Specter,Deckmasters,1,,English,,,,,,,,
2,0,Contagion,Deckmasters,2,,English,,,,,,,,
2,0,Dark Banishing,Deckmasters,3,,English,,,,,,,,
2,0,Dark Ritual,Deckmasters,4,,English,,,,,,,,
2,0,Foul Familiar,Deckmasters,5,,English,,,,,,,,
1,0,Lim-Dûl's High Guard,Deckmasters,6,,English,,,,,,,,
1,0,Necropotence,Deckmasters,7,,English,foil,,,,,,,
1,0,Phantasmal Fiend,Deckmasters,8,,English,,,,,,,,
2,0,Soul Burn,Deckmasters,9,,English,,,,,,,,
1,0,Balduvian Horde,Deckmasters,10,,English,,,,,,,,
2,0,Death Spark,Deckmasters,11,,English,,,,,,,,
2,0,Goblin Mutant,Deckmasters,12,,English,,,,,,,,
1,0,Guerrilla Tactics,Deckmasters,13,,English,,,,,,,,
1,0,Incinerate,Deckmasters,14,,English,foil,,,,,,,
3,0,Incinerate,Deckmasters,14,,English,,,,,,,,
1,0,Jokulhaups,Deckmasters,15,,English,,,,,,,,
4,0,Lava Burst,Deckmasters,16,,English,,,,,,,,
2,0,Orcish Cannoneers,Deckmasters,17,,English,,,,,,,,
1,0,Pillage,Deckmasters,18,,English,,,,,,,,
2,0,Pyroclasm,Deckmasters,19,,English,,,,,,,,
1,0,Shatter,Deckmasters,20,,English,,,,,,,,
2,0,Storm Shaman,Deckmasters,21,,English,,,,,,,,
2,0,Balduvian Bears,Deckmasters,22,,English,,,,,,,,
1,0,Bounty of the Hunt,Deckmasters,23,,English,,,,,,,,
1,0,Elvish Bard,Deckmasters,24,,English,,,,,,,,
1,0,Folk of the Pines,Deckmasters,25,,English,,,,,,,,
2,0,Fyndhorn Elves,Deckmasters,26,,English,,,,,,,,
2,0,Giant Growth,Deckmasters,27,,English,,,,,,,,
1,0,Hurricane,Deckmasters,28,,English,,,,,,,,
1,0,Lhurgoyf,Deckmasters,29,,English,foil,,,,,,,
2,0,Woolly Spider,Deckmasters,30,,English,,,,,,,,
1,0,Yavimaya Ancients,Deckmasters,31,,English,,,,,,,,
2,0,Yavimaya Ants,Deckmasters,32,,English,,,,,,,,
2,0,Giant Trap Door Spider,Deckmasters,33,,English,,,,,,,,
2,0,Barbed Sextant,Deckmasters,34,,English,,,,,,,,
1,0,Elkin Bottle,Deckmasters,35,,English,,,,,,,,
1,0,Icy Manipulator,Deckmasters,36,,English,foil,,,,,,,
1,0,Icy Manipulator,Deckmasters,36,,English,,,,,,,,
2,0,Phyrexian War Beast,Deckmasters,37,,English,,,,,,,,
2,0,Walking Wall,Deckmasters,38,,English,,,,,,,,
1,0,Karplusan Forest,Deckmasters,39,,English,,,,,,,,
1,0,Sulfurous Springs,Deckmasters,40,,English,,,,,,,,
1,0,Underground River,Deckmasters,41,,English,,,,,,,,
4,0,Swamp,Deckmasters,42,,English,,,,,,,,
4,0,Swamp,Deckmasters,43,,English,,,,,,,,
4,0,Swamp,Deckmasters,44,,English,,,,,,,,
8,0,Mountain,Deckmasters,45,,English,,,,,,,,
8,0,Mountain,Deckmasters,46,,English,,,,,,,,
8,0,Mountain,Deckmasters,47,,English,,,,,,,,
4,0,Forest,Deckmasters,48,,English,,,,,,,,
4,0,Forest,Deckmasters,49,,English,,,,,,,,
4,0,Forest,Deckmasters,50,,English,,,,,,,,
1,0,Lim-Dûl's High Guard,Deckmasters,51,,English,,,,,,,,
1,0,Phantasmal Fiend,Deckmasters,52,,English,,,,,,,,
1,0,Guerrilla Tactics,Deckmasters,53,,English,,,,,,,,
2,0,Storm Shaman,Deckmasters,54,,English,,,,,,,,
1,0,Yavimaya Ancients,Deckmasters,55,,English,,,,,,,,
2,0,Phyrexian War Beast,Deckmasters,56,,English,,,,,,,,




