Count,Name,Foil,Card Number,Edition,Language
2,Abyssal Specter,,1,Deckmasters,English
2,Contagion,,2,Deckmasters,English
2,Dark Banishing,,3,Deckmasters,English
2,Dark Ritual,,4,Deckmasters,English
2,Foul Familiar,,5,Deckmasters,English
1,Lim-Dul's High Guard,,6,Deckmasters,English
1,Necropotence,foil,7,Deckmasters,English
1,Phantasmal Fiend,,8,Deckmasters,English
2,Soul Burn,,9,Deckmasters,English
1,Balduvian Horde,,10,Deckmasters,English
2,Goblin Mutant,,12,Deckmasters,English
1,Guerrilla Tactics,,13,Deckmasters,English
2,Incinerate,,14,Deckmasters,English
2,Lava Burst,,16,Deckmasters,English
2,Orcish Cannoneers,,17,Deckmasters,English
2,Pyroclasm,,19,Deckmasters,English
1,Storm Shaman,,21,Deckmasters,English
1,Icy Manipulator,,36,Deckmasters,English
1,Icy Manipulator,foil,36,Deckmasters,English
1,Phyrexian War Beast,,37,Deckmasters,English
1,Sulfurous Springs,,40,Deckmasters,English
1,Underground River,,41,Deckmasters,English
4,Swamp,,42,Deckmasters,English
4,Swamp,,43,Deckmasters,English
4,Swamp,,44,Deckmasters,English
4,Mountain,,45,Deckmasters,English
4,Mountain,,46,Deckmasters,English
4,Mountain,,47,Deckmasters,English
1,Lim-Dul's High Guard,,51,Deckmasters,English
1,Phantasmal Fiend,,52,Deckmasters,English
1,Guerrilla Tactics,,53,Deckmasters,English
1,Storm Shaman,,54,Deckmasters,English
1,Phyrexian War Beast,,56,Deckmasters,English
