Count,Name,Foil,Card Number,Edition,Language
2,Act of Treason,,37,Duels of the Planeswalkers,English
1,Banefire,,38,Duels of the Planeswalkers,English
1,Blaze,,39,Duels of the Planeswalkers,English
1,Bloodmark Mentor,,40,Duels of the Planeswalkers,English
2,Cinder Pyromancer,,41,Duels of the Planeswalkers,English
2,Earth Elemental,,42,Duels of the Planeswalkers,English
1,Enrage,,43,Duels of the Planeswalkers,English
1,Furnace of Rath,,44,Duels of the Planeswalkers,English
4,Goblin Piker,,45,Duels of the Planeswalkers,English
2,Goblin Sky Raider,,46,Duels of the Planeswalkers,English
4,Hill Giant,,47,Duels of the Planeswalkers,English
3,Incinerate,,48,Duels of the Planeswalkers,English
1,"Kamahl, Pit Fighter",foil,49,Duels of the Planeswalkers,English
4,Lightning Elemental,,50,Duels of the Planeswalkers,English
1,Prodigal Pyromancer,,51,Duels of the Planeswalkers,English
1,Rage Reflection,,52,Duels of the Planeswalkers,English
1,Shivan Dragon,,53,Duels of the Planeswalkers,English
2,Shock,,54,Duels of the Planeswalkers,English
2,Dragon's Claw,,92,Duels of the Planeswalkers,English
6,Mountain,,106,Duels of the Planeswalkers,English
6,Mountain,,107,Duels of the Planeswalkers,English
6,Mountain,,108,Duels of the Planeswalkers,English
6,Mountain,,109,Duels of the Planeswalkers,English
