Count,Name,Foil,Card Number,Edition,Language
2,Blanchwood Armor,,55,Duels of the Planeswalkers,English
4,Civic Wayfinder,,56,Duels of the Planeswalkers,English
1,Duskdale Wurm,,58,Duels of the Planeswalkers,English
3,Giant Growth,,66,Duels of the Planeswalkers,English
2,Giant Spider,,67,Duels of the Planeswalkers,English
1,Howl of the Night Pack,,69,Duels of the Planeswalkers,English
1,"Molimo, Maro-Sorcerer",,74,Duels of the Planeswalkers,English
1,Natural Spring,,75,Duels of the Planeswalkers,English
2,Overrun,,78,Duels of the Planeswalkers,English
2,Rampant Growth,,79,Duels of the Planeswalkers,English
1,River Boa,,80,Duels of the Planeswalkers,English
1,Roughshod Mentor,,81,Duels of the Planeswalkers,English
3,Runeclaw Bear,,82,Duels of the Planeswalkers,English
2,Spined Wurm,,83,Duels of the Planeswalkers,English
2,Trained Armodon,,85,Duels of the Planeswalkers,English
1,Troll Ascetic,,86,Duels of the Planeswalkers,English
1,Verdant Force,foil,87,Duels of the Planeswalkers,English
1,Vigor,,88,Duels of the Planeswalkers,English
2,Wall of Wood,,89,Duels of the Planeswalkers,English
1,Loxodon Warhammer,,94,Duels of the Planeswalkers,English
2,Wurm's Tooth,,97,Duels of the Planeswalkers,English
6,Forest,,110,Duels of the Planeswalkers,English
6,Forest,,111,Duels of the Planeswalkers,English
6,Forest,,112,Duels of the Planeswalkers,English
6,Forest,,113,Duels of the Planeswalkers,English
