Count,Name,Foil,Card Number,Edition,Language
2,Air Elemental,,1,Duels of the Planeswalkers,English
2,Boomerang,,2,Duels of the Planeswalkers,English
2,Cancel,,3,Duels of the Planeswalkers,English
4,Cloud Sprite,,4,Duels of the Planeswalkers,English
1,Counterbore,,5,Duels of the Planeswalkers,English
2,Deluge,,6,Duels of the Planeswalkers,English
1,Denizen of the Deep,,7,Duels of the Planeswalkers,English
3,Essence Scatter,,8,Duels of the Planeswalkers,English
1,Evacuation,,9,Duels of the Planeswalkers,English
1,Mahamoti Djinn,foil,10,Duels of the Planeswalkers,English
1,Mind Control,,11,Duels of the Planeswalkers,English
1,Mind Spring,,12,Duels of the Planeswalkers,English
2,Negate,,13,Duels of the Planeswalkers,English
1,Phantom Warrior,,14,Duels of the Planeswalkers,English
3,Snapping Drake,,15,Duels of the Planeswalkers,English
2,Thieving Magpie,,16,Duels of the Planeswalkers,English
2,Unsummon,,17,Duels of the Planeswalkers,English
2,Kraken's Eye,,93,Duels of the Planeswalkers,English
2,Wall of Spears,,96,Duels of the Planeswalkers,English
7,Island,,98,Duels of the Planeswalkers,English
6,Island,,99,Duels of the Planeswalkers,English
6,Island,,100,Duels of the Planeswalkers,English
6,Island,,101,Duels of the Planeswalkers,English
