Count,Name,Foil,Card Number,Edition,Language
1,"Akroma, Angel of Wrath",foil,1,"Duel Decks Anthology, Divine vs. Demonic",English
2,Icatian Priest,,2,"Duel Decks Anthology, Divine vs. Demonic",English
2,Angelic Page,,3,"Duel Decks Anthology, Divine vs. Demonic",English
2,Charging Paladin,,4,"Duel Decks Anthology, Divine vs. Demonic",English
2,Venerable Monk,,5,"Duel Decks Anthology, Divine vs. Demonic",English
1,Angelic Protector,,6,"Duel Decks Anthology, Divine vs. Demonic",English
2,Serra Advocate,,7,"Duel Decks Anthology, Divine vs. Demonic",English
2,Sustainer of the Realm,,8,"Duel Decks Anthology, Divine vs. Demonic",English
2,Angel of Mercy,,9,"Duel Decks Anthology, Divine vs. Demonic",English
1,Serra Angel,,10,"Duel Decks Anthology, Divine vs. Demonic",English
1,Twilight Shepherd,,11,"Duel Decks Anthology, Divine vs. Demonic",English
1,Luminous Angel,,12,"Duel Decks Anthology, Divine vs. Demonic",English
1,Reya Dawnbringer,,13,"Duel Decks Anthology, Divine vs. Demonic",English
1,Healing Salve,,14,"Duel Decks Anthology, Divine vs. Demonic",English
1,Angelsong,,15,"Duel Decks Anthology, Divine vs. Demonic",English
2,Otherworldly Journey,,16,"Duel Decks Anthology, Divine vs. Demonic",English
1,Pacifism,,17,"Duel Decks Anthology, Divine vs. Demonic",English
1,Serra's Boon,,18,"Duel Decks Anthology, Divine vs. Demonic",English
1,Angelic Benediction,,19,"Duel Decks Anthology, Divine vs. Demonic",English
2,Faith's Fetters,,20,"Duel Decks Anthology, Divine vs. Demonic",English
1,Serra's Embrace,,21,"Duel Decks Anthology, Divine vs. Demonic",English
1,Righteous Cause,,22,"Duel Decks Anthology, Divine vs. Demonic",English
1,Angel's Feather,,23,"Duel Decks Anthology, Divine vs. Demonic",English
2,Marble Diamond,,24,"Duel Decks Anthology, Divine vs. Demonic",English
2,Secluded Steppe,,25,"Duel Decks Anthology, Divine vs. Demonic",English
6,Plains,,26,"Duel Decks Anthology, Divine vs. Demonic",English
6,Plains,,27,"Duel Decks Anthology, Divine vs. Demonic",English
6,Plains,,28,"Duel Decks Anthology, Divine vs. Demonic",English
6,Plains,,29,"Duel Decks Anthology, Divine vs. Demonic",English
1,Lord of the Pit,foil,30,"Duel Decks Anthology, Divine vs. Demonic",English
1,Abyssal Gatekeeper,,31,"Duel Decks Anthology, Divine vs. Demonic",English
1,Foul Imp,,32,"Duel Decks Anthology, Divine vs. Demonic",English
1,Daggerclaw Imp,,33,"Duel Decks Anthology, Divine vs. Demonic",English
2,Dusk Imp,,34,"Duel Decks Anthology, Divine vs. Demonic",English
2,Overeager Apprentice,,35,"Duel Decks Anthology, Divine vs. Demonic",English
1,Stinkweed Imp,,36,"Duel Decks Anthology, Divine vs. Demonic",English
1,Soot Imp,,37,"Duel Decks Anthology, Divine vs. Demonic",English
2,Demon's Jester,,38,"Duel Decks Anthology, Divine vs. Demonic",English
1,Souldrinker,,39,"Duel Decks Anthology, Divine vs. Demonic",English
