Count,Name,Foil,Card Number,Edition,Language
1,"Elspeth, Knight-Errant",foil,1,Duel Decks: Elspeth vs. Tezzeret,English
2,Elite Vanguard,,2,Duel Decks: Elspeth vs. Tezzeret,English
1,Goldmeadow Harrier,,3,Duel Decks: Elspeth vs. Tezzeret,English
1,Infantry Veteran,,4,Duel Decks: Elspeth vs. Tezzeret,English
1,Loyal Sentry,,5,Duel Decks: Elspeth vs. Tezzeret,English
1,Mosquito Guard,,6,Duel Decks: Elspeth vs. Tezzeret,English
1,Glory Seeker,,7,Duel Decks: Elspeth vs. Tezzeret,English
2,Kor Skyfisher,,8,Duel Decks: Elspeth vs. Tezzeret,English
1,Temple Acolyte,,9,Duel Decks: Elspeth vs. Tezzeret,English
1,Kor Aeronaut,,10,Duel Decks: Elspeth vs. Tezzeret,English
1,Burrenton Bombardier,,11,Duel Decks: Elspeth vs. Tezzeret,English
1,Kor Hookmaster,,12,Duel Decks: Elspeth vs. Tezzeret,English
1,Kemba's Skyguard,,13,Duel Decks: Elspeth vs. Tezzeret,English
1,Celestial Crusader,,14,Duel Decks: Elspeth vs. Tezzeret,English
1,Seasoned Marshal,,15,Duel Decks: Elspeth vs. Tezzeret,English
1,Conclave Phalanx,,16,Duel Decks: Elspeth vs. Tezzeret,English
1,Stormfront Riders,,17,Duel Decks: Elspeth vs. Tezzeret,English
1,Catapult Master,,18,Duel Decks: Elspeth vs. Tezzeret,English
1,Conclave Equenaut,,19,Duel Decks: Elspeth vs. Tezzeret,English
1,Angel of Salvation,,20,Duel Decks: Elspeth vs. Tezzeret,English
1,Sunlance,,21,Duel Decks: Elspeth vs. Tezzeret,English
2,Swords to Plowshares,,22,Duel Decks: Elspeth vs. Tezzeret,English
1,Journey to Nowhere,,23,Duel Decks: Elspeth vs. Tezzeret,English
1,Mighty Leap,,24,Duel Decks: Elspeth vs. Tezzeret,English
2,Raise the Alarm,,25,Duel Decks: Elspeth vs. Tezzeret,English
1,Razor Barrier,,26,Duel Decks: Elspeth vs. Tezzeret,English
1,Crusade,,27,Duel Decks: Elspeth vs. Tezzeret,English
1,Blinding Beam,,28,Duel Decks: Elspeth vs. Tezzeret,English
1,Abolish,,29,Duel Decks: Elspeth vs. Tezzeret,English
1,Saltblast,,30,Duel Decks: Elspeth vs. Tezzeret,English
1,Swell of Courage,,31,Duel Decks: Elspeth vs. Tezzeret,English
1,Daru Encampment,,32,Duel Decks: Elspeth vs. Tezzeret,English
1,Kabira Crossroads,,33,Duel Decks: Elspeth vs. Tezzeret,English
1,Rustic Clachan,,34,Duel Decks: Elspeth vs. Tezzeret,English
6,Plains,,35,Duel Decks: Elspeth vs. Tezzeret,English
6,Plains,,36,Duel Decks: Elspeth vs. Tezzeret,English
5,Plains,,37,Duel Decks: Elspeth vs. Tezzeret,English
5,Plains,,38,Duel Decks: Elspeth vs. Tezzeret,English
3,Soldier,,1,Extras: Duel Decks: Elspeth vs. Tezzeret,English
,,,,,
1,Tezzeret the Seeker,foil,39,Duel Decks: Elspeth vs. Tezzeret,English
1,Arcbound Worker,,40,Duel Decks: Elspeth vs. Tezzeret,English
1,Steel Wall,,41,Duel Decks: Elspeth vs. Tezzeret,English
2,Runed Servitor,,42,Duel Decks: Elspeth vs. Tezzeret,English
1,Silver Myr,,43,Duel Decks: Elspeth vs. Tezzeret,English
1,Steel Overseer,,44,Duel Decks: Elspeth vs. Tezzeret,English
1,Assembly-Worker,,45,Duel Decks: Elspeth vs. Tezzeret,English
1,Serrated Biskelion,,46,Duel Decks: Elspeth vs. Tezzeret,English
1,Esperzoa,,47,Duel Decks: Elspeth vs. Tezzeret,English
1,Master of Etherium,,48,Duel Decks: Elspeth vs. Tezzeret,English
1,Trinket Mage,,49,Duel Decks: Elspeth vs. Tezzeret,English
1,Clockwork Condor,,50,Duel Decks: Elspeth vs. Tezzeret,English
1,Frogmite,,51,Duel Decks: Elspeth vs. Tezzeret,English
1,Juggernaut,,52,Duel Decks: Elspeth vs. Tezzeret,English
1,Synod Centurion,,53,Duel Decks: Elspeth vs. Tezzeret,English
1,Faerie Mechanist,,54,Duel Decks: Elspeth vs. Tezzeret,English
1,Clockwork Hydra,,55,Duel Decks: Elspeth vs. Tezzeret,English
1,Razormane Masticore,,56,Duel Decks: Elspeth vs. Tezzeret,English
1,Triskelion,,57,Duel Decks: Elspeth vs. Tezzeret,English
1,Pentavus,,58,Duel Decks: Elspeth vs. Tezzeret,English
1,Qumulox,,59,Duel Decks: Elspeth vs. Tezzeret,English
2,Everflowing Chalice,,60,Duel Decks: Elspeth vs. Tezzeret,English
1,Aether Spellbomb,,61,Duel Decks: Elspeth vs. Tezzeret,English
1,Elixir of Immortality,,62,Duel Decks: Elspeth vs. Tezzeret,English
1,Contagion Clasp,,63,Duel Decks: Elspeth vs. Tezzeret,English
1,Energy Chamber,,64,Duel Decks: Elspeth vs. Tezzeret,English
1,Trip Noose,,65,Duel Decks: Elspeth vs. Tezzeret,English
1,Echoing Truth,,66,Duel Decks: Elspeth vs. Tezzeret,English
1,Moonglove Extract,,67,Duel Decks: Elspeth vs. Tezzeret,English
2,Thirst for Knowledge,,68,Duel Decks: Elspeth vs. Tezzeret,English
1,Argivian Restoration,,69,Duel Decks: Elspeth vs. Tezzeret,English
1,Foil,,70,Duel Decks: Elspeth vs. Tezzeret,English
1,Thoughtcast,,71,Duel Decks: Elspeth vs. Tezzeret,English
1,Darksteel Citadel,,72,Duel Decks: Elspeth vs. Tezzeret,English
1,Mishra's Factory,,73,Duel Decks: Elspeth vs. Tezzeret,English
1,Seat of the Synod,,74,Duel Decks: Elspeth vs. Tezzeret,English
1,Stalking Stones,,75,Duel Decks: Elspeth vs. Tezzeret,English
5,Island,,76,Duel Decks: Elspeth vs. Tezzeret,English
5,Island,,77,Duel Decks: Elspeth vs. Tezzeret,English
5,Island,,78,Duel Decks: Elspeth vs. Tezzeret,English
5,Island,,79,Duel Decks: Elspeth vs. Tezzeret,English
