Count,Name,Foil,Card Number,Edition
1,Ambush Commander,foil,1,Duel Decks: Elves vs. Goblins
1,Allosaurus Rider,,2,Duel Decks: Elves vs. Goblins
2,Elvish Eulogist,,3,Duel Decks: Elves vs. Goblins
1,Elvish Harbinger,,4,Duel Decks: Elves vs. Goblins
3,Elvish Warrior,,5,Duel Decks: Elves vs. Goblins
2,Gempalm Strider,,6,Duel Decks: Elves vs. Goblins
1,Heedless One,,7,Duel Decks: Elves vs. Goblins
2,Imperious Perfect,,8,Duel Decks: Elves vs. Goblins
3,Llanowar Elves,,9,Duel Decks: Elves vs. Goblins
2,Lys Alana Huntmaster,,10,Duel Decks: Elves vs. Goblins
1,Stonewood Invoker,,11,Duel Decks: Elves vs. Goblins
1,Sylvan Messenger,,12,Duel Decks: Elves vs. Goblins
1,Timberwatch Elf,,13,Duel Decks: Elves vs. Goblins
1,Voice of the Woods,,14,Duel Decks: Elves vs. Goblins
2,Wellwisher,,15,Duel Decks: Elves vs. Goblins
1,Wirewood Herald,,16,Duel Decks: Elves vs. Goblins
1,Wirewood Symbiote,,17,Duel Decks: Elves vs. Goblins
2,Wood Elves,,18,Duel Decks: Elves vs. Goblins
1,Wren's Run Vanquisher,,19,Duel Decks: Elves vs. Goblins
1,Elvish Promenade,,20,Duel Decks: Elves vs. Goblins
2,Giant Growth,,21,Duel Decks: Elves vs. Goblins
1,Harmonize,,22,Duel Decks: Elves vs. Goblins
1,Wildsize,,23,Duel Decks: Elves vs. Goblins
3,Moonglove Extract,,24,Duel Decks: Elves vs. Goblins
1,Slate of Ancestry,,25,Duel Decks: Elves vs. Goblins
1,Wirewood Lodge,,26,Duel Decks: Elves vs. Goblins
2,Tranquil Thicket,,27,Duel Decks: Elves vs. Goblins
5,Forest,,28,Duel Decks: Elves vs. Goblins
5,Forest,,29,Duel Decks: Elves vs. Goblins
5,Forest,,30,Duel Decks: Elves vs. Goblins
4,Forest,,31,Duel Decks: Elves vs. Goblins
1,Siege-Gang Commander,foil,32,Duel Decks: Elves vs. Goblins
1,Akki Coalflinger,,33,Duel Decks: Elves vs. Goblins
1,Clickslither,,34,Duel Decks: Elves vs. Goblins
3,Emberwilde Augur,,35,Duel Decks: Elves vs. Goblins
1,Flamewave Invoker,,36,Duel Decks: Elves vs. Goblins
1,Gempalm Incinerator,,37,Duel Decks: Elves vs. Goblins
3,Goblin Cohort,,38,Duel Decks: Elves vs. Goblins
1,Goblin Matron,,39,Duel Decks: Elves vs. Goblins
1,Goblin Ringleader,,40,Duel Decks: Elves vs. Goblins
1,Goblin Sledder,,41,Duel Decks: Elves vs. Goblins
1,Goblin Warchief,,42,Duel Decks: Elves vs. Goblins
1,"Ib Halfheart, Goblin Tactician",,43,Duel Decks: Elves vs. Goblins
1,Mogg Fanatic,,44,Duel Decks: Elves vs. Goblins
2,Mogg War Marshal,,45,Duel Decks: Elves vs. Goblins
2,Mudbutton Torchrunner,,46,Duel Decks: Elves vs. Goblins
2,Raging Goblin,,47,Duel Decks: Elves vs. Goblins
1,Reckless One,,48,Duel Decks: Elves vs. Goblins
2,Skirk Drill Sergeant,,49,Duel Decks: Elves vs. Goblins
1,Skirk Fire Marshal,,50,Duel Decks: Elves vs. Goblins
1,Skirk Prospector,,51,Duel Decks: Elves vs. Goblins
1,Skirk Shaman,,52,Duel Decks: Elves vs. Goblins
1,Tar Pitcher,,53,Duel Decks: Elves vs. Goblins
2,Boggart Shenanigans,,54,Duel Decks: Elves vs. Goblins
1,Spitting Earth,,55,Duel Decks: Elves vs. Goblins
3,Tarfire,,56,Duel Decks: Elves vs. Goblins
1,Forgotten Cave,,57,Duel Decks: Elves vs. Goblins
1,Goblin Burrows,,58,Duel Decks: Elves vs. Goblins
6,Mountain,,59,Duel Decks: Elves vs. Goblins
6,Mountain,,60,Duel Decks: Elves vs. Goblins
5,Mountain,,61,Duel Decks: Elves vs. Goblins
5,Mountain,,62,Duel Decks: Elves vs. Goblins
1,Elemental,,1,Extras: Duel Decks: Elves vs. Goblins
1,Elf Warrior,,2,Extras: Duel Decks: Elves vs. Goblins
1,Goblin,,3,Extras: Duel Decks: Elves vs. Goblins
