Count,Name,Foil,Card Number,Edition,Language
1,"Ezuri, Renegade Leader",foil,1,Duel Decks: Elves vs. Inventors,English
1,"Dwynen, Gilt-Leaf Daen",,2,Duel Decks: Elves vs. Inventors,English
2,Dwynen's Elite,,3,Duel Decks: Elves vs. Inventors,English
1,Elvish Aberration,,4,Duel Decks: Elves vs. Inventors,English
1,Elvish Archdruid,,5,Duel Decks: Elves vs. Inventors,English
2,Elvish Branchbender,,6,Duel Decks: Elves vs. Inventors,English
2,Elvish Mystic,,7,Duel Decks: Elves vs. Inventors,English
1,Elvish Vanguard,,8,Duel Decks: Elves vs. Inventors,English
2,Ezuri's Archers,,9,Duel Decks: Elves vs. Inventors,English
1,Fierce Empath,,10,Duel Decks: Elves vs. Inventors,English
1,Gladehart Cavalry,,11,Duel Decks: Elves vs. Inventors,English
2,Ivy Lane Denizen,,12,Duel Decks: Elves vs. Inventors,English
2,Jagged-Scar Archers,,13,Duel Decks: Elves vs. Inventors,English
1,Krosan Tusker,,14,Duel Decks: Elves vs. Inventors,English
1,Kujar Seedsculptor,,15,Duel Decks: Elves vs. Inventors,English
1,Lead the Stampede,,16,Duel Decks: Elves vs. Inventors,English
2,Leaf Gilder,,17,Duel Decks: Elves vs. Inventors,English
1,Llanowar Empath,,18,Duel Decks: Elves vs. Inventors,English
1,Naturalize,,19,Duel Decks: Elves vs. Inventors,English
2,Nature's Way,,20,Duel Decks: Elves vs. Inventors,English
2,Nissa's Judgment,,21,Duel Decks: Elves vs. Inventors,English
1,Regal Force,,22,Duel Decks: Elves vs. Inventors,English
2,Sylvan Advocate,,23,Duel Decks: Elves vs. Inventors,English
1,Talara's Battalion,,24,Duel Decks: Elves vs. Inventors,English
1,Viridian Shaman,,25,Duel Decks: Elves vs. Inventors,English
1,Wildheart Invoker,,26,Duel Decks: Elves vs. Inventors,English
1,"Yeva, Nature's Herald",,27,Duel Decks: Elves vs. Inventors,English
1,"Oran-Rief, the Vastwood",,28,Duel Decks: Elves vs. Inventors,English
2,Tranquil Thicket,,29,Duel Decks: Elves vs. Inventors,English
2,Treetop Village,,30,Duel Decks: Elves vs. Inventors,English
5,Forest,,31,Duel Decks: Elves vs. Inventors,English
5,Forest,,32,Duel Decks: Elves vs. Inventors,English
4,Forest,,33,Duel Decks: Elves vs. Inventors,English
4,Forest,,34,Duel Decks: Elves vs. Inventors,English
1,Elf Warrior,,1,Extras: Duel Decks: Elves vs. Inventors,English
,,,,,
1,Goblin Welder,foil,35,Duel Decks: Elves vs. Inventors,English
1,Artificer's Epiphany,,36,Duel Decks: Elves vs. Inventors,English
2,Etherium Sculptor,,37,Duel Decks: Elves vs. Inventors,English
2,Faerie Mechanist,,38,Duel Decks: Elves vs. Inventors,English
1,Riddlesmith,,39,Duel Decks: Elves vs. Inventors,English
1,Treasure Mage,,40,Duel Decks: Elves vs. Inventors,English
1,Trinket Mage,,41,Duel Decks: Elves vs. Inventors,English
1,Trophy Mage,,42,Duel Decks: Elves vs. Inventors,English
1,Whirler Rogue,,43,Duel Decks: Elves vs. Inventors,English
1,Barrage Ogre,,44,Duel Decks: Elves vs. Inventors,English
2,Galvanic Blast,,45,Duel Decks: Elves vs. Inventors,English
1,Ghirapur Gearcrafter,,46,Duel Decks: Elves vs. Inventors,English
2,Pia and Kiran Nalaar,,47,Duel Decks: Elves vs. Inventors,English
1,Shrapnel Blast,,48,Duel Decks: Elves vs. Inventors,English
1,Welding Sparks,,49,Duel Decks: Elves vs. Inventors,English
1,Maverick Thopterist,,50,Duel Decks: Elves vs. Inventors,English
1,Reclusive Artificer,,51,Duel Decks: Elves vs. Inventors,English
1,Darksteel Plate,,52,Duel Decks: Elves vs. Inventors,English
2,Filigree Familiar,,53,Duel Decks: Elves vs. Inventors,English
2,Ichor Wellspring,,54,Duel Decks: Elves vs. Inventors,English
1,Inventor's Goggles,,55,Duel Decks: Elves vs. Inventors,English
2,Mycosynth Wellspring,,56,Duel Decks: Elves vs. Inventors,English
1,Myr Battlesphere,,57,Duel Decks: Elves vs. Inventors,English
1,Myr Sire,,58,Duel Decks: Elves vs. Inventors,English
1,Neurok Replica,,59,Duel Decks: Elves vs. Inventors,English
1,Pyrite Spellbomb,,60,Duel Decks: Elves vs. Inventors,English
1,Scuttling Doom Engine,,61,Duel Decks: Elves vs. Inventors,English
1,Solemn Simulacrum,,62,Duel Decks: Elves vs. Inventors,English
1,Thopter Assembly,,63,Duel Decks: Elves vs. Inventors,English
1,Voyager Staff,,64,Duel Decks: Elves vs. Inventors,English
1,Darksteel Citadel,,65,Duel Decks: Elves vs. Inventors,English
1,Foundry of the Consuls,,66,Duel Decks: Elves vs. Inventors,English
1,Great Furnace,,67,Duel Decks: Elves vs. Inventors,English
1,Phyrexia's Core,,68,Duel Decks: Elves vs. Inventors,English
1,Seat of the Synod,,69,Duel Decks: Elves vs. Inventors,English
1,Shivan Reef,,70,Duel Decks: Elves vs. Inventors,English
2,Swiftwater Cliffs,,71,Duel Decks: Elves vs. Inventors,English
1,Temple of Epiphany,,72,Duel Decks: Elves vs. Inventors,English
4,Island,,73,Duel Decks: Elves vs. Inventors,English
3,Island,,74,Duel Decks: Elves vs. Inventors,English
4,Mountain,,75,Duel Decks: Elves vs. Inventors,English
3,Mountain,,76,Duel Decks: Elves vs. Inventors,English
4,Myr,,2,Extras: Duel Decks: Elves vs. Inventors,English
3,Thopter,,3,Extras: Duel Decks: Elves vs. Inventors,English
2,Thopter,,4,Extras: Duel Decks: Elves vs. Inventors,English
