Count,Name,Foil,Card Number,Edition,Language
1,Garruk Wildspeaker,foil,1,Duel Decks: Garruk vs. Liliana,English
2,Basking Rootwalla,,2,Duel Decks: Garruk vs. Liliana,English
2,Albino Troll,,3,Duel Decks: Garruk vs. Liliana,English
2,Vine Trellis,,4,Duel Decks: Garruk vs. Liliana,English
2,Wild Mongrel,,5,Duel Decks: Garruk vs. Liliana,English
2,Wirewood Savage,,6,Duel Decks: Garruk vs. Liliana,English
2,Blastoderm,,7,Duel Decks: Garruk vs. Liliana,English
1,Ravenous Baloth,,8,Duel Decks: Garruk vs. Liliana,English
1,Stampeding Wildebeests,,9,Duel Decks: Garruk vs. Liliana,English
2,Indrik Stomphowler,,10,Duel Decks: Garruk vs. Liliana,English
1,Krosan Tusker,,11,Duel Decks: Garruk vs. Liliana,English
1,Plated Slagwurm,,12,Duel Decks: Garruk vs. Liliana,English
1,Genju of the Cedars,,13,Duel Decks: Garruk vs. Liliana,English
1,Giant Growth,,14,Duel Decks: Garruk vs. Liliana,English
2,Rancor,,15,Duel Decks: Garruk vs. Liliana,English
1,Lignify,,16,Duel Decks: Garruk vs. Liliana,English
2,Nature's Lore,,17,Duel Decks: Garruk vs. Liliana,English
1,Elephant Guide,,18,Duel Decks: Garruk vs. Liliana,English
1,Invigorate,,19,Duel Decks: Garruk vs. Liliana,English
2,Serrated Arrows,,20,Duel Decks: Garruk vs. Liliana,English
2,Harmonize,,21,Duel Decks: Garruk vs. Liliana,English
1,Rude Awakening,,22,Duel Decks: Garruk vs. Liliana,English
1,Beast Attack,,23,Duel Decks: Garruk vs. Liliana,English
1,Overrun,,24,Duel Decks: Garruk vs. Liliana,English
1,Windstorm,,25,Duel Decks: Garruk vs. Liliana,English
2,Slippery Karst,,26,Duel Decks: Garruk vs. Liliana,English
1,Treetop Village,,27,Duel Decks: Garruk vs. Liliana,English
6,Forest,,28,Duel Decks: Garruk vs. Liliana,English
5,Forest,,29,Duel Decks: Garruk vs. Liliana,English
5,Forest,,30,Duel Decks: Garruk vs. Liliana,English
5,Forest,,31,Duel Decks: Garruk vs. Liliana,English
1,Beast,,1,Extras: Duel Decks: Garruk vs. Liliana,English
1,Beast,,2,Extras: Duel Decks: Garruk vs. Liliana,English
1,Elephant,,3,Extras: Duel Decks: Garruk vs. Liliana,English
,,,,,
1,Liliana Vess,foil,32,Duel Decks: Garruk vs. Liliana,English
1,Deathgreeter,,33,Duel Decks: Garruk vs. Liliana,English
2,Ghost-Lit Stalker,,34,Duel Decks: Garruk vs. Liliana,English
2,Vampire Bats,,35,Duel Decks: Garruk vs. Liliana,English
1,Drudge Skeletons,,36,Duel Decks: Garruk vs. Liliana,English
1,Ravenous Rats,,37,Duel Decks: Garruk vs. Liliana,English
2,Fleshbag Marauder,,38,Duel Decks: Garruk vs. Liliana,English
2,Phyrexian Rager,,39,Duel Decks: Garruk vs. Liliana,English
1,Urborg Syphon-Mage,,40,Duel Decks: Garruk vs. Liliana,English
1,Wall of Bone,,41,Duel Decks: Garruk vs. Liliana,English
1,Faerie Macabre,,42,Duel Decks: Garruk vs. Liliana,English
1,Howling Banshee,,43,Duel Decks: Garruk vs. Liliana,English
1,Keening Banshee,,44,Duel Decks: Garruk vs. Liliana,English
2,Twisted Abomination,,45,Duel Decks: Garruk vs. Liliana,English
1,Skeletal Vampire,,46,Duel Decks: Garruk vs. Liliana,English
1,Genju of the Fens,,47,Duel Decks: Garruk vs. Liliana,English
1,Bad Moon,,48,Duel Decks: Garruk vs. Liliana,English
2,Sign in Blood,,49,Duel Decks: Garruk vs. Liliana,English
1,Vicious Hunger,,50,Duel Decks: Garruk vs. Liliana,English
1,Ichor Slick,,51,Duel Decks: Garruk vs. Liliana,English
1,Hideous End,,52,Duel Decks: Garruk vs. Liliana,English
1,Snuff Out,,53,Duel Decks: Garruk vs. Liliana,English
2,Tendrils of Corruption,,54,Duel Decks: Garruk vs. Liliana,English
1,Mutilate,,55,Duel Decks: Garruk vs. Liliana,English
1,Rise from the Grave,,56,Duel Decks: Garruk vs. Liliana,English
2,Corrupt,,57,Duel Decks: Garruk vs. Liliana,English
1,Enslave,,58,Duel Decks: Garruk vs. Liliana,English
2,Polluted Mire,,59,Duel Decks: Garruk vs. Liliana,English
6,Swamp,,60,Duel Decks: Garruk vs. Liliana,English
6,Swamp,,61,Duel Decks: Garruk vs. Liliana,English
6,Swamp,,62,Duel Decks: Garruk vs. Liliana,English
5,Swamp,,63,Duel Decks: Garruk vs. Liliana,English
